Weight Class	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Source
-72 kg	PSV Salzburg	Karin	Posch	0	0	JGV Wien	Edith	Simon			{{Internetquelle |url=https://www.sn.at/archivsn?img=lObIncOMwqveXw6KT86toxCqB2HJNnjSGxnbsKuta6TaN%2FBaAhMz9coLOUJaw4WQWcT0Un7sTK5Q0k10oWTIlrfZbq99zvb1Tapi19O5evW476iuiS3OHb9WUPTqykaO&id1=19811123_15&#sn-archiv-15 |titel=Endstation für den JC Wien |werk=SALZBURGER NACHRICHTEN |hrsg=SALZBURGER NACHRICHTEN |datum=1981-11-23 |seiten=15 |sprache=de |abruf=2025-03-01}}
	PSV Salzburg	Gertrude	Kranzl			JGV Wien			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=lObIncOMwqveXw6KT86toxCqB2HJNnjSGxnbsKuta6TaN%2FBaAhMz9coLOUJaw4WQWcT0Un7sTK5Q0k10oWTIlrfZbq99zvb1Tapi19O5evW476iuiS3OHb9WUPTqykaO&id1=19811123_15&#sn-archiv-15 |titel=Endstation für den JC Wien |werk=SALZBURGER NACHRICHTEN |hrsg=SALZBURGER NACHRICHTEN |datum=1981-11-23 |seiten=15 |sprache=de |abruf=2025-03-01}}
