Playoffs	Round	Weight Class	Fight Number	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Ippon 1	Wazaari 1	Yuko 1	Koka 1	Shido 1	HSM 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Ippon 2	Wazaari 2	Yuko 2	Koka 2	Shido 2	HSM 2	Source
G	1	-60 kg	0	Judo Union Raika Flachgau	Fabian	Moosbauer	0	0	0	0	0	0	0	0	Allianz Kukla Galaxy Tigers	Niclas	Schalk	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-66 kg	1	Judo Union Raika Flachgau	Julian	Wöss	1	10	1	1	0	0	0	0	Allianz Kukla Galaxy Tigers	Jakob	Sas-Zaloziecki	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-73 kg	2	Judo Union Raika Flachgau	Daniel	Herzog	1	7	0	1	0	0	1	0	Allianz Kukla Galaxy Tigers	Marvin	Pum	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-81 kg	3	Judo Union Raika Flachgau	Tobias	Modl	0	0	0	0	0	0	0	0	Allianz Kukla Galaxy Tigers	Magamed	Borchashvilli	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-90 kg	4	Judo Union Raika Flachgau	Andreas	Nagl	0	0	0	0	0	0	0	0	Allianz Kukla Galaxy Tigers	Bernd	Fasching	1	10	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-100 kg	5	Judo Union Raika Flachgau	Laurin	Böhler	0	0	0	0	0	0	0	0	Allianz Kukla Galaxy Tigers	Adam	Borchashvilli	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+100 kg	6	Judo Union Raika Flachgau	Michael	Korrel	1	10	1	0	0	0	1	0	Allianz Kukla Galaxy Tigers	Movli	Borchashvilli	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-60 kg	7	Judo Union Raika Flachgau	Fabian	Moosbauer	0	0	0	0	0	0	0	0	Allianz Kukla Galaxy Tigers	Niclas	Schalk	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-66 kg	8	Judo Union Raika Flachgau	Julian	Wöss	1	10	1	0	0	0	1	0	Allianz Kukla Galaxy Tigers	Jakob	Sas-Zaloziecki	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-73 kg	9	Judo Union Raika Flachgau	Daniel	Herzog	1	10	1	0	0	0	1	0	Allianz Kukla Galaxy Tigers	Philipp	Wittmann	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-81 kg	10	Judo Union Raika Flachgau	Tobias	Modl	0	0	0	0	0	0	0	0	Allianz Kukla Galaxy Tigers	Magamed	Borchashvilli	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-90 kg	11	Judo Union Raika Flachgau	Andreas	Nagl	0	0	0	0	0	0	0	0	Allianz Kukla Galaxy Tigers	Bernd	Fasching	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-100 kg	12	Judo Union Raika Flachgau	Laurin	Böhler	1	10	1	0	0	0	0	0	Allianz Kukla Galaxy Tigers	Adam	Borchashvilli	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+100 kg	13	Judo Union Raika Flachgau	Michael	Korrel	1	10	0	2	0	0	1	0	Allianz Kukla Galaxy Tigers	Movli	Borchashvilli	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-60 kg	0	Wiener ASKÖ Team Stadlau	Marton	Andrasi	1	10	1	0	0	0	0	0	Vienna Samurai	Bilguun	Dogsom	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-66 kg	1	Wiener ASKÖ Team Stadlau	Adam	Safer	1	10	1	0	0	0	0	0	Vienna Samurai	Michail	Sobanov	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-73 kg	2	Wiener ASKÖ Team Stadlau	Philip	Weber	0	0	0	0	0	0	1	0	Vienna Samurai	Zoltan	Ambrus	1	7	0	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-81 kg	3	Wiener ASKÖ Team Stadlau	David	Taroncher	0	0	0	0	0	0	1	0	Vienna Samurai	Leon	Tschilikin	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-90 kg	4	Wiener ASKÖ Team Stadlau	Matthias	Fabian	0	0	0	0	0	0	1	0	Vienna Samurai	Hermann	Tschilikin	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-100 kg	5	Wiener ASKÖ Team Stadlau	Moritz	Moser	0	0	0	0	0	0	0	0	Vienna Samurai	Daniel	Herbst	1	10	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+100 kg	6	Wiener ASKÖ Team Stadlau	Niko	Herzog	1	10	0	2	0	0	0	0	Vienna Samurai	Patrick	Steinmann	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-60 kg	7	Wiener ASKÖ Team Stadlau	Marton	Andrasi	1	10	1	0	0	0	1	0	Vienna Samurai	Bilguun	Dogsom	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-66 kg	8	Wiener ASKÖ Team Stadlau	Adam	Safer	1	10	1	0	0	0	0	0	Vienna Samurai	Michail	Sobanov	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-73 kg	9	Wiener ASKÖ Team Stadlau	Benedikt	Safer	0	0	0	0	0	0	0	0	Vienna Samurai	Nikita	Pikulenko	1	7	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
