Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Source
JC Straßwalchen		Unter			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen	Franz	Huber			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen	Josef	Adam			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen	Helmut	Krempler			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen		Krenn			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen	Gerhard	Dorfinger			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen	Herbert	Schleicher			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen		Unter			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen	Franz	Huber			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen	Alois	Söllinger			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen		Danninger			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen		Pürstinger			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen	Jakob	Vogl			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
SV Straßwalchen			0	0	Zoll Braunau		Butka			{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=nHO%2BhXtuB7WnnkxEotWJZlhXMYAOGecvm4Ek31YmecfqMZRjfBhFmi5zamM1Q3YGoTbQGQDMYuG8HCrzJGnXD90WktJ0c3TAe9oLthfuPopIA9K%2BX%2F%2FxN0oiQVQwAbbU&id1=19750310_08&q=SV%2520Ulmerfeld%2520judo#slide8 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
SV Straßwalchen		Zenz			Zoll Braunau			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=nHO%2BhXtuB7WnnkxEotWJZlhXMYAOGecvm4Ek31YmecfqMZRjfBhFmi5zamM1Q3YGoTbQGQDMYuG8HCrzJGnXD90WktJ0c3TAe9oLthfuPopIA9K%2BX%2F%2FxN0oiQVQwAbbU&id1=19750310_08&q=SV%2520Ulmerfeld%2520judo#slide8 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
SV Straßwalchen	Herbert	Schleicher			Zoll Braunau			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=nHO%2BhXtuB7WnnkxEotWJZlhXMYAOGecvm4Ek31YmecfqMZRjfBhFmi5zamM1Q3YGoTbQGQDMYuG8HCrzJGnXD90WktJ0c3TAe9oLthfuPopIA9K%2BX%2F%2FxN0oiQVQwAbbU&id1=19750310_08&q=SV%2520Ulmerfeld%2520judo#slide8 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
SV Straßwalchen		Unter			Zoll Braunau			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=nHO%2BhXtuB7WnnkxEotWJZlhXMYAOGecvm4Ek31YmecfqMZRjfBhFmi5zamM1Q3YGoTbQGQDMYuG8HCrzJGnXD90WktJ0c3TAe9oLthfuPopIA9K%2BX%2F%2FxN0oiQVQwAbbU&id1=19750310_08&q=SV%2520Ulmerfeld%2520judo#slide8 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen	Alois	Söllinger			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen	Gerhard	Dorfinger			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen		Pürstinger			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen		Unter			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen	Franz	Huber			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen	Alois	Söllinger			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen	Gerhard	Dorfinger			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen		Pürstinger			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen		Unter			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen	Franz	Huber			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen	Jakob	Vogl			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
Ulmerfeld			0	0	Straßwalchen	Josef	Adam			{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
