Fight Number	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
1	FILIMON	Giuliano	0	0	0	1	0	0	0	PASOLLI	Ivo	0	0	1	1	0	1	10	
2	LANG	Dominik	0	0	0	2	0	0	0	IVINGER	Erich	1	1	1	0	0	1	10	
3	RIBITSCH	Stephan	1	0	0	0	0	1	5	GRASSMAIR	Severin	0	0	0	1	0	0	0	
4	ACKERL	Thomas	0	0	0	0	0	1	10	STEINICKE	Alexander	1	0	0	0	0	0	0	
5	MARIJANOVIC	Tomislav	0	2	0	0	0	1	10	IMRE	Lehel	0	0	0	0	0	0	0	
6	KRPALEK	Lukas	0	0	1	0	0	1	10	SCHWEINBERGER	Simon	0	0	0	0	0	0	0	
7	BERTAGNOLI	Martin	0	0	0	1	0	0	0	HAUSER	Franz	1	0	0	1	0	1	5	
8	HÖDL	Manuel	0	0	0	0	0	0	0	PASOLLI	Ivo	0	0	1	0	0	1	10	
9	LANG	Dominik	0	0	0	1	0	0	0	IVINGER	Erich	0	0	0	0	0	0	0	
10	ACKERL	Thomas	0	0	1	0	0	1	10	STEINICKE	Alexander	0	0	0	1	0	0	0	
11	RIBITSCH	Stephan	0	1	0	1	0	0	0	GRASSMAIR	Severin	0	2	0	0	0	1	10	
12	MARIJANOVIC	Tomislav	0	0	1	0	0	1	10	HOLLAUS	Franz	0	0	0	0	0	0	0	
13	KRPALEK	Lukas	0	1	1	0	0	1	10	IMRE	Lehel	0	0	0	0	0	0	0	
14	ACKERL	Philipp	0	1	0	4	0	0	0	HAUSER	Franz	0	0	1	0	0	1	10	
1	ENGLMAIER	Tobias	0	0	1	0	0	1	10	HOFMANN	Lukas	0	0	0	0	0	0	0	
2	MITTERFELLNER	Andreas	0	0	0	0	0	1	10	PRASCHL	Johannes	0	0	0	0	0	0	0	
3	WIMBERGER	Markus	0	0	0	0	0	1	10	SPITZER	Kevin	0	0	0	0	0	0	0	
4	RIESS	Christian	0	0	0	0	0	0	0	WARTBICHLER	Hannes	0	0	0	0	0	1	10	
