Playoffs	Round	Weight Class	Fight Number	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Ippon 1	Wazaari 1	Yuko 1	Koka 1	Shido 1	HSM 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Ippon 2	Wazaari 2	Yuko 2	Koka 2	Shido 2	HSM 2	Source
G	1	-48 kg	0	café+co Wien 2	Jacqueline	Springer	0	0	0	0	0	0	0	0	café+co Wien 1	Valentina	Schauer	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-52 kg	1	café+co Wien 2	Sarah	Krames	0	0	0	0	0	0	0	0	café+co Wien 1	Olivia	Taroncher	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-57 kg	2	café+co Wien 2	Lisa	Gfrerer	0	0	0	0	0	0	0	0	café+co Wien 1	Asimina	Theodorakis	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-63 kg	3	café+co Wien 2	Daniela	Gangl	0	0	0	0	0	0	0	0	café+co Wien 1	Narges	Mohseni Farshbaf	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-70 kg	4	café+co Wien 2	Helene	Gugenberger	0	0	0	0	0	0	0	0	café+co Wien 1	Eleftheria	Theodorakis	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-78 kg	5	café+co Wien 2			0	0	0	0	0	0	0	0	café+co Wien 1	Hilde	Drexler	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+78 kg	6	café+co Wien 2	Daniela	Markhart	1	10	0	2	0	0	1	0	café+co Wien 1	Raphaela	Findeis	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-48 kg	7	café+co Wien 2	Jacqueline	Springer	0	0	0	0	0	0	0	0	café+co Wien 1	Valentina	Schauer	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-52 kg	8	café+co Wien 2	Sarah	Krames	0	0	0	0	0	0	0	0	café+co Wien 1	Olivia	Taroncher	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-57 kg	9	café+co Wien 2	Lisa	Gfrerer	0	0	0	0	0	0	0	0	café+co Wien 1	Asimina	Theodorakis	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-63 kg	10	café+co Wien 2	Daniela	Gangl	0	0	0	1	0	0	1	0	café+co Wien 1	Narges	Mohseni Farshbaf	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-70 kg	11	café+co Wien 2	Helene	Gugenberger	0	0	0	0	0	0	0	0	café+co Wien 1	Hilde	Drexler	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-78 kg	12	café+co Wien 2			0	0	0	0	0	0	0	0	café+co Wien 1	Eleftheria	Theodorakis	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+78 kg	13	café+co Wien 2	Daniela	Markhart	0	0	0	0	0	0	1	0	café+co Wien 1	Raphaela	Findeis	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-48 kg	0	Judoteam SHIAI-DO Union Thermenregion	Mara	Kraft	0	0	0	1	0	0	0	0	café+co Wien 1	Valentina	Schauer	0	0	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-52 kg	1	Judoteam SHIAI-DO Union Thermenregion	Lisa	Grabner	0	0	0	0	0	0	0	0	café+co Wien 1	Olivia	Taroncher	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-57 kg	2	Judoteam SHIAI-DO Union Thermenregion	Anna	Dengg	0	0	0	0	0	0	0	0	café+co Wien 1	Asimina	Theodorakis	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-63 kg	3	Judoteam SHIAI-DO Union Thermenregion	Susanne	Lechner	1	1	0	0	0	0	0	0	café+co Wien 1	Narges	Mohseni Farshbaf	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-70 kg	4	Judoteam SHIAI-DO Union Thermenregion	Christina	Winter	0	0	0	0	0	0	1	0	café+co Wien 1	Hilde	Drexler	1	10	0	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-78 kg	5	Judoteam SHIAI-DO Union Thermenregion	Marlene	Hunger	0	0	0	0	1	0	0	0	café+co Wien 1	Eleftheria	Theodorakis	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+78 kg	6	Judoteam SHIAI-DO Union Thermenregion	Daniela	Polleres	1	10	1	0	0	0	0	0	café+co Wien 1	Raphaela	Findeis	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-48 kg	7	Judoteam SHIAI-DO Union Thermenregion	Mara	Kraft	0	0	0	0	0	0	0	0	café+co Wien 1	Valentina	Schauer	1	5	0	0	1	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-52 kg	8	Judoteam SHIAI-DO Union Thermenregion	Lisa-Marie	Winter	0	0	0	0	0	0	1	0	café+co Wien 1	Olivia	Taroncher	1	7	0	1	3	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-57 kg	9	Judoteam SHIAI-DO Union Thermenregion	Anna	Dengg	0	0	0	0	0	0	0	0	café+co Wien 1	Asimina	Theodorakis	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-63 kg	10	Judoteam SHIAI-DO Union Thermenregion	Susanne	Lechner	1	7	0	1	1	0	3	0	café+co Wien 1	Narges	Mohseni Farshbaf	0	0	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-70 kg	11	Judoteam SHIAI-DO Union Thermenregion	Christina	Winter	0	0	0	0	0	0	0	0	café+co Wien 1	Hilde	Drexler	1	10	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-78 kg	12	Judoteam SHIAI-DO Union Thermenregion	Marlene	Hunger	0	0	0	0	0	0	0	0	café+co Wien 1	Eleftheria	Theodorakis	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+78 kg	13	Judoteam SHIAI-DO Union Thermenregion	Daniela	Polleres	0	0	0	0	0	0	0	0	café+co Wien 1	Raphaela	Findeis	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-48 kg	0	UJZ Mühlviertel	Andrea	Dall	1	10	0	0	0	0	0	0	ESV Sanjindo			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-52 kg	1	UJZ Mühlviertel	Nicole	Haminger	1	10	1	0	0	0	0	0	ESV Sanjindo	Manuela	Marcinko	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-57 kg	2	UJZ Mühlviertel	Pamela-Denise	Neubauer	0	0	0	0	0	0	0	0	ESV Sanjindo	Julia	Laber	1	5	0	0	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-63 kg	3	UJZ Mühlviertel	Kathrin	Schlögl	1	7	0	1	1	0	1	0	ESV Sanjindo	Stefanie	Hutter	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-70 kg	4	UJZ Mühlviertel	Rebekka	Autengruber	0	0	0	0	0	0	0	0	ESV Sanjindo	Melanie	Niederdorfer	1	10	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-78 kg	5	UJZ Mühlviertel	Helene	Hofer	1	10	1	0	1	0	0	0	ESV Sanjindo	Denise	Franzesko	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+78 kg	6	UJZ Mühlviertel	Marianne	Hollensteiner	0	0	0	0	0	0	2	0	ESV Sanjindo	Maria	Höllwart	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-48 kg	7	UJZ Mühlviertel	Andrea	Dall	1	10	0	0	0	0	0	0	ESV Sanjindo			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-52 kg	8	UJZ Mühlviertel	Nicole	Haminger	1	10	1	1	0	0	0	0	ESV Sanjindo	Franziska	Kaiser	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-57 kg	9	UJZ Mühlviertel	Pamela-Denise	Neubauer	0	0	0	0	0	0	0	0	ESV Sanjindo	Julia	Laber	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-63 kg	10	UJZ Mühlviertel	Eva	Schlögl	1	10	1	0	1	0	0	0	ESV Sanjindo	Tina	Neuhauser	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-70 kg	11	UJZ Mühlviertel	Rebekka	Autengruber	0	0	0	1	0	0	1	0	ESV Sanjindo	Stefanie	Hutter	0	0	0	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-78 kg	12	UJZ Mühlviertel	Helene	Hofer	0	0	0	0	0	0	0	0	ESV Sanjindo	Melanie	Niederdorfer	1	10	1	0	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+78 kg	13	UJZ Mühlviertel	Marianne	Hollensteiner	0	0	0	0	0	0	1	1	ESV Sanjindo	Maria	Höllwart	1	10	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-48 kg	0	Judoteam SHIAI-DO Union Thermenregion	Mara	Kraft	1	5	0	0	1	0	0	0	café+co Wien 2	Jacqueline	Springer	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-52 kg	1	Judoteam SHIAI-DO Union Thermenregion	Lisa-Marie	Winter	1	10	0	2	0	0	0	0	café+co Wien 2	Sarah	Krames	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-57 kg	2	Judoteam SHIAI-DO Union Thermenregion	Anna	Dengg	1	10	0	2	0	0	0	0	café+co Wien 2	Lisa	Gfrerer	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-63 kg	3	Judoteam SHIAI-DO Union Thermenregion	Isabella	Bilkovsky	1	1	0	0	0	0	1	0	café+co Wien 2	Daniela	Gangl	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-70 kg	4	Judoteam SHIAI-DO Union Thermenregion	Susanne	Lechner	1	10	0	0	0	0	0	0	café+co Wien 2			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-78 kg	5	Judoteam SHIAI-DO Union Thermenregion	Daniela	Polleres	1	10	0	0	0	0	0	0	café+co Wien 2			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+78 kg	6	Judoteam SHIAI-DO Union Thermenregion	Marlene	Hunger	1	10	0	2	0	0	0	0	café+co Wien 2	Daniela	Markhart	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-48 kg	7	Judoteam SHIAI-DO Union Thermenregion	Mara	Kraft	1	7	0	1	1	0	0	0	café+co Wien 2	Jacqueline	Springer	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-52 kg	8	Judoteam SHIAI-DO Union Thermenregion	Lisa	Grabner	1	10	1	0	0	0	0	0	café+co Wien 2	Sarah	Krames	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-57 kg	9	Judoteam SHIAI-DO Union Thermenregion	Isabella	Bilkovsky	1	10	1	0	1	0	0	0	café+co Wien 2	Lisa	Gfrerer	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-63 kg	10	Judoteam SHIAI-DO Union Thermenregion	Christina	Winter	1	5	0	0	1	0	1	0	café+co Wien 2	Daniela	Gangl	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-70 kg	11	Judoteam SHIAI-DO Union Thermenregion	Susanne	Lechner	1	10	0	0	0	0	0	0	café+co Wien 2			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-78 kg	12	Judoteam SHIAI-DO Union Thermenregion	Daniela	Polleres	1	10	0	0	0	0	0	0	café+co Wien 2			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+78 kg	13	Judoteam SHIAI-DO Union Thermenregion	Marlene	Hunger	1	10	0	2	1	0	0	0	café+co Wien 2	Daniela	Markhart	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-48 kg	0	café+co Wien 2	Jacqueline	Springer	1	10	1	0	0	0	0	0	UJZ Mühlviertel			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-52 kg	1	café+co Wien 2	Sarah	Krames	0	0	0	0	0	0	0	0	UJZ Mühlviertel	Andrea	Dall	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-57 kg	2	café+co Wien 2	Andja	Pilipovic	0	0	0	1	0	0	0	0	UJZ Mühlviertel	Pamela-Denise	Neubauer	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-63 kg	3	café+co Wien 2	Daniela	Gangl	1	1	0	0	0	0	0	0	UJZ Mühlviertel	Sarah	Jonas	0	0	0	0	0	0	2	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-70 kg	4	café+co Wien 2	Helene	Gugenberger	0	0	0	0	0	0	2	1	UJZ Mühlviertel	Rebekka	Autengruber	1	10	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-78 kg	5	café+co Wien 2			0	0	0	0	0	0	0	0	UJZ Mühlviertel	Lisa	Schinkinger	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+78 kg	6	café+co Wien 2	Daniela	Markhart	0	0	0	0	0	0	1	0	UJZ Mühlviertel	Heidrun	Genzecker	1	10	1	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-48 kg	7	café+co Wien 2	Jacqueline	Springer	1	10	1	0	0	0	0	0	UJZ Mühlviertel			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-52 kg	8	café+co Wien 2	Sarah	Krames	0	0	0	0	0	0	0	0	UJZ Mühlviertel	Andrea	Dall	1	10	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-57 kg	9	café+co Wien 2	Andja	Pilipovic	0	0	0	0	0	0	0	0	UJZ Mühlviertel	Pamela-Denise	Neubauer	1	10	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-63 kg	10	café+co Wien 2	Daniela	Gangl	0	0	0	0	0	0	0	0	UJZ Mühlviertel	Sarah	Jonas	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-70 kg	11	café+co Wien 2	Helene	Gugenberger	0	0	0	0	0	0	0	0	UJZ Mühlviertel	Rebekka	Autengruber	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-78 kg	12	café+co Wien 2			0	0	0	0	0	0	0	0	UJZ Mühlviertel	Lisa	Schinkinger	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+78 kg	13	café+co Wien 2	Daniela	Markhart	1	7	0	1	0	0	0	0	UJZ Mühlviertel	Helene	Hofer	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-48 kg	0	café+co Wien 1	Valentina	Schauer	1	10	1	0	0	0	0	0	UJZ Mühlviertel			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-52 kg	1	café+co Wien 1			0	0	0	0	0	0	0	0	UJZ Mühlviertel	Andrea	Dall	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-57 kg	2	café+co Wien 1	Asimina	Theodorakis	1	10	1	2	0	0	0	0	UJZ Mühlviertel	Pamela-Denise	Neubauer	0	0	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-63 kg	3	café+co Wien 1	Hilde	Drexler	1	10	1	0	0	0	0	0	UJZ Mühlviertel			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-70 kg	4	café+co Wien 1	Eleftheria	Theodorakis	0	0	0	0	0	0	0	0	UJZ Mühlviertel	Rebekka	Autengruber	1	7	0	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-78 kg	5	café+co Wien 1	Raphaela	Findeis	0	0	1	0	0	0	0	0	UJZ Mühlviertel	Heidrun	Genzecker	1	10	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+78 kg	6	café+co Wien 1			0	0	0	0	0	0	0	0	UJZ Mühlviertel	Helene	Hofer	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-48 kg	7	café+co Wien 1			0	0	0	0	0	0	0	0	UJZ Mühlviertel			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-52 kg	8	café+co Wien 1	Valentina	Schauer	1	10	1	1	0	0	0	0	UJZ Mühlviertel	Andrea	Dall	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-57 kg	9	café+co Wien 1	Asimina	Theodorakis	1	10	1	0	0	0	0	0	UJZ Mühlviertel	Pamela-Denise	Neubauer	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-63 kg	10	café+co Wien 1	Hilde	Drexler	1	10	1	0	0	0	0	0	UJZ Mühlviertel	Nicole	Haminger	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
