Fight Number	Name 1	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Name 2	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
1		PASOLLI	Ivo	1	0	0	1	0	1	5		LAZEA	Amado	0	0	0	1	0	0	0	
2		IVINGER	Erich	0	0	0	2	0	0	0		WEICHINGER	Alexander	1	0	0	0	0	1	5	
3		GRASSMAIR	Severin	0	0	0	0	0	0	0		OTT	Marcel	0	0	1	0	0	1	10	
4		BüRGES	Milan	0	0	0	0	0	0	0		KUCIARA	Stefan	0	0	0	1	0	0	0	
5		IMRE	Lehel	0	0	0	0	0	0	0		REICHMANN	Manuel	0	0	1	0	0	1	10	
6		LINDNER	Florian	0	0	0	0	0	0	0		GEIER	Gabor	1	0	0	0	0	1	5	
7		ENGEL	Patrick	0	0	0	2	0	0	0		REICHSTEIN	Julian	1	0	1	0	0	1	10	
8				0	0	0	0	0	0	0		LAZEA	Amado	0	0	1	0	0	1	10	
9		PASOLLI	Ivo	1	0	0	0	0	0	0		WEICHINGER	Alexander	0	0	1	2	0	1	10	
10		STEINICKE	Alexander	0	0	0	0	0	0	0		OTT	Marcel	1	1	1	0	0	1	10	
11		BüRGES	Milan	0	0	1	0	0	1	10		KUCIARA	Stefan	0	0	0	0	0	0	0	
12		GRASSMAIR	Severin	0	1	0	0	0	0	0		REICHMANN	Manuel	1	0	1	0	0	1	10	
13		LINDNER	Florian	0	0	0	0	0	0	0		GEIER	Gabor	0	0	1	0	0	1	10	
14		ENGEL	Patrick	0	0	0	0	0	0	0		REICHSTEIN	Julian	0	0	1	0	0	1	10	
1		GARBACIK	Bartek	1	1	1	0	0	1	10		PRASCHL	Johannes	0	0	0	3	0	0	0	
2		STADLBAUER	Christian	0	0	0	1	0	0	0		STEGMUELLER	Roland	0	0	0	0	0	0	0	
3		SLATNER	Raphael	0	0	0	1	0	0	0		SCHNEIDER	Rene	0	1	1	0	0	1	10	
4		ZACHAR	Christian	2	0	0	2	0	1	5		SCHIRNHOFER	Felix	1	0	0	0	0	0	0	
5		RADLHERR	Christoph	0	0	0	2	0	0	0		SCHIRNHOFER	Maximilian	2	1	1	1	0	1	10	
6		PRENTNER	Clemens	0	0	0	0	0	0	0		KRONBERGER	Christoph	0	2	0	0	0	1	10	
