Fight Number	Name 1	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Name 2	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
4		OBERMAYR	Stefan	0	0	0	0	0	0	0		BüRGES	Milan	0	0	1	0	0	1	10	
5		HALAS	Marian	0	0	1	0	0	1	10		STEINICKE	Alexander	0	0	0	1	0	0	0	
6		KRONSCHLÄGER	Florian	1	0	1	2	0	1	10		IMRE	Lehel	1	0	0	2	0	0	0	
7		MATEI	Daniel	0	1	0	0	0	1	7		LINDNER	Florian	0	0	0	1	0	0	0	
8		TIEFGRABER	Andreas	0	0	0	0	0	0	0		PASOLLI	Ivo	0	0	0	0	0	0	0	
9		WINDBICHLER	Tobias	1	0	0	0	0	0	0		IVINGER	Erich	0	1	0	0	0	1	7	
10		PFEIFFER	Johannes	1	0	0	1	0	1	5		STEINICKE	Alexander	0	0	0	2	0	0	0	
11		HALAS	Marian	0	0	1	0	0	1	10		BüRGES	Milan	0	0	0	1	0	0	0	
12		OBERMAYR	Stefan	0	0	1	0	0	1	10		GRASSMAIR	Severin	0	0	0	0	0	0	0	
13		KRONSCHLÄGER	Florian	0	2	0	2	0	1	10		IMRE	Lehel	1	0	0	0	0	0	0	
14		MATEI	Daniel	0	0	1	0	0	1	10		LINDNER	Florian	0	0	0	1	1	0	0	
1		LAZEA	Amado	0	0	1	0	0	1	10		HOFMANN	Lukas	0	0	0	0	0	0	0	
2		WEICHINGER	Alexander	1	0	1	0	0	1	10		HOFMANN	Nico	0	0	0	1	0	0	0	
3		OTT	Marcel	0	0	0	0	0	0	0		SCHNEIDER	Rene	0	0	0	0	0	0	0	
4		KUCIARA	Stefan	0	1	1	1	0	1	10		PICHLER	Christian	0	0	0	1	0	0	0	
5		REICHMANN	Manuel	0	0	0	0	0	0	0		SCHIRNHOFER	Maximilian	0	0	0	0	0	0	0	
6		REICHSTEIN	Julian	0	0	0	1	0	0	0		KRONBERGER	Stefan	0	0	0	1	0	0	0	
7		BRATA	Daniel	0	1	1	1	0	1	10		KRONBERGER	Christoph	0	0	0	1	0	0	0	
8		LAZEA	Amado	0	0	1	0	0	1	10		HOFMANN	Lukas	0	0	0	0	0	0	0	
9		WEICHINGER	Alexander	2	0	1	0	0	1	10		HOFMANN	Nico	0	0	0	0	0	0	0	
10		OTT	Marcel	0	0	0	0	0	0	0		SCHNEIDER	Rene	0	1	1	0	0	1	10	
11		KUCIARA	Stefan	0	0	1	0	0	1	10		PICHLER	Christian	0	0	0	0	0	0	0	
12		REICHMANN	Manuel	0	0	0	1	0	0	0		SCHIRNHOFER	Maximilian	0	0	1	1	0	1	10	
13		REICHSTEIN	Julian	0	0	0	0	0	0	0		KRONBERGER	Christoph	0	0	0	0	0	0	0	
14		BRATA	Daniel	0	1	0	2	0	0	0		KRONBERGER	Stefan	1	1	0	0	0	1	5	
1		GARBACIK	Bartek	3	0	1	1	0	1	10		HÖDL	Manuel	0	0	0	2	0	0	0	
2		STADLBAUER	Christian	0	0	0	0	0	0	0		LANG	Dominik	0	0	0	1	0	0	0	
3		WEIßSTEINER	Bernhard	0	0	0	0	0	0	0		RIBITSCH	Stephan	0	0	1	0	0	1	10	
4		ZACHAR	Christian	0	0	0	1	0	0	0		MUSIL	Jaromir	0	0	0	1	0	0	0	
5		RADLHERR	Christoph	0	0	0	0	0	0	0		MARIJANOVIC	Tomislav	0	1	1	0	0	1	10	
6		PRENTNER	Clemens	0	0	1	1	0	1	10		ACKERL	Philipp	0	0	0	0	0	0	0	
7		FILEK	Rafal	1	0	0	1	0	1	5		RUSCH	Patrick	0	0	0	2	0	0	0	
8		GARBACIK	Bartek	1	0	0	1	0	1	5		HÖDL	Manuel	0	0	0	2	0	0	0	
9		STADLBAUER	Christian	2	1	1	1	0	1	10		LANG	Dominik	0	1	0	2	0	0	0	
10		SLATNER	Raphael	0	1	0	1	0	0	0		RIBITSCH	Stephan	0	1	1	1	0	1	10	
11		ZACHAR	Christian	0	0	1	0	0	1	10		ACKERL	Thomas	0	0	0	0	0	0	0	
12		RADLHERR	Christoph	0	1	0	1	0	0	0		MARIJANOVIC	Tomislav	2	1	0	0	0	1	5	
13		PRENTNER	Clemens	0	0	1	0	0	1	10		POPP	Philipp	0	0	0	0	0	0	0	
14		FILEK	Rafal	0	0	0	0	0	0	0		KRPALEK	Lukas	0	1	1	0	0	1	10	
1		WALDHÖR	Dominik	0	0	0	0	0	0	0		PETRIKOV	Pavel	0	0	1	0	0	1	10	
2		JODL	Christoph	0	0	0	0	0	0	0		MITTERFELLNER	Andreas	0	1	1	0	0	1	10	
3		MAYR	Bernhard	0	0	0	0	0	0	0		WIMBERGER	Markus	0	0	1	0	0	1	10	
4		HELM	Manuel	0	0	0	0	0	0	0		HÖLLWART	Hermann	0	0	1	0	0	1	10	
5		OSTASZEWSKI	Dominik	0	0	0	1	0	0	0		SOMMERER-HINTERBICHLER	Andreas	0	2	0	1	0	1	10	
6		ZEHETNER	Jan	1	0	1	0	0	1	10		DUM	Alois	0	0	0	0	0	0	0	
7		RUTZENSTORFER	Christian	0	0	0	0	0	0	0		RIESS	Rupert Jun	0	0	1	0	0	1	10	
8		WALDHÖR	Dominik	0	0	0	0	0	0	0		PETRIKOV	Pavel	1	1	1	0	0	1	10	
9		JODL	Christoph	0	0	0	0	0	0	0		MITTERFELLNER	Andreas	1	0	1	0	0	1	10	
10		FROSCHAUER	Alexander	0	0	1	0	0	1	10		WIMBERGER	Markus	0	0	0	0	0	0	0	
11		ZEHETNER	Jan	0	0	0	1	0	0	0		HÖLLWART	Hermann	0	0	0	0	0	0	0	
12		MAYR	Bernhard	0	0	0	0	0	0	0		SOMMERER-HINTERBICHLER	Andreas	2	0	0	0	0	1	3	
13		OSTASZEWSKI	Dominik	0	0	0	0	0	0	0		DUM	Alois	0	0	1	0	0	1	10	
14		RUTZENSTORFER	Christian	0	0	0	0	0	0	0		RIESS	Rupert Jun	0	0	1	0	0	1	10	
1		HOFMANN	Lukas	0	0	1	0	0	1	10		GREIFENSTEIN	Martin	0	0	0	0	0	0	0	
2		HOFMANN	Nico	0	0	0	2	0	0	0		TIEFGRABER	Andreas	1	0	0	1	0	1	5	
3		SCHNEIDER	Rene	0	0	1	0	0	1	10		PFEIFFER	Johannes	0	0	0	0	0	0	0	
4		SCHIRNHOFER	Felix	0	0	0	0	0	0	0		SCHVARCZ	Razvan	3	0	0	0	0	1	5	
5		SCHIRNHOFER	Maximilian	0	1	1	0	0	1	10		KRONSCHLÄGER	Florian	0	0	0	3	0	0	0	
6		KRONBERGER	Stefan	0	1	1	0	0	1	10		MATEI	Daniel	0	0	0	0	0	0	0	
7		KRONBERGER	Christoph	0	0	1	0	0	1	10		FURCH	Lukas	0	0	0	0	0	0	0	
8		HOFMANN	Lukas	0	0	0	0	0	1	10		GREIFENSTEIN	Martin	1	0	0	0	1	0	0	
9		HOFMANN	Nico	1	1	0	1	0	1	5		WINDBICHLER	Tobias	0	1	0	2	0	0	0	
10		SCHNEIDER	Rene	1	0	1	0	0	1	10		VÖTTERL	Fabio	0	0	0	0	0	0	0	
11		STRASSER	Florian	0	1	0	0	0	0	0		SCHVARCZ	Razvan	0	2	0	0	0	1	10	
12		SCHIRNHOFER	Maximilian	0	0	1	0	0	1	10		FURCH	Lukas	0	0	0	0	0	0	0	
13		KRONBERGER	Christoph	1	0	0	0	0	1	5		MATEI	Daniel	0	0	0	2	0	0	0	
14		KRONBERGER	Stefan	0	2	0	0	0	1	10		KRONSCHLÄGER	Florian	0	0	0	1	0	0	0	
1		HÖDL	Manuel	0	0	0	0	0	0	0		PÜHRINGER	Reinhold	0	1	1	0	0	1	10	
2		LANG	Dominik	0	0	0	0	0	1	10		HUEMER	Mathias	0	0	0	0	0	0	0	
3		ACKERL	Thomas	0	0	0	0	0	0	0		SHALA	Driton	0	2	0	0	0	1	10	
4		MARIJANOVIC	Tomislav	0	1	1	0	0	1	10		FERCHER	Albert	0	0	0	0	0	0	0	
5		ACKERL	Philipp	0	0	0	0	0	0	0		JURECKA	Alexandr	0	0	1	0	0	1	10	
6		BERTAGNOLI	Martin	1	0	0	0	0	0	0		PFISTERMÜLLER	Peter	0	0	1	0	0	1	10	
7		KRPALEK	Lukas	0	0	1	0	0	1	10		ALLERSTORFER	Daniel	0	0	0	1	0	0	0	
8		HÖDL	Manuel	0	0	0	0	0	0	0		PÜHRINGER	Reinhold	0	0	1	0	0	1	10	
9		LANG	Dominik	0	0	1	0	0	1	10		HUEMER	Mathias	0	0	0	1	1	0	0	
10		ACKERL	Thomas	0	0	0	0	0	0	0		REITER	Georg	0	0	1	0	0	1	10	
11		MARIJANOVIC	Tomislav	0	0	1	0	0	1	10		SCHAUBMAYR	Rene	0	0	0	0	0	0	0	
12		ACKERL	Philipp	0	0	0	1	0	0	0		FERCHER	Albert	0	1	1	0	0	1	10	
13		BERTAGNOLI	Martin	0	0	0	1	0	0	0		JURECKA	Alexandr	0	0	1	1	0	1	10	
14		KRPALEK	Lukas	0	0	1	1	0	1	10		ALLERSTORFER	Daniel	0	0	0	0	0	0	0	
1		PASOLLI	Ivo	1	1	0	0	0	1	7		GARBACIK	Bartek	0	0	0	0	0	0	0	
2		IVINGER	Erich	1	0	1	0	0	1	10		STADLBAUER	Christian	0	0	0	2	0	0	0	
3		STEINICKE	Alexander	0	0	0	2	0	0	0		WEIßSTEINER	Bernhard	1	0	1	0	0	1	10	
4		BüRGES	Milan	0	0	0	1	0	0	0		ZACHAR	Christian	0	0	1	1	0	1	10	
5				0	0	0	0	0	0	0		RADLHERR	Christoph	0	0	1	0	0	1	10	
6		IMRE	Lehel	0	0	0	0	1	0	0		PRENTNER	Clemens	0	0	1	0	0	1	10	
7		LINDNER	Florian	0	0	0	1	0	0	0		FILEK	Rafal	0	0	0	0	0	0	0	
8		PASOLLI	Ivo	0	1	0	2	0	1	7		GARBACIK	Bartek	1	0	0	1	0	0	0	
9		IVINGER	Erich	0	0	0	0	0	0	0		STADLBAUER	Christian	0	0	0	1	0	0	0	
10		DRACK	Lukas	0	0	0	1	0	0	0		WEIßSTEINER	Bernhard	1	1	1	0	0	1	10	
11		BüRGES	Milan	0	0	1	0	0	1	10		ZACHAR	Christian	0	0	0	0	0	0	0	
12		STEINICKE	Alexander	0	0	0	3	0	0	0		RADLHERR	Christoph	0	1	1	0	0	1	10	
13		IMRE	Lehel	0	0	1	0	0	1	10		FILEK	Rafal	0	0	0	0	0	0	0	
14		LINDNER	Florian	1	0	0	2	0	0	0		PRENTNER	Clemens	1	0	0	2	0	0	0	
1		GARBACIK	Bartek	0	0	0	1	0	0	0		LAZEA	Amado	2	0	0	1	0	1	5	
2		STADLBAUER	Christian	0	0	0	1	0	0	0		WEICHINGER	Alexander	1	1	0	1	0	1	7	
3		WEIßSTEINER	Bernhard	0	0	0	0	0	0	0		OTT	Marcel	0	1	1	0	0	1	10	
4		ZACHAR	Christian	1	0	0	0	0	1	5		KUCIARA	Stefan	0	0	0	0	0	0	0	
5		RADLHERR	Christoph	0	0	0	1	0	0	0		REICHMANN	Manuel	0	0	0	1	0	1	10	
6		PRENTNER	Clemens	0	1	0	0	0	0	0		REICHSTEIN	Julian	1	1	1	0	0	1	10	
7		JELINEK	Andreas	0	0	0	0	0	0	0		BRATA	Daniel	1	1	1	0	0	1	10	
8		GARBACIK	Bartek	0	0	0	0	0	1	10		PORA	Daniel	0	0	0	0	0	0	0	
9		STADLBAUER	Christian	0	0	0	2	0	0	0		WEICHINGER	Alexander	1	1	0	1	0	1	7	
10		SLATNER	Raphael	0	0	0	0	0	0	0		OTT	Marcel	0	1	1	0	0	1	10	
11		ZACHAR	Christian	0	1	0	1	0	1	7		SCHNEIDER	Maximilian	0	0	0	0	0	0	0	
12		RADLHERR	Christoph	0	0	0	1	0	1	10		PACHER	Johannes	0	0	0	1	0	0	0	
13		PRENTNER	Clemens	0	0	0	0	0	0	0		REICHSTEIN	Julian	0	2	0	0	0	1	10	
14		JELINEK	Andreas	0	0	0	0	0	0	0		BRATA	Daniel	0	0	1	0	0	1	10	
1		ENGLMAIER	Tobias	0	0	1	0	0	1	10		PASOLLI	Ivo	0	0	0	0	0	0	0	
2		MITTERFELLNER	Andreas	0	0	1	0	0	1	10				0	0	0	0	0	0	0	
3		WIMBERGER	Markus	0	0	0	1	0	0	0		IVINGER	Erich	0	0	1	0	0	1	10	
4		RIESS	Christian	0	0	1	0	0	1	10				0	0	0	0	0	0	0	
5		HÖLLWART	Hermann	0	0	0	1	0	0	0		IMRE	Lehel	0	0	0	1	0	0	0	
6		DUMKE	Robert	0	0	1	0	0	1	10		LINDNER	Florian	0	0	0	0	0	0	0	
7		RIESS	Rupert Jun	0	0	0	0	0	0	0		FARKAS	Balint	0	0	0	0	0	0	0	
8		ENGLMAIER	Tobias	0	0	1	0	0	1	10		PASOLLI	Ivo	1	0	0	0	0	0	0	
9		MITTERFELLNER	Andreas	0	0	1	0	0	1	10				0	0	0	0	0	0	0	
10		WIMBERGER	Markus	1	0	0	1	0	0	0		IVINGER	Erich	1	1	0	2	0	1	7	
11		RIESS	Christian	0	0	0	0	0	1	10				0	0	0	0	0	0	0	
12		HÖLLWART	Hermann	0	0	1	1	0	1	10		IMRE	Lehel	0	0	0	0	0	0	0	
13		DUM	Alois	0	0	0	0	0	0	0		FARKAS	Balint	0	0	1	0	0	1	10	
14		DUMKE	Robert	0	1	0	1	0	1	7		LINDNER	Florian	0	0	0	1	0	0	0	
1		HÖDL	Manuel	1	0	0	0	0	1	10		GREIFENSTEIN	Martin	0	0	0	0	0	0	0	
2		LANG	Dominik	1	2	0	0	0	1	10		VÖTTERL	Fabio	0	0	0	0	0	0	0	
3		RIBITSCH	Stephan	1	0	0	0	0	0	0		PFEIFFER	Johannes	0	2	0	1	0	1	10	
4		MARIJANOVIC	Tomislav	0	0	1	0	0	1	10		SCHVARCZ	Razvan	0	0	0	0	0	0	0	
5		ACKERL	Philipp	0	0	0	0	0	1	10		KRONSCHLÄGER	Florian	0	0	0	0	0	0	0	
6		BERTAGNOLI	Martin	0	0	1	0	0	1	10		FURCH	Lukas	0	0	0	0	0	0	0	
7		KRPALEK	Lukas	0	1	0	0	0	1	10		MATEI	Daniel	0	0	0	0	0	0	0	
8		HÖDL	Manuel	0	0	1	0	0	1	10		GREIFENSTEIN	Martin	0	0	0	0	0	0	0	
9		LANG	Dominik	2	1	1	0	0	1	10		VÖTTERL	Fabio	0	0	0	0	0	0	0	
10		RIBITSCH	Stephan	0	0	0	0	0	0	0		PFEIFFER	Johannes	0	0	1	0	0	1	10	
11		GRASMUGG	Marc	0	0	0	0	0	0	0		SCHVARCZ	Razvan	1	0	1	0	0	1	10	
12		MARIJANOVIC	Tomislav	1	0	0	1	0	1	5		KRONSCHLÄGER	Florian	0	0	0	0	0	0	0	
13		ACKERL	Philipp	0	0	0	0	0	0	0		MATEI	Daniel	0	0	1	0	0	1	10	
14		KRPALEK	Lukas	0	2	0	0	0	1	10		FURCH	Lukas	0	0	0	0	0	0	0	
1		PÜHRINGER	Reinhold	0	1	0	1	0	1	7		WALDHÖR	Dominik	0	0	0	0	0	0	0	
2		REITER	Georg	1	0	1	1	0	1	10		JODL	Christoph	0	0	0	2	0	0	0	
3		SHALA	Driton	1	0	1	0	0	1	10		FROSCHAUER	Alexander	0	1	0	0	0	0	0	
4		SCHARINGER	Peter	0	0	1	0	0	1	10		HELM	Manuel	0	0	0	0	0	0	0	
5		FERCHER	Albert	1	0	1	1	0	1	10		MAYR	Bernhard	0	0	0	2	0	0	0	
6		GROISS	Thomas	0	0	1	1	0	1	10		OSTASZEWSKI	Dominik	0	0	0	1	0	0	0	
7		ALLERSTORFER	Daniel	0	0	1	0	0	1	10		RUTZENSTORFER	Christian	0	0	0	0	0	0	0	
8		PÜHRINGER	Reinhold	1	0	1	0	0	1	10		WALDHÖR	Dominik	0	0	0	0	0	0	0	
9		WEIXELBAUMER	Tobias	0	0	0	0	0	0	0		JODL	Christoph	0	0	0	1	0	0	0	
10		REITER	Martin	0	0	0	1	0	0	0		WATZENBÖCK	Clemens	0	0	1	0	0	1	10	
11		SCHARINGER	Peter	0	0	1	0	0	1	10		OSTASZEWSKI	Dominik	0	0	0	0	0	0	0	
12		FERCHER	Albert	0	0	1	0	0	1	10		HELM	Manuel	0	0	0	1	0	0	0	
13		GROISS	Thomas	0	1	1	0	0	1	10		MAYR	Bernhard	1	0	0	1	0	0	0	
14		ALLERSTORFER	Daniel	0	0	1	0	0	1	10		RUTZENSTORFER	Christian	0	0	0	0	0	0	0	
1		HUEMER	Mathias	0	0	0	0	0	1	10				0	0	0	0	0	0	0	
2		WEIXELBAUMER	Tobias	0	0	0	0	0	0	0		STADLBAUER	Christian	0	0	1	0	0	1	10	
3		REITER	Georg	0	0	1	0	0	1	10		WEIßSTEINER	Bernhard	0	0	0	1	0	0	0	
4		SCHAUBMAYR	Rene	1	0	0	1	0	1	5		ZACHAR	Christian	0	0	0	1	0	0	0	
5		SCHARINGER	Peter	2	1	0	0	0	1	7		RADLHERR	Christoph	0	0	0	3	0	0	0	
6		FERCHER	Albert	2	1	0	2	0	1	7		PRENTNER	Clemens	1	0	0	2	0	0	0	
7		ALLERSTORFER	Daniel	1	0	1	0	0	1	10		JELINEK	Andreas	0	0	0	2	0	0	0	
8		EDER	Valentin	0	0	0	0	0	1	10				0	0	0	0	0	0	0	
9		HUEMER	Mathias	0	0	1	0	0	1	10		DRAZENOVIC	Nikola	0	0	0	0	0	0	0	
10		DOBERSBERGER	Martin	0	0	0	0	0	0	0		WEIßSTEINER	Bernhard	0	0	0	0	0	0	0	
11		SCHARINGER	Peter	1	0	0	1	0	1	5		STUMPF	Norbert	0	0	0	1	0	0	0	
12		FERCHER	Albert	1	0	0	1	0	0	0		RADLHERR	Christoph	0	0	1	2	0	1	10	
13		SCHAUBMAYR	Rene	0	0	0	0	0	0	0		PRENTNER	Clemens	0	1	1	0	0	1	10	
14		ALLERSTORFER	Daniel	0	0	1	0	0	1	10		JELINEK	Andreas	0	0	0	0	0	0	0	
1		HOFMANN	Lukas	0	0	0	1	0	0	0		HÖDL	Manuel	1	1	1	0	0	1	10	
2		HOFMANN	Nico	0	0	1	0	0	1	10		LANG	Dominik	0	0	0	0	0	0	0	
3		WAGNER	Steffen	0	0	1	0	0	1	10		RIBITSCH	Stephan	0	0	0	1	0	0	0	
4		SCHIRNHOFER	Felix	0	2	1	0	0	1	10		GRASMUGG	Marc	0	0	0	0	0	0	0	
5		SCHIRNHOFER	Maximilian	0	0	1	0	0	1	10		SCHÖGLER	Christoph	0	0	0	0	0	0	0	
6		KRONBERGER	Christoph	1	0	1	0	0	1	10		ACKERL	Philipp	0	0	0	0	0	0	0	
7		BOR	Barna	0	0	1	0	0	1	10		BERTAGNOLI	Martin	0	0	0	0	0	0	0	
8		HOFMANN	Lukas	0	0	0	0	0	0	0		HÖDL	Manuel	0	0	1	0	0	1	10	
9		HOFMANN	Nico	0	0	0	1	0	0	0		LANG	Dominik	0	0	0	1	0	0	0	
10		WAGNER	Steffen	0	0	1	0	0	1	10		GRASMUGG	Marc	0	0	0	0	0	0	0	
11		WARTBICHLER	Hannes	0	0	1	0	0	1	10		RIBITSCH	Stephan	0	0	0	0	0	0	0	
12		SCHIRNHOFER	Maximilian	0	2	1	0	0	1	10		ACKERL	Philipp	0	0	0	0	0	0	0	
13		KRONBERGER	Stefan	1	2	1	0	0	1	10		SCHÖGLER	Christoph	0	0	0	2	0	0	0	
14		BOR	Barna	0	0	1	0	0	1	10		BERTAGNOLI	Martin	0	0	0	0	0	0	0	
1		ENGLMAIER	Tobias	0	0	1	0	0	1	10		HIRLET	Florin	0	0	0	0	0	0	0	
2		PETRIKOV	Pavel	0	0	0	0	0	0	0		WEICHINGER	Alexander	0	0	0	0	0	0	0	
3		MITTERFELLNER	Andreas	1	0	0	0	0	1	5		HAASMANN	Nick	0	0	0	1	0	0	0	
4		RIESS	Christian	0	0	0	1	0	0	0		KUCIARA	Stefan	0	0	1	0	0	1	10	
5		ASCHABER	Anton	0	0	0	1	0	0	0		REICHMANN	Manuel	2	0	1	0	0	1	10	
6		DUM	Alois	0	0	0	1	0	0	0		REICHSTEIN	Julian	0	0	1	0	0	1	10	
7		RIESS	Rupert Jun	0	0	0	1	0	0	0		BRATA	Daniel	0	1	1	1	0	1	10	
8		ENGLMAIER	Tobias	1	2	0	0	0	1	10		HIRLET	Florin	0	0	0	2	0	0	0	
9		PETRIKOV	Pavel	2	1	0	0	0	1	7		WEICHINGER	Alexander	0	0	0	2	0	0	0	
10		MITTERFELLNER	Andreas	0	0	1	0	0	1	10		HAASMANN	Nick	0	0	0	0	0	0	0	
11		RIESS	Christian	0	0	0	0	0	0	0		KUCIARA	Stefan	1	0	1	0	0	1	10	
12		SOMMERER-HINTERBICHLER	Andreas	0	0	0	0	0	0	0		REICHMANN	Manuel	1	0	0	0	0	1	5	
13		DUM	Alois	0	0	0	0	0	0	0		REICHSTEIN	Julian	1	0	1	0	0	1	10	
14		RIESS	Rupert Jun	0	0	0	0	0	0	0		BRATA	Daniel	0	0	1	0	0	1	10	
1		VOGEL	Amin	0	0	0	0	0	0	0		WALDHÖR	Dominik	1	2	0	0	0	1	10	
2		TIEFGRABER	Andreas	0	0	1	0	0	1	10		JODL	Christoph	0	0	0	1	0	0	0	
3		PFEIFFER	Johannes	0	0	0	0	0	0	0		MAYR	Bernhard	1	0	1	0	0	1	10	
4		HALAS	Marian	0	0	1	0	0	1	10		WATZENBÖCK	Clemens	0	0	0	0	0	0	0	
5		KRONSCHLÄGER	Florian	0	2	0	3	0	1	10		ZEHETNER	Jan	0	1	0	1	0	0	0	
6		MATEI	Daniel	1	0	1	0	0	1	10		OSTASZEWSKI	Dominik	0	0	0	1	0	0	0	
7		OBERMAYR	Stefan	0	0	1	1	0	1	10		RUTZENSTORFER	Christian	0	0	0	1	0	0	0	
8		VOGEL	Amin	0	0	0	0	0	0	0		WALDHÖR	Dominik	1	0	1	0	0	1	10	
9		TIEFGRABER	Andreas	1	1	1	0	0	1	10		JODL	Christoph	0	0	0	2	0	0	0	
10		PFEIFFER	Johannes	1	0	0	1	0	0	0		MAYR	Bernhard	0	1	0	2	0	1	7	
11		SCHVARCZ	Razvan	0	1	1	0	0	1	10		WATZENBÖCK	Clemens	0	0	0	0	0	0	0	
12		KRONSCHLÄGER	Florian	1	0	1	1	0	1	10		OSTASZEWSKI	Dominik	1	0	0	2	0	0	0	
13		MATEI	Daniel	1	1	1	0	0	1	10		ZEHETNER	Jan	0	1	0	3	0	0	0	
14		OBERMAYR	Stefan	0	0	1	0	0	1	10		RUTZENSTORFER	Christian	0	0	0	0	0	0	0	
1		WALDHÖR	Dominik	0	0	0	0	0	0	0		GARBACIK	Bartek	0	0	1	0	0	1	10	
2		SZOKE	Laszlo	0	0	0	0	0	0	0		STADLBAUER	Christian	0	0	1	0	0	1	10	
3		HELM	Manuel	0	0	0	0	0	0	0		UNGVARI	Miklos	0	0	1	0	0	1	10	
4		OSTASZEWSKI	Dominik	0	0	0	0	0	0	0		ZACHAR	Christian	0	0	1	0	0	1	10	
5		MAYR	Bernhard	1	0	0	2	1	0	0		RADLHERR	Christoph	1	0	1	2	0	1	10	
6		ZEHETNER	Jan	0	0	1	0	0	1	10		KUBA	Sascha	0	0	0	0	0	0	0	
7		JURCIK	Pavol	0	1	1	0	0	1	10		PRENTNER	Clemens	0	0	0	0	0	0	0	
8		WALDHÖR	Dominik	0	0	0	0	0	0	0		GARBACIK	Bartek	0	0	0	0	0	0	0	
9		SZOKE	Laszlo	0	0	1	1	0	1	10		STADLBAUER	Christian	0	0	0	1	0	0	0	
10		HELM	Manuel	0	0	0	0	0	0	0		UNGVARI	Miklos	0	0	1	0	0	1	10	
11		OSTASZEWSKI	Dominik	0	0	0	0	0	0	0		ZACHAR	Christian	0	0	1	0	0	1	10	
12		MAYR	Bernhard	0	0	0	1	0	0	0		RADLHERR	Christoph	0	0	1	1	0	1	10	
13		ZEHETNER	Jan	0	0	1	0	0	1	10		PRENTNER	Clemens	0	0	0	0	0	0	0	
14		JURCIK	Pavol	0	0	1	0	0	1	10		KUBA	Sascha	0	0	0	0	0	0	0	
1		HIRLET	Florin	0	0	0	2	0	0	0		PÜHRINGER	Reinhold	2	0	1	0	0	1	10	
2		WEICHINGER	Alexander	0	0	0	2	0	0	0		REITER	Georg	2	1	0	1	0	1	7	
3		OTT	Marcel	0	0	1	0	0	1	10		SHALA	Driton	0	0	0	1	0	0	0	
4		KUCIARA	Stefan	0	0	0	0	0	0	0		SCHARINGER	Peter	0	0	0	1	0	0	0	
5		REICHMANN	Manuel	1	0	1	1	0	1	10		SCHAUBMAYR	Rene	0	0	0	2	0	0	0	
6		REICHSTEIN	Julian	2	1	0	2	0	1	7		GERZER	Dominik	1	0	0	2	0	0	0	
7		BRATA	Daniel	3	0	0	0	0	0	0		ALLERSTORFER	Daniel	0	1	0	2	0	1	7	
8		KUDERA	Stefan	0	0	0	2	0	0	0		HUEMER	Mathias	2	2	0	0	0	1	10	
9		WEICHINGER	Alexander	0	0	0	1	0	0	0		REITER	Georg	0	0	0	0	0	0	0	
10		OTT	Marcel	0	1	0	0	0	1	7		SHALA	Driton	2	0	0	1	0	0	0	
11		KUCIARA	Stefan	1	0	1	1	0	1	10		SCHAUBMAYR	Rene	0	0	0	2	0	0	0	
12		REICHMANN	Manuel	1	0	1	1	0	1	10		SCHARINGER	Peter	0	0	0	2	0	0	0	
13		REICHSTEIN	Julian	0	0	1	1	0	1	10		GERZER	Dominik	0	0	0	0	0	0	0	
14		GEIER	Gabor	0	0	0	0	0	0	0		ALLERSTORFER	Daniel	0	0	1	0	0	1	10	
1		HÖDL	Manuel	0	0	0	0	0	0	0		ENGLMAIER	Tobias	0	0	1	0	0	1	10	
2		LANG	Dominik	2	0	1	1	0	1	10		HERZOG	Andreas	0	0	0	0	0	0	0	
3		ACKERL	Thomas	1	0	0	0	0	0	0		WIMBERGER	Markus	1	0	0	0	0	0	0	
4		MARIJANOVIC	Tomislav	1	1	1	2	0	1	10		RIESS	Christian	2	0	0	1	0	0	0	
5		ACKERL	Philipp	0	0	0	1	0	0	0		SOMMERER-HINTERBICHLER	Andreas	0	0	0	0	0	0	0	
6		BERTAGNOLI	Martin	0	0	0	0	0	0	0		DUMKE	Robert	0	2	0	0	0	1	10	
7		PFEIFFER	Dino	1	0	1	0	0	1	10		RIESS	Rupert Jun	0	1	0	1	0	0	0	
8		HÖDL	Manuel	0	0	0	0	0	0	0		ENGLMAIER	Tobias	0	0	1	0	0	1	10	
9		LANG	Dominik	0	0	1	0	0	1	10		HERZOG	Andreas	0	0	0	0	0	0	0	
10		RIBITSCH	Stephan	0	0	0	0	0	0	0		WIMBERGER	Markus	0	0	1	0	0	1	10	
11		MARIJANOVIC	Tomislav	0	0	1	0	0	1	10		RIESS	Christian	0	0	0	0	0	0	0	
12		ACKERL	Philipp	1	1	0	0	0	1	7		SOMMERER-HINTERBICHLER	Andreas	0	0	0	0	0	0	0	
13		BERTAGNOLI	Martin	0	0	0	0	0	0	0		DUMKE	Robert	0	1	0	0	0	1	7	
14		PFEIFFER	Dino	0	0	1	1	0	1	10		RIESS	Rupert Jun	0	0	0	1	0	0	0	
1		MÖLLINGER	Christian	0	0	0	0	0	0	0		HOFMANN	Lukas	0	0	1	1	0	1	10	
2		IVINGER	Erich	1	0	0	0	0	1	5		HOFMANN	Nico	0	0	0	1	0	0	0	
3		STEINICKE	Alexander	0	0	0	0	0	0	0		WAGNER	Steffen	1	0	1	0	0	1	10	
