Round	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Source
	ASKÖ Reichraming			0	0	Union Graz			1		{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming			0	0	Union Graz			1		{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming			0	0	Union Graz			1		{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming	Franz	Ohlenschläger	1		Union Graz			0	0	{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming		Schölmbauer	1		Union Graz			0	0	{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming		Stock	1		Union Graz			0	0	{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming	Rupert	Herndi	1		Union Graz			0	0	{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming			0	0	Union Graz			1		{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming			0	0	Union Graz			1		{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming			0	0	Union Graz			1		{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming	Franz	Ohlenschläger	1		Union Graz			0	0	{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming	Rupert	Herndi	1		Union Graz			0	0	{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming		Schölmbauer	1		Union Graz			0	0	{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
	ASKÖ Reichraming		Kreuzriegler	1		Union Graz			0	0	{{Internetquelle |titel=Die Reichraminger Judokas begeisterten mit großartiger kämpferischer Leistung |url=https://judo-reichraming.at/wp-content/uploads/2021/01/Zeitung1977_s.jpg |werk= |hrsg= |datum=1977-10-27 |sprache=de |abruf=2025-03-17}}
