Playoffs	Round	Weight Class	Fight Number	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Ippon 1	Wazaari 1	Yuko 1	Koka 1	Shido 1	HSM 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Ippon 2	Wazaari 2	Yuko 2	Koka 2	Shido 2	HSM 2	Source	Points 1	Points 2
P	1	+100 kg	6	Judo Union Raiffeisen Flachgau	Michael	Korrel	0	0	0	0	0	0	0	0	JC Wimpassing/Lassee	Ilie	Natea	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-60 kg	7	Judo Union Raiffeisen Flachgau	Dominik	Waldhör	1	10	1	1	1	0	0	0	JC Wimpassing/Lassee	Bernhard	Lang	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-66 kg	8	Judo Union Raiffeisen Flachgau	Christoph	Jodl	0	0	0	0	0	0	1	0	JC Wimpassing/Lassee	Lukas	Reiter	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-73 kg	9	Judo Union Raiffeisen Flachgau	Bernhard	Mayr	0	0	0	0	1	0	0	0	JC Wimpassing/Lassee	Markus	Pausch	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-81 kg	10	Judo Union Raiffeisen Flachgau	Laszlo	Csoknyai	1	10	1	0	0	0	0	0	JC Wimpassing/Lassee	Johann	Schmid	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-90 kg	11	Judo Union Raiffeisen Flachgau	Christian	Pichler	0	0	0	0	0	0	2	0	JC Wimpassing/Lassee	David	Klammert	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-100 kg	12	Judo Union Raiffeisen Flachgau	Michael	Korrel	1	10	1	1	2	0	0	0	JC Wimpassing/Lassee	Florian	Wallner	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	+100 kg	13	Judo Union Raiffeisen Flachgau	Christoph	Kronberger	0	0	0	0	0	0	0	1	JC Wimpassing/Lassee	Ilie	Natea	1	10	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	-60 kg	0	Judo Union Raiffeisen Flachgau	Dominik	Waldhör	0	0	0	0	1	0	0	0	Volksbank Galaxy Judo Tigers	Denislav	Ivanov	1	10	1	0	2	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	-66 kg	1	Judo Union Raiffeisen Flachgau	Nico	Hofmann	0	0	0	0	0	0	1	0	Volksbank Galaxy Judo Tigers	Mathias	Czizsek	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	-73 kg	2	Judo Union Raiffeisen Flachgau	Bernhard	Mayr	0	0	0	0	0	0	3	0	Volksbank Galaxy Judo Tigers	Christopher	Wagner	1	5	0	0	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
