Playoffs	Round	Weight Class	Fight Number	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Ippon 1	Wazaari 1	Yuko 1	Koka 1	Shido 1	HSM 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Ippon 2	Wazaari 2	Yuko 2	Koka 2	Shido 2	HSM 2	Source
G	1	-60 kg	0	Union Kirchham	Andras	Vida	1	7	0	1	0	0	1	0	WAT Stadlau	Wolfgang	Schneider	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-66 kg	1	Union Kirchham	Johannes	Beißkammer	1	10	1	0	0	0	0	0	WAT Stadlau	Stefan	Moser	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-73 kg	2	Union Kirchham	Daniel	Plank	0	0	0	0	0	0	3	0	WAT Stadlau	Philip	Weber	1	10	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-81 kg	3	Union Kirchham	Thomas	Angerer	1	10	1	1	0	0	0	0	WAT Stadlau	Nikola	Gusic	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-90 kg	4	Union Kirchham	Hans-Peter	Bergthaler	1	7	0	1	0	0	0	0	WAT Stadlau	David	Fankhauser	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-100 kg	5	Union Kirchham	Maximilian	Hageneder	1	10	0	2	0	0	0	0	WAT Stadlau	Thomas	Haider	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+100 kg	6	Union Kirchham	Lukas	Beiskammer	0	0	0	0	0	0	0	0	WAT Stadlau	Niko	Herzog	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-60 kg	7	Union Kirchham	Andras	Vida	1	10	1	0	0	0	0	0	WAT Stadlau	Wolfgang	Schneider	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-66 kg	8	Union Kirchham	Johannes	Beißkammer	0	0	0	0	0	0	0	0	WAT Stadlau	Stefan	Moser	1	10	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-73 kg	9	Union Kirchham	Gerald	Radner	0	0	0	0	0	0	2	0	WAT Stadlau	Philip	Weber	1	7	0	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-81 kg	10	Union Kirchham	Thomas	Angerer	0	0	0	0	0	0	0	0	WAT Stadlau	Nikola	Gusic	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-90 kg	11	Union Kirchham	Simon	Aignesberger	0	0	0	0	0	0	1	0	WAT Stadlau	Clemens	Weber	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-100 kg	12	Union Kirchham	Maximilian	Hageneder	1	10	1	0	0	0	0	0	WAT Stadlau	Thomas	Haider	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+100 kg	13	Union Kirchham	Lukas	Beiskammer	0	0	0	0	0	0	2	0	WAT Stadlau	Niko	Herzog	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-60 kg	0	Union Kirchham	David	Littringer	0	0	0	0	0	0	0	0	PSV Salzburg	Christoph	Powolny	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-66 kg	1	Union Kirchham	Johannes	Beißkammer	0	0	0	0	0	0	0	0	PSV Salzburg	Alexander	Weidlinger	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-73 kg	2	Union Kirchham	Markus	Beißkammer	1	7	0	1	0	0	1	0	PSV Salzburg	Tobias	Windbichler	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-81 kg	3	Union Kirchham	Thomas	Angerer	0	0	0	0	0	0	1	0	PSV Salzburg	Alexander	Hauch	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-90 kg	4	Union Kirchham	Hans-Peter	Bergthaler	1	10	1	0	0	0	0	0	PSV Salzburg	Johannes	Spilka	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-100 kg	5	Union Kirchham	Simon	Aignesberger	0	0	0	0	0	0	0	0	PSV Salzburg	Bosko	Borenovic	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+100 kg	6	Union Kirchham	Milan	Köller	1	10	1	0	0	0	0	0	PSV Salzburg	Stefan	Cristescu	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-60 kg	7	Union Kirchham	Dennis	Sosnowski	0	0	0	0	0	0	0	0	PSV Salzburg	Christoph	Powolny	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-66 kg	8	Union Kirchham	Johannes	Beißkammer	1	10	0	2	0	0	1	0	PSV Salzburg	Alexander	Weidlinger	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-73 kg	9	Union Kirchham	Markus	Beißkammer	1	10	0	2	0	0	1	0	PSV Salzburg	Tobias	Windbichler	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-81 kg	10	Union Kirchham	Thomas	Angerer	1	10	0	0	0	0	0	0	PSV Salzburg	Alexander	Hauch	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-90 kg	11	Union Kirchham	Hans-Peter	Bergthaler	1	10	1	0	0	0	0	0	PSV Salzburg	Johannes	Spilka	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-100 kg	12	Union Kirchham	Simon	Aignesberger	0	0	0	0	0	0	0	0	PSV Salzburg	Bosko	Borenovic	1	10	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+100 kg	13	Union Kirchham	Milan	Köller	1	10	0	2	0	0	0	0	PSV Salzburg	Felix	Löcker	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-60 kg	0	Union Kirchham	Julian	Rieger	1	10	0	0	0	0	1	0	Vienna Samurai	Borys	Galek	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-66 kg	1	Union Kirchham	Rupert 99	Beiskammer	1	10	1	0	0	0	1	0	Vienna Samurai	Michail	Sobanov	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-73 kg	2	Union Kirchham	Markus	Beißkammer	0	0	0	0	0	0	1	0	Vienna Samurai	Felician	Öri	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-81 kg	3	Union Kirchham	Thomas	Angerer	0	0	0	0	0	0	1	0	Vienna Samurai	Dominic	Huscava	1	7	0	1	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-90 kg	4	Union Kirchham	Hans-Peter	Bergthaler	0	0	0	0	0	0	0	0	Vienna Samurai	Gabriel	Lukanovic	1	10	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-100 kg	5	Union Kirchham	Maximilian	Hageneder	0	0	0	0	0	0	0	0	Vienna Samurai	Christoph	Radlherr	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+100 kg	6	Union Kirchham	Milan	Köller	1	10	0	2	0	0	0	0	Vienna Samurai	Patrick	Steinmann	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-60 kg	7	Union Kirchham	Julian	Rieger	0	0	0	0	0	0	2	0	Vienna Samurai	Borys	Galek	1	10	0	2	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-66 kg	8	Union Kirchham	Johannes	Beißkammer	1	10	1	0	0	0	0	0	Vienna Samurai	Michail	Sobanov	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-73 kg	9	Union Kirchham	Markus	Beißkammer	0	0	0	0	0	0	0	0	Vienna Samurai	Felician	Öri	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-81 kg	10	Union Kirchham	Thomas	Angerer	0	0	0	0	0	0	0	0	Vienna Samurai	Dominic	Huscava	1	7	0	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-90 kg	11	Union Kirchham	Milan	Köller	1	10	0	2	0	0	0	0	Vienna Samurai	Gabriel	Lukanovic	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-100 kg	12	Union Kirchham	Maximilian	Hageneder	1	10	0	0	0	0	0	0	Vienna Samurai	Patrick	Steinmann	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+100 kg	13	Union Kirchham	Hans-Peter	Bergthaler	1	10	1	0	0	0	0	0	Vienna Samurai	Christoph	Radlherr	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-60 kg	0	Union Kirchham	Julian	Rieger	1	10	0	0	0	0	1	0	UJZ Mühlviertel 2	Lukas	Lindorfer	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-66 kg	1	Union Kirchham	Johannes	Beißkammer	1	10	0	0	0	0	0	0	UJZ Mühlviertel 2	Kaly	Camatta	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-73 kg	2	Union Kirchham	Daniel	Plank	0	0	0	0	0	0	3	0	UJZ Mühlviertel 2	Richard	Pröll	1	10	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-81 kg	3	Union Kirchham	Thomas	Angerer	0	0	0	0	0	0	1	0	UJZ Mühlviertel 2	Wojciech	Kanik	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-90 kg	4	Union Kirchham	Milan	Köller	1	10	0	2	0	0	0	0	UJZ Mühlviertel 2	Jakob	Wiesinger	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-100 kg	5	Union Kirchham	Maximilian	Hageneder	1	10	0	0	0	0	0	0	UJZ Mühlviertel 2			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+100 kg	6	Union Kirchham	Hans-Peter	Bergthaler	1	10	0	0	0	0	0	0	UJZ Mühlviertel 2			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-60 kg	7	Union Kirchham	Julian	Rieger	1	10	0	1	0	0	1	0	UJZ Mühlviertel 2	Lukas	Lindorfer	0	0	0	1	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-66 kg	8	Union Kirchham	Johannes	Beißkammer	1	10	1	0	0	0	0	0	UJZ Mühlviertel 2	Kaly	Camatta	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-73 kg	9	Union Kirchham	Kevin	Huemer	1	10	1	1	0	0	0	0	UJZ Mühlviertel 2	Richard	Pröll	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-81 kg	10	Union Kirchham	Thomas	Angerer	0	0	0	0	0	0	1	0	UJZ Mühlviertel 2	Jakob	Wiesinger	1	7	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-90 kg	11	Union Kirchham	Milan	Köller	1	10	1	0	0	0	0	0	UJZ Mühlviertel 2	Wojciech	Kanik	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-100 kg	12	Union Kirchham	Maximilian	Hageneder	1	10	0	0	0	0	0	0	UJZ Mühlviertel 2			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+100 kg	13	Union Kirchham	Hans-Peter	Bergthaler	1	10	0	0	0	0	0	0	UJZ Mühlviertel 2			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-60 kg	0	ESV Sanjindo	Artem	Lesiuk	1	10	1	0	0	0	0	0	JU Raika Pinzgau	Andreas	Pessentheiner	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-66 kg	1	ESV Sanjindo	Pascal	Auer	0	0	0	0	0	0	0	0	JU Raika Pinzgau	Matej	Poliak	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-73 kg	2	ESV Sanjindo	Herbert	Wicker	1	10	1	1	0	0	0	0	JU Raika Pinzgau	Thomas	Grössig	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-81 kg	3	ESV Sanjindo	Anton	Wicker	0	0	0	0	0	0	3	0	JU Raika Pinzgau	Andreas	Mitterfellner	1	10	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-90 kg	4	ESV Sanjindo	Thomas	Scharfetter	1	10	0	0	0	0	1	0	JU Raika Pinzgau	Hermann	Höllwart	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-100 kg	5	ESV Sanjindo	Moritz	Höllwart	0	0	0	0	0	0	3	0	JU Raika Pinzgau	Peter	Zilka	1	10	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+100 kg	6	ESV Sanjindo	Jelle	Snippe	1	10	0	2	0	0	0	0	JU Raika Pinzgau	Christoph	Mayer	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-60 kg	7	ESV Sanjindo	Artem	Lesiuk	1	10	1	0	0	0	0	0	JU Raika Pinzgau	Andreas	Pessentheiner	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-66 kg	8	ESV Sanjindo	Pascal	Auer	0	0	0	0	0	0	0	0	JU Raika Pinzgau	Matej	Poliak	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-73 kg	9	ESV Sanjindo	Herbert	Wicker	1	10	1	1	0	0	0	0	JU Raika Pinzgau	Thomas	Grössig	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-81 kg	10	ESV Sanjindo	Raphael	Zippusch	0	0	0	0	0	0	1	0	JU Raika Pinzgau	Andreas	Mitterfellner	1	10	0	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-90 kg	11	ESV Sanjindo	Moritz	Höllwart	0	0	0	1	0	0	3	0	JU Raika Pinzgau	Hermann	Höllwart	1	10	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-100 kg	12	ESV Sanjindo	Michael	Niederdorfer	0	0	0	0	0	0	1	0	JU Raika Pinzgau	Peter	Zilka	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+100 kg	13	ESV Sanjindo	Jelle	Snippe	1	10	0	0	0	0	0	0	JU Raika Pinzgau	Christoph	Mayer	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-60 kg	0	ESV Sanjindo	Martin	Baier	0	0	0	0	0	0	0	0	JC Wimpassing Sparkasse	Thomas	Lang	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-66 kg	1	ESV Sanjindo	Pascal	Auer	0	0	0	0	0	0	1	0	JC Wimpassing Sparkasse	Bernhard	Lang	1	7	0	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-73 kg	2	ESV Sanjindo	Herbert	Wicker	0	0	0	0	0	0	2	0	JC Wimpassing Sparkasse	Lukas	Reiter	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-81 kg	3	ESV Sanjindo	Anton	Wicker	0	0	0	0	0	0	1	0	JC Wimpassing Sparkasse	Michael	Zeltner	1	10	1	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-90 kg	4	ESV Sanjindo	Michael	Niederdorfer	0	0	0	0	0	0	1	0	JC Wimpassing Sparkasse	Florian	Wallner	1	10	0	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-100 kg	5	ESV Sanjindo	Moritz	Höllwart	0	0	0	0	0	0	1	0	JC Wimpassing Sparkasse	Aaron	Fara	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+100 kg	6	ESV Sanjindo	Thomas	Scharfetter	0	0	0	0	0	0	1	0	JC Wimpassing Sparkasse	Bernhard	Alber	1	10	0	2	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-60 kg	7	ESV Sanjindo	Martin	Baier	0	0	0	0	0	0	0	0	JC Wimpassing Sparkasse	Thomas	Lang	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-66 kg	8	ESV Sanjindo	Pascal	Auer	1	10	1	0	0	0	0	0	JC Wimpassing Sparkasse	Bernhard	Lang	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-73 kg	9	ESV Sanjindo	Herbert	Wicker	0	0	0	1	0	0	3	0	JC Wimpassing Sparkasse	Lukas	Reiter	1	10	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-81 kg	10	ESV Sanjindo	Anton	Wicker	1	10	1	1	0	0	1	0	JC Wimpassing Sparkasse	Andreas	Wenisch	0	0	0	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-90 kg	11	ESV Sanjindo	Michael	Niederdorfer	0	0	0	0	0	0	0	0	JC Wimpassing Sparkasse	Florian	Wallner	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-100 kg	12	ESV Sanjindo	Moritz	Höllwart	0	0	0	0	0	0	1	0	JC Wimpassing Sparkasse	Mario	Buchebner	1	7	0	1	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+100 kg	13	ESV Sanjindo	Thomas	Scharfetter	0	0	0	0	0	0	0	0	JC Wimpassing Sparkasse	Aaron	Fara	1	10	1	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-60 kg	0	ESV Sanjindo	Alon	Aharon	1	7	0	1	0	0	1	0	JU Raiffeisen Flachgau	Vache	Adamyan	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-66 kg	1	ESV Sanjindo	Pascal	Auer	0	0	0	0	0	0	1	0	JU Raiffeisen Flachgau	Dominik	Waldhör	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-73 kg	2	ESV Sanjindo	Herbert	Wicker	1	10	1	0	0	0	0	0	JU Raiffeisen Flachgau	Marko	Vukicevic	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-81 kg	3	ESV Sanjindo	Anton	Wicker	1	7	0	1	0	0	2	0	JU Raiffeisen Flachgau	Randolf	Stangl	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-90 kg	4	ESV Sanjindo	Michael	Niederdorfer	1	10	0	2	0	0	2	0	JU Raiffeisen Flachgau	Andreas	Nagl	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-100 kg	5	ESV Sanjindo	Thomas	Scharfetter	0	0	0	0	0	0	2	0	JU Raiffeisen Flachgau	Christian	Pichler	1	7	0	1	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+100 kg	6	ESV Sanjindo	Jelle	Snippe	1	10	0	0	0	0	1	0	JU Raiffeisen Flachgau	Christoph	Kronberger	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-60 kg	7	ESV Sanjindo	Alon	Aharon	0	0	0	0	0	0	0	0	JU Raiffeisen Flachgau	Vache	Adamyan	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-66 kg	8	ESV Sanjindo	Pascal	Auer	1	10	1	0	0	0	0	0	JU Raiffeisen Flachgau	Dominik	Waldhör	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-73 kg	9	ESV Sanjindo	Herbert	Wicker	0	0	0	0	0	0	0	0	JU Raiffeisen Flachgau	Marko	Vukicevic	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
