Fight Number	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
14	HORAK	Michal	0	0	0	1	0	0	0	RANDL	Milan	0	0	0	1	0	0	0	
1	AUTENGRUBER	Stefan	0	0	0	0	0	0	0	HÖDL	Manuel	0	0	0	0	0	1	5	
2	JODL	Christoph	0	0	0	0	0	0	0	LANG	Dominik	0	0	0	0	0	1	10	
3	MAYR	Bernhard	0	0	0	0	0	1	10	ACKERL	Thomas	0	0	0	0	0	0	0	
4	MILICHOVSKY	Matus	0	0	0	0	0	0	0	SEDEJ	Aljaz	0	0	0	0	0	1	10	
5			0	0	0	0	0	0	0	ACKERL	Philipp	0	0	0	0	0	1	10	
6	HELM	Manuel	0	0	0	0	0	0	0	KRPALEK	Lukas	0	0	0	0	0	0	0	
7	RANDL	Milan	0	0	0	0	0	1	10	BERTAGNOLI	Martin	0	0	0	0	0	1	10	
8	AUTENGRUBER	Stefan	0	0	0	0	0	0	0	HÖDL	Manuel	0	0	0	0	0	0	0	
9	EIBENSTEINER	Gregor	0	0	0	0	0	0	0	LANG	Dominik	0	0	0	0	0	1	5	
10	MAYR	Bernhard	0	0	0	0	0	1	10	ACKERL	Thomas	0	0	0	0	0	0	0	
11	MILICHOVSKY	Matus	0	0	0	0	0	0	0	SEDEJ	Aljaz	0	0	0	0	0	1	7	
12			0	0	0	0	0	0	0	ACKERL	Philipp	0	0	0	0	0	1	10	
13	HELM	Manuel	0	0	0	0	0	0	0	KRPALEK	Lukas	0	0	0	0	0	1	10	
14	RANDL	Milan	0	0	0	0	0	1	10	BERTAGNOLI	Martin	0	0	0	0	0	0	0	
1	HAUCH	Alexander	0	0	0	0	0	0	0	PÜHRINGER	Reinhold	0	0	1	0	0	1	10	
2	TIEFGRABER	Andreas	0	1	1	0	0	1	10	WEIXELBAUMER	Tobias	0	0	0	0	0	0	0	
3	PFEIFFER	Johannes	1	0	0	2	0	0	0	SHALA	Driton	2	0	1	2	0	1	10	
4	OBERMAYR	Stefan	0	0	0	2	0	0	0	SCHARINGER	Peter	0	2	0	2	0	1	10	
5	SCHVARCZ	Razvan	0	0	1	0	0	1	10	FERCHER	Albert	0	0	0	1	0	0	0	
6	MATEI	Daniel	0	0	0	0	1	0	0	JURECKA	Alexandr	0	0	0	0	0	1	10	
7	KRONSCHLÄGER	Florian	1	2	0	0	0	1	10	GROISS	Thomas	0	0	0	0	0	0	0	
8	HAUCH	Alexander	0	0	0	0	0	0	0	PÜHRINGER	Reinhold	0	0	1	0	0	1	10	
9	TIEFGRABER	Andreas	0	0	0	0	0	1	1	WEIXELBAUMER	Tobias	0	0	0	3	0	0	0	
10	PFEIFFER	Johannes	0	0	0	1	0	0	0	REITER	Georg	0	0	0	0	0	1	1	
11	OBERMAYR	Stefan	0	0	0	1	0	0	0	SCHARINGER	Peter	0	0	1	1	0	1	10	
12	SCHVARCZ	Razvan	0	1	0	0	0	1	10	FERCHER	Albert	0	0	0	0	1	0	0	
13	MATEI	Daniel	0	0	0	0	0	0	0	JURECKA	Alexandr	0	1	1	1	0	1	10	
14	KRONSCHLÄGER	Florian	0	1	0	2	0	1	7	GROISS	Thomas	0	0	0	2	0	0	0	
1	GERCHEV	Yanislav	1	1	0	2	0	1	7	BORCHASHVILI	Kimran	0	0	0	2	0	0	0	
2	WEICHINGER	Alexander	0	1	0	2	0	1	7	FELLNER	Hans-Peter	0	0	0	1	0	0	0	
3	HAASMANN	Nick	0	0	1	0	0	1	10	HAMINGER	Thomas	0	0	0	0	0	0	0	
4	OTT	Marcel	0	1	1	0	0	1	10	STEGMAYER	Dominik	1	0	0	0	0	0	0	
5	REICHMANN	Manuel	0	0	0	0	0	0	0	KAHLIG	Markus	1	0	0	2	0	1	5	
6	KUCIARA	Stefan	1	0	0	0	0	0	0	RIEGLER	Stefan	1	0	0	0	0	0	0	
7	GEIER	Gabor	0	0	0	0	0	0	0	HORAK	Michal	2	1	1	1	0	1	10	
8	GERCHEV	Yanislav	0	0	1	0	0	1	10	BORCHASHVILI	Kimran	0	0	0	0	0	0	0	
9	WEICHINGER	Alexander	0	0	0	1	0	0	0	HAMINGER	Thomas	2	1	0	0	0	1	7	
10	HAASMANN	Nick	0	0	1	0	0	1	10	BORCHASHVILI	Shamil	0	0	0	0	0	0	0	
11	SCHNEIDER	Maximilian	0	0	0	0	0	0	0	STEGMAYER	Dominik	0	0	1	0	0	1	10	
12	OTT	Marcel	0	0	1	1	0	1	10	KAHLIG	Markus	0	0	0	3	0	0	0	
13	KUCIARA	Stefan	0	0	1	0	0	1	10	RIEGLER	Stefan	0	0	0	1	0	0	0	
14	GEIER	Gabor	0	0	0	0	0	0	0	HORAK	Michal	0	0	1	0	0	1	10	
1	PAISCHER	Ludwig	0	0	1	0	0	1	10	MAJER	Tibor	0	0	0	0	0	0	0	
2	HOFMANN	Nico	0	0	0	2	0	0	0	STADLBAUER	Christian	1	0	1	1	0	1	10	
3	WAGNER	Steffen	0	0	0	1	0	0	0	WEIßSTEINER	Bernhard	0	0	1	1	0	1	10	
4	KASTINGER	Johannes	0	0	0	0	0	0	0	ZACHAR	Christian	0	2	1	2	0	1	10	
5	PICHLER	Christian	0	0	0	2	0	0	0	RADLHERR	Christoph	0	1	1	3	0	1	10	
6	KRONBERGER	Christoph	0	0	0	1	1	0	0	PRENTNER	Clemens	0	0	0	0	0	1	10	
7	KRONBERGER	Stefan	0	0	0	2	1	0	0	WOJNAROWICZ	Janusz	0	0	0	1	0	1	10	
8	PAISCHER	Ludwig	0	1	1	0	0	1	10	MAJER	Tibor	0	0	0	1	0	0	0	
9	HOFMANN	Nico	0	0	0	0	0	0	0	STADLBAUER	Christian	0	1	0	2	0	1	7	
10	MÜKISCH	Philipp	0	1	1	1	0	1	10	WEIßSTEINER	Bernhard	0	0	0	3	0	0	0	
11	SCHIRNHOFER	Felix	0	0	0	2	0	0	0	ZACHAR	Christian	0	0	0	1	0	1	1	
12	PICHLER	Christian	0	0	0	2	0	0	0	RADLHERR	Christoph	0	0	0	1	0	1	1	
13	KRONBERGER	Stefan	1	0	1	0	0	1	10	PRENTNER	Clemens	0	0	0	2	0	0	0	
14	KRONBERGER	Christoph	0	0	0	4	1	0	0	WOJNAROWICZ	Janusz	0	0	0	2	0	1	10	
1	KUDERA	Stefan	0	0	1	0	0	1	10	MUSSNIG	Daniel	0	0	0	0	0	0	0	
2	WEICHINGER	Alexander	1	1	0	3	0	1	7	TIEFGRABER	Andreas	0	0	0	2	0	0	0	
3	HAASMANN	Nick	0	0	1	1	0	1	10	PFEIFFER	Johannes	0	0	0	2	0	0	0	
4	OTT	Marcel	0	1	1	0	0	1	10	OBERMAYR	Stefan	0	0	0	0	0	0	0	
5	REICHMANN	Manuel	0	0	1	1	0	1	10	VER	Gabor	0	0	0	1	0	0	0	
6	GEIER	Gabor	0	0	0	0	0	0	0	MATEI	Daniel	2	0	0	0	0	1	5	
7	CERAJ	Matjaz	0	0	1	0	0	1	10	KRONSCHLÄGER	Florian	0	0	0	0	0	0	0	
8	KUDERA	Stefan	0	0	1	0	0	1	10	WEIDLINGER	Lukas	0	0	0	0	0	0	0	
9	WEICHINGER	Alexander	0	0	1	1	0	1	10	TIEFGRABER	Andreas	0	0	0	0	0	0	0	
10	HAASMANN	Nick	0	0	1	0	0	1	10	PFEIFFER	Johannes	0	0	0	0	0	0	0	
11	OTT	Marcel	1	1	1	0	0	1	10	OBERMAYR	Stefan	0	0	0	0	0	0	0	
12	KUCIARA	Stefan	0	0	0	0	0	1	1	VER	Gabor	0	0	0	1	0	0	0	
13	REICHMANN	Manuel	0	0	0	1	0	0	0	MATEI	Daniel	0	0	0	1	0	0	0	
14	CERAJ	Matjaz	0	0	1	0	0	1	10	KRONSCHLÄGER	Florian	0	0	0	0	0	0	0	
1	PRASCHL	Johannes	0	0	0	1	0	0	0	WALDHÖR	Dominik	0	2	1	1	0	1	10	
2	HOFMANN	Nico	1	1	1	1	0	1	10	JODL	Christoph	0	0	0	3	0	0	0	
3	MÜKISCH	Philipp	0	0	0	0	0	1	10	HELM	Manuel	0	0	0	0	1	0	0	
4	SCHIRNHOFER	Felix	1	0	0	2	0	0	0	OSTASZEWSKI	Dominik	1	1	1	1	0	1	10	
5	PICHLER	Christian	0	0	0	0	0	1	10			0	0	0	0	0	0	0	
6	KRONBERGER	Stefan	0	0	1	0	0	1	10	CIRJENIC	Miklos	0	1	0	0	0	0	0	
7	KRONBERGER	Christoph	0	0	1	1	0	1	10	KARNER	Andreas	0	0	0	0	0	0	0	
8	HOFMANN	Lukas	0	0	0	0	0	0	0	WALDHÖR	Dominik	0	2	1	0	0	1	10	
9	HOFMANN	Nico	0	0	0	1	0	1	1	EIBENSTEINER	Gregor	0	0	0	2	0	0	0	
10	MÜKISCH	Philipp	0	0	0	0	0	0	0	HELM	Manuel	0	0	1	0	0	1	10	
11	SCHIRNHOFER	Felix	0	1	0	2	0	1	7	OSTASZEWSKI	Dominik	0	0	0	3	0	0	0	
12	STERNER	Thomas	0	0	0	0	0	1	10			0	0	0	0	0	0	0	
13	KRONBERGER	Stefan	0	0	0	1	0	0	0	CIRJENIC	Miklos	0	0	1	3	0	1	10	
14	KRONBERGER	Christoph	0	0	1	0	0	1	10	KARNER	Andreas	0	0	0	0	0	0	0	
1	GRAF	Philip	0	0	1	0	0	1	10	ZEHENTNER	David	0	0	0	0	0	0	0	
2	STADLBAUER	Christian	0	0	0	0	0	0	0	KOPISKE	Robert	1	2	0	0	0	1	10	
3	WEIßSTEINER	Bernhard	0	0	0	2	0	0	0	MITTERFELLNER	Andreas	0	2	0	0	0	1	10	
4	ZACHAR	Christian	0	0	0	2	0	0	0	HÖLLWART	Hermann	0	0	0	1	0	1	1	
5	RADLHERR	Christoph	0	0	0	0	0	0	0	DUMKE	Robert	0	2	0	1	0	1	10	
6	PRENTNER	Clemens	0	0	0	0	0	0	0	MAYER	Christoph	0	0	1	1	0	1	10	
7	WOJNAROWICZ	Janusz	0	0	0	0	0	1	10	RIESS	Rupert Jun	0	0	0	0	1	0	0	
8	GRAF	Philip	0	0	0	0	0	1	10	ZEHENTNER	David	0	0	0	0	0	0	0	
9	STADLBAUER	Christian	0	1	0	3	1	0	0	KOPISKE	Robert	0	0	0	0	0	1	10	
10	WEIßSTEINER	Bernhard	0	0	0	1	0	0	0	MITTERFELLNER	Andreas	0	0	1	0	0	1	10	
11	ZACHAR	Christian	0	0	0	2	0	1	10	HÖLLWART	Hermann	0	0	0	3	1	0	0	
12	RADLHERR	Christoph	1	0	0	1	0	0	0	DUMKE	Robert	2	0	1	0	0	1	10	
13	PRENTNER	Clemens	1	0	0	0	0	0	0	MAYER	Christoph	0	0	1	1	0	1	10	
14	WOJNAROWICZ	Janusz	0	0	0	0	0	1	10	ASCHABER	Anton	0	0	0	0	1	0	0	
1	BORCHASHVILI	Kimran	0	0	0	2	0	0	0	HUEMER	Mathias	1	0	0	1	0	1	5	
