Round	Playoffs	Team Name 1	Team Name 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League	Broadcaster
3	G	UJZ Mühlviertel 1	JU Raiffeisen Flachgau	1. Judo Bundesliga Männer	2020	2020-05-09	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	NMS Niederwaldkirchen	1. Judo Bundesliga Männer	
3	G	JU DynamicOne	WAT Stadlau	1. Judo Bundesliga Männer	2020	2020-05-09	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	WAT Stadlau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum Feldkirchen @ 4101 Feldkirchen, Schulstraße 12	4101	Feldkirchen	Schulstraße 12	Veranstaltungszentrum Feldkirchen	1. Judo Bundesliga Männer	ORF Sport+
4	G	Union Kirchham	ESV Sanjindo	1. Judo Bundesliga Männer	2020	2020-05-22	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judo UNION Kirchham	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	MZH Kirchham @4656 Kirchham 34/2	4656	Kirchham 34/2	4656 Kirchham 34/2	MZH Kirchham	1. Judo Bundesliga Männer	
4	G	JU Raika Pinzgau	JU DynamicOne	1. Judo Bundesliga Männer	2020	2020-05-22	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	NMS Rauris	1. Judo Bundesliga Männer	
4	G	WAT Stadlau	UJZ Mühlviertel 1	1. Judo Bundesliga Männer	2020	2020-05-23	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WAT Stadlau	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bildungscampus @ 1220 Wien, Attemsgasse 22	1220	Wien	Attemsgasse 22	Bildungscampus	1. Judo Bundesliga Männer	
4	G	LZ Multikraft Wels	Volksbank Galaxy Judotigers	1. Judo Bundesliga Männer	2020	2020-05-23	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	ORF Sport+
5	G	JU Raika Pinzgau	LZ Multikraft Wels	1. Judo Bundesliga Männer	2020	2020-06-05	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	NMS Rauris	1. Judo Bundesliga Männer	
5	G	JU Raiffeisen Flachgau	ESV Sanjindo	1. Judo Bundesliga Männer	2020	2020-06-05	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	ORF Sport+
5	G	WAT Stadlau	Union Kirchham	1. Judo Bundesliga Männer	2020	2020-06-06	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WAT Stadlau	Judo UNION Kirchham	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bildungscampus @ 1220 Wien, Attemsgasse 22	1220	Wien	Attemsgasse 22	Bildungscampus	1. Judo Bundesliga Männer	
5	G	UJZ Mühlviertel 1	Volksbank Galaxy Judotigers	1. Judo Bundesliga Männer	2020	2020-06-06	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	NMS Niederwaldkirchen	1. Judo Bundesliga Männer	
6	G	Volksbank Galaxy Judotigers	Union Kirchham	1. Judo Bundesliga Männer	2020	2020-10-02	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	Judo UNION Kirchham	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	ORF Sport+
6	G	JU Raiffeisen Flachgau	WAT Stadlau	1. Judo Bundesliga Männer	2020	2020-10-02	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	WAT Stadlau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	
6	G	UJZ Mühlviertel 1	JU Raika Pinzgau	1. Judo Bundesliga Männer	2020	2020-10-03	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	NMS Niederwaldkirchen	1. Judo Bundesliga Männer	
6	G	JU DynamicOne	LZ Multikraft Wels	1. Judo Bundesliga Männer	2020	2020-10-03	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum Feldkirchen @ 4101 Feldkirchen, Schulstraße 12	4101	Feldkirchen	Schulstraße 12	Veranstaltungszentrum Feldkirchen	1. Judo Bundesliga Männer	
7	G	Volksbank Galaxy Judotigers	JU DynamicOne	1. Judo Bundesliga Männer	2020	2020-10-09	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
7	G	ESV Sanjindo	UJZ Mühlviertel 1	1. Judo Bundesliga Männer	2020	2020-10-10	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Tennishalle ESV Sportzentrum @ 5500 Bischofshofen, Freizeitweg 10	5500	Bischofshofen	Freizeitweg 10	Tennishalle ESV Sportzentrum	1. Judo Bundesliga Männer	
7	G	LZ Multikraft Wels	WAT Stadlau	1. Judo Bundesliga Männer	2020	2020-10-10	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	WAT Stadlau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Lichtenegg @ 4600 Wels, Dragonerstraße 50	4600	Wels	Dragonerstraße 50	Sporthalle Lichtenegg	1. Judo Bundesliga Männer	
7	G	Union Kirchham	JU Raiffeisen Flachgau	1. Judo Bundesliga Männer	2020	2020-10-10	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judo UNION Kirchham	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	MZH Kirchham @4656 Kirchham 34/2	4656	Kirchham 34/2	4656 Kirchham 34/2	MZH Kirchham	1. Judo Bundesliga Männer	ORF Sport+
8	G	JU Raiffeisen Flachgau	LZ Multikraft Wels	1. Judo Bundesliga Männer	2020	2020-10-30	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	
8	G	WAT Stadlau	JU Raika Pinzgau	1. Judo Bundesliga Männer	2020	2020-10-31	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WAT Stadlau	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bildungscampus @ 1220 Wien, Attemsgasse 22	1220	Wien	Attemsgasse 22	Bildungscampus	1. Judo Bundesliga Männer	
8	G	UJZ Mühlviertel 1	Union Kirchham	1. Judo Bundesliga Männer	2020	2020-10-31	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	Judo UNION Kirchham	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	NMS Niederwaldkirchen	1. Judo Bundesliga Männer	ORF Sport+
8	G	JU DynamicOne	ESV Sanjindo	1. Judo Bundesliga Männer	2020	2020-10-31	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum Feldkirchen @ 4101 Feldkirchen, Schulstraße 12	4101	Feldkirchen	Schulstraße 12	Veranstaltungszentrum Feldkirchen	1. Judo Bundesliga Männer	
9	G	Union Kirchham	JU DynamicOne	1. Judo Bundesliga Männer	2020	2020-11-07	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judo UNION Kirchham	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	MZH Kirchham @4656 Kirchham 34/2	4656	Kirchham 34/2	4656 Kirchham 34/2	MZH Kirchham	1. Judo Bundesliga Männer	
9	G	LZ Multikraft Wels	UJZ Mühlviertel 1	1. Judo Bundesliga Männer	2020	2020-11-07	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	
9	G	ESV Sanjindo	Volksbank Galaxy Judotigers	1. Judo Bundesliga Männer	2020	2020-11-07	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	TBA					1. Judo Bundesliga Männer	
9	G	JU Raika Pinzgau	JU Raiffeisen Flachgau	1. Judo Bundesliga Männer	2020	2020-11-07	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	NMS Rauris	1. Judo Bundesliga Männer	ORF Sport+
1	G	PSV Salzburg	Vienna Samurai	2. Judo Bundesliga Männer	2020	2999-01-01	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	PSV Salzburg - Judo	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg 5	5020	Salzburg	Frohnburgweg 5	PSV Sportzentrum	2. Judo Bundesliga Männer	
1	G	Union Graz	SU Noricum Leibnitz	2. Judo Bundesliga Männer	2020	2999-01-01	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UNION Graz	SU RB Leibnitz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Raiffeisen Sportpark Graz @ 8010 Graz, Hüttenbrennergasse 31	8010	Graz	Hüttenbrennergasse 31	Raiffeisen Sportpark Graz	2. Judo Bundesliga Männer	
1	G	ASKÖ Reichraming	WSG Swarovski Judo Wattens	2. Judo Bundesliga Männer	2020	2999-01-01	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	ASKÖ Reichraming	WSG Wattens	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	VS Ternberg @4452 Ternberg, Alois Derfler-Straße 4	4452	Ternberg	Alois Derfler-Straße 4	VS Ternberg	2. Judo Bundesliga Männer	
1	G	SV Gallneukirchen	JU Burgkirchen/Schwand	2. Judo Bundesliga Männer	2020	2999-01-01	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SV Gallneukirchen	U.BurgkirchenSchwand	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Turnhalle NMS Gallneukirchen @ 4210 Gallneukirchen, Reichenauerstraße 10-12	4210	Gallneukirchen	Reichenauerstraße 10-12	Turnhalle NMS Gallneukirchen	2. Judo Bundesliga Männer	
2	G	WSG Swarovski Judo Wattens	SV Gallneukirchen	2. Judo Bundesliga Männer	2020	2020-04-24	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WSG Wattens	SV Gallneukirchen	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Wattens @ Sebastian Schrott-Straße 7, 6112 Wattens	6112	Wattens	Sebastian Schrott-Straße 7	Dojo Wattens	2. Judo Bundesliga Männer	
2	G	Vienna Samurai	ASKÖ Reichraming	2. Judo Bundesliga Männer	2020	2020-04-25	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	ASKÖ Reichraming	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bildungscampus @ 1220 Wien, Attemsgasse 22	1220	Wien	Attemsgasse 22	Bildungscampus	2. Judo Bundesliga Männer	
