Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League	Broadcaster
10	P	cafe+co Vienna Samurai	3	24	Volksbank Galaxy Judotigers	11	104	Final4 1. Judo Bundesliga Männer	2017	2017-12-16T00:00:00.000Z	13:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Volksbankarena Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Volksbankarena Gmunden	Final4 1. Judo Bundesliga Männer	
10	P	UJZ Mühlviertel 1	9	84	JU Raiffeisen Flachgau	5	32	Final4 1. Judo Bundesliga Männer	2017	2017-12-16T00:00:00.000Z	13:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Volksbankarena Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Volksbankarena Gmunden	Final4 1. Judo Bundesliga Männer	
11	P	UJZ Mühlviertel 1	5	47	Volksbank Galaxy Judotigers	9	84	Final4 1. Judo Bundesliga Männer	2017	2017-12-16T00:00:00.000Z	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Volksbankarena Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Volksbankarena Gmunden	Final4 1. Judo Bundesliga Männer	
1	G	LZ Multikraft Wels	6	48	UJZ Mühlviertel 1	8	56	1. Judo Bundesliga Männer	2017	2017-03-25T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	
1	G	JU DynamicOne	7	49	JU Raika Pinzgau	7	64	1. Judo Bundesliga Männer	2017	2017-03-25T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bezirkssporthalle Eferding @ 4070 Eferding, Bräuhausstraße 5	4070	Eferding	Bräuhausstraße 5	Bezirkssporthalle Eferding	1. Judo Bundesliga Männer	
1	G	JC Wimpassing Sparkasse	8	77	Volksbank Galaxy Judotigers	6	57	1. Judo Bundesliga Männer	2017	2017-03-25T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	1. Judo Bundesliga Männer	ORF Sport+
2	G	JU Raiffeisen Flachgau	7	67	JU DynamicOne	7	55	1. Judo Bundesliga Männer	2017	2017-04-14T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	ORF Sport+
2	G	Volksbank Galaxy Judotigers	12	117	LZ Multikraft Wels	2	20	1. Judo Bundesliga Männer	2017	2017-04-14T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
2	G	cafe+co Vienna Samurai	7	64	JC Wimpassing Sparkasse	7	67	1. Judo Bundesliga Männer	2017	2017-04-14T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sportzentrum Strebersdorf @ 1210 Wien, Anton Böckstrasse 22	1210	Wien	Anton Böckstrasse 22	Sportzentrum Strebersdorf	1. Judo Bundesliga Männer	
3	G	JU Raika Pinzgau	5	44	LZ Multikraft Wels	9	84	1. Judo Bundesliga Männer	2017	2017-04-28T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	1. Judo Bundesliga Männer	ORF Sport+
3	G	JU DynamicOne	3	27	JC Wimpassing Sparkasse	11	107	1. Judo Bundesliga Männer	2017	2017-04-29T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum Feldkirchen @ 4101 Feldkirchen, Hauptstraße 1	4101	Feldkirchen	Hauptstraße 1	Veranstaltungszentrum Feldkirchen	1. Judo Bundesliga Männer	
3	G	UJZ Mühlviertel 1	7	64	cafe+co Vienna Samurai	7	64	1. Judo Bundesliga Männer	2017	2017-04-29T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	SHS Niederwaldkirchen @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	1. Judo Bundesliga Männer	
4	G	Volksbank Galaxy Judotigers	8	62	UJZ Mühlviertel 1	6	51	1. Judo Bundesliga Männer	2017	2017-05-05T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
4	G	JU Raiffeisen Flachgau	7	67	cafe+co Vienna Samurai	7	70	1. Judo Bundesliga Männer	2017	2017-05-05T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	
4	G	JC Wimpassing Sparkasse	7	61	LZ Multikraft Wels	7	64	1. Judo Bundesliga Männer	2017	2017-05-06T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	1. Judo Bundesliga Männer	ORF Sport+
5	G	JU Raiffeisen Flachgau	8	74	UJZ Mühlviertel 1	6	57	1. Judo Bundesliga Männer	2017	2017-05-26T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	
5	G	JU Raika Pinzgau	6	48	JC Wimpassing Sparkasse	8	80	1. Judo Bundesliga Männer	2017	2017-05-26T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	1. Judo Bundesliga Männer	ORF Sport+
5	G	LZ Multikraft Wels	8	65	JU DynamicOne	6	51	1. Judo Bundesliga Männer	2017	2017-05-27T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	
6	G	Volksbank Galaxy Judotigers	12	114	JU DynamicOne	2	17	1. Judo Bundesliga Männer	2017	2017-06-23T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
6	G	LZ Multikraft Wels	6	60	cafe+co Vienna Samurai	8	77	1. Judo Bundesliga Männer	2017	2017-06-24T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	ORF Sport+
6	G	JC Wimpassing Sparkasse	6	60	JU Raiffeisen Flachgau	8	71	1. Judo Bundesliga Männer	2017	2017-06-24T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	1. Judo Bundesliga Männer	
6	G	UJZ Mühlviertel 1	13	103	JU Raika Pinzgau	1	7	1. Judo Bundesliga Männer	2017	2017-06-24T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	SHS Niederwaldkirchen @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	1. Judo Bundesliga Männer	
7	G	JU Raika Pinzgau	7	58	JU Raiffeisen Flachgau	7	61	1. Judo Bundesliga Männer	2017	2017-09-22T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	1. Judo Bundesliga Männer	
7	G	cafe+co Vienna Samurai	1	10	Volksbank Galaxy Judotigers	13	124	1. Judo Bundesliga Männer	2017	2017-09-22T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Kurt Kucera Halle @ 1100 Wien, Jura-Soyfer-Gasse 3	1100	Wien	Jura-Soyfer-Gasse 3	Kurt Kucera Halle	1. Judo Bundesliga Männer	
7	G	UJZ Mühlviertel 1	11	107	JC Wimpassing Sparkasse	3	24	1. Judo Bundesliga Männer	2017	2017-09-23T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle NMS Hellmonsödt @ 4202 Hellmonsödt, Försterstrasse 2	4202	Hellmonsödt	Försterstrasse 2	Sporthalle NMS Hellmonsödt	1. Judo Bundesliga Männer	ORF Sport+
8	G	JU Raika Pinzgau	4	40	Volksbank Galaxy Judotigers	10	91	1. Judo Bundesliga Männer	2017	2017-10-06T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	1. Judo Bundesliga Männer	
8	G	JU Raiffeisen Flachgau	5	44	LZ Multikraft Wels	9	84	1. Judo Bundesliga Männer	2017	2017-10-06T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	
8	G	JU DynamicOne	4	40	cafe+co Vienna Samurai	10	94	1. Judo Bundesliga Männer	2017	2017-10-07T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum Feldkirchen @ 4101 Feldkirchen, Hauptstraße 1	4101	Feldkirchen	Hauptstraße 1	Veranstaltungszentrum Feldkirchen	1. Judo Bundesliga Männer	ORF Sport+
9	G	Volksbank Galaxy Judotigers	4	34	JU Raiffeisen Flachgau	10	88	1. Judo Bundesliga Männer	2017	2017-11-04T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	BLSZ Südstadt @ 2344 Maria Enzersdorf, Liese Prokop Platz 1	2344	Maria Enzersdorf	Liese Prokop Platz 1	BLSZ Südstadt	1. Judo Bundesliga Männer	ORF Sport+
9	G	cafe+co Vienna Samurai	8	80	JU Raika Pinzgau	6	54	1. Judo Bundesliga Männer	2017	2017-11-04T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sportzentrum Strebersdorf @ 1210 Wien, Anton Böckstrasse 22	1210	Wien	Anton Böckstrasse 22	Sportzentrum Strebersdorf	1. Judo Bundesliga Männer	
9	G	JU DynamicOne	5	44	UJZ Mühlviertel 1	9	87	1. Judo Bundesliga Männer	2017	2017-11-04T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum Feldkirchen @ 4101 Feldkirchen, Hauptstraße 1	4101	Feldkirchen	Hauptstraße 1	Veranstaltungszentrum Feldkirchen	1. Judo Bundesliga Männer	
1	G	Union Graz	7	64	UJZ Mühlviertel 2	7	67	2. Judo Bundesliga Männer	2017	2017-03-24T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UNION Graz	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Union Sporthalle @ 8010 Graz, Gaußgasse 3	8010	Graz	Gaußgasse 3	Union Sporthalle	2. Judo Bundesliga Männer	
1	G	PSV Salzburg	8	74	WSG Swarovski Judo Wattens	6	54	2. Judo Bundesliga Männer	2017	2017-03-25T00:00:00.000Z	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	PSV Salzburg - Judo	WSG Wattens	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg 5	5020	Salzburg	Frohnburgweg 5	PSV Sportzentrum	2. Judo Bundesliga Männer	
1	G	ASKÖ Reichraming	8	77	Union Kirchham	6	54	2. Judo Bundesliga Männer	2017	2017-03-25T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	ASKÖ Reichraming	Judo UNION Kirchham	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	VS Ternberg @4452 Ternberg, Alois Derfler-Straße 4	4452	Ternberg	Alois Derfler-Straße 4	VS Ternberg	2. Judo Bundesliga Männer	
