Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League
11	P (Place 2/4) 2	M&R Galaxy Tigers	11	104	Sanjindo Bischofshofen I	3	27	Final4 1. Judo Bundesliga Männer	2022	2022-11-19	13:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Raiffeisen Sportpark Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Raiffeisen Sportpark Gmunden	Final4 1. Judo Bundesliga Männer
11	P (Place 2/4) 1	UJZ Mühlviertel	7	70	JC Wimpassing Sparkasse	7	67	Final4 1. Judo Bundesliga Männer	2022	2022-11-19	13:45:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Raiffeisen Sportpark Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Raiffeisen Sportpark Gmunden	Final4 1. Judo Bundesliga Männer
12	P (Place 1/2)	UJZ Mühlviertel	7	64	M&R Galaxy Tigers	7	70	Final4 1. Judo Bundesliga Männer	2022	2022-11-19	17:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Raiffeisen Sportpark Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Raiffeisen Sportpark Gmunden	Final4 1. Judo Bundesliga Männer
1	G	UJZ Mühlviertel	5	44	Judo-Leistungszentrum Multikraft Wels	2	20	1. Judo Bundesliga Männer	2022	2022-05-08	10:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer
1	G	Judo Union Raika Pinzgau	0	0	M&R Galaxy Tigers	7	67	1. Judo Bundesliga Männer	2022	2022-05-08	10:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer
1	G	JC Wimpassing Sparkasse	4	40	JUDynamicOne	3	27	1. Judo Bundesliga Männer	2022	2022-05-08	10:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer
1	G	Wiener ASKÖ Team Stadlau	5	50	Judo Union Raika Flachgau	2	20	1. Judo Bundesliga Männer	2022	2022-05-08	10:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WAT Stadlau	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer
2	G	JUDynamicOne	2	20	UJZ Mühlviertel	5	50	1. Judo Bundesliga Männer	2022	2022-05-08	11:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer
2	G	Wiener ASKÖ Team Stadlau	2	20	Judo-Leistungszentrum Multikraft Wels	5	50	1. Judo Bundesliga Männer	2022	2022-05-08	11:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WAT Stadlau	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer
2	G	M&R Galaxy Tigers	7	67	JC Wimpassing Sparkasse	0	0	1. Judo Bundesliga Männer	2022	2022-05-08	11:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer
