Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League
5	P	Judoteam SHIAI-DO Union Thermenregion	8	44	UJZ Mühlviertel	6	54	Final4 Damen-Bundesliga	2016	2017-06-10T00:00:00.000Z	14:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judoteam SHIAI DO	UJZ Mühlviertel	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	SHS Niederwaldkirchen @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	Final4 Damen-Bundesliga
5	P	café+co Wien 1	8	74	ESV Sanjindo	6	57	Final4 Damen-Bundesliga	2016	2017-06-10T00:00:00.000Z	14:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	JC Sanjindo	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	SHS Niederwaldkirchen @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	Final4 Damen-Bundesliga
6	P	café+co Wien 1	6	60	Judoteam SHIAI-DO Union Thermenregion	8	80	Final4 Damen-Bundesliga	2016	2017-06-10T00:00:00.000Z	18:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	Judoteam SHIAI DO	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	SHS Niederwaldkirchen @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	Final4 Damen-Bundesliga
1	G	Judoteam SHIAI-DO Union Thermenregion	3	18	café+co Wien 1	7	62	Damen-Bundesliga	2016	2016-11-05T00:00:00.000Z	15:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judoteam SHIAI DO	Vienna Samurai	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Festsaal Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Festsaal Franz Fürst Freizeitzentrum	Damen-Bundesliga
1	G	Judoteam SHIAI-DO Union Thermenregion	14	118	café+co Wien 2	0	0	Damen-Bundesliga	2016	2016-11-05T00:00:00.000Z	15:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judoteam SHIAI DO	Vienna Samurai	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Festsaal Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Festsaal Franz Fürst Freizeitzentrum	Damen-Bundesliga
1	G	café+co Wien 2	1	10	café+co Wien 1	12	120	Damen-Bundesliga	2016	2016-11-05T00:00:00.000Z	15:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	Vienna Samurai	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Festsaal Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Festsaal Franz Fürst Freizeitzentrum	Damen-Bundesliga
1	G	UJZ Mühlviertel	7	67	ESV Sanjindo	5	45	Damen-Bundesliga	2016	2016-11-05T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JC Sanjindo	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	Damen-Bundesliga
2	G	café+co Wien 2	4	28	UJZ Mühlviertel	10	100	Damen-Bundesliga	2016	2017-03-18T00:00:00.000Z	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	UJZ Mühlviertel	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Sportzentrum Strebersdorf @ 1210 Wien, Anton Böckstrasse 22	1210	Wien	Anton Böckstrasse 22	Sportzentrum Strebersdorf	Damen-Bundesliga
2	G	café+co Wien 1	7	70	UJZ Mühlviertel	6	57	Damen-Bundesliga	2016	2017-03-18T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	UJZ Mühlviertel	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Sportzentrum Strebersdorf @ 1210 Wien, Anton Böckstrasse 22	1210	Wien	Anton Böckstrasse 22	Sportzentrum Strebersdorf	Damen-Bundesliga
3	G	ESV Sanjindo	7	70	café+co Wien 1	7	70	Damen-Bundesliga	2016	2017-05-06T00:00:00.000Z	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	Vienna Samurai	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	Damen-Bundesliga
3	G	ESV Sanjindo	10	97	café+co Wien 2	3	27	Damen-Bundesliga	2016	2017-05-06T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	Vienna Samurai	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	Damen-Bundesliga
3	G	Judoteam SHIAI-DO Union Thermenregion	10	88	UJZ Mühlviertel	4	28	Damen-Bundesliga	2016	2017-05-06T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judoteam SHIAI DO	UJZ Mühlviertel	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Ballspielhalle Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Ballspielhalle Franz Fürst Freizeitzentrum	Damen-Bundesliga
4	G	ESV Sanjindo	3	24	Judoteam SHIAI-DO Union Thermenregion	11	110	Damen-Bundesliga	2016	2017-05-27T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	Judoteam SHIAI DO	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	Damen-Bundesliga
