Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Location	Plz	City	Address	Venue	Source
5	G	Judoclub Cafe+Co Vienna Samurai	7	60	SU Noricum Raiffeisen Leibnitz 1	5	45	Erste Judo-Bundesliga	2012	2012-09-14	20:00	Kurt Kucerahalle @ 1100 Wien, Jura Soyfergasse 3	1100	Wien	Jura Soyfergasse 3	Kurt Kucerahalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
5	G	Judo Union Raika Pinzgau	2	20	UJZ Mühlviertel 1	11	107	Erste Judo-Bundesliga	2012	2012-09-14	20:00	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
5	G	PSV Salzburg - Judo	9	82	WSG Swarovski Wattens	4	32	Erste Judo-Bundesliga	2012	2012-09-15	17:00	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg	5020	Salzburg		PSV Sportzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
6	G	Bulldogs Vöcklabruck	2	20	Judo Union Raika Pinzgau	11	103	Erste Judo-Bundesliga	2012	2012-10-06	19:00	Bezirkssporthalle Vöcklabruck @ 4840 Vöcklabruck, Bahnhofstraße 44	4840	Vöcklabruck	Bahnhofstraße 44	Bezirkssporthalle Vöcklabruck	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
6	G	Judo Union Raiffeisen Flachgau 1	11	100	PSV Salzburg - Judo	3	20	Erste Judo-Bundesliga	2012	2012-10-05	20:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
6	G	SU Noricum Raiffeisen Leibnitz 1	6	60	UJZ Mühlviertel 1	8	80	Erste Judo-Bundesliga	2012	2012-10-06	17:00	Turnhalle des BG&BRG Leibnitz @ 8430 Leibnitz, Wagnastraße 6	8430	Leibnitz	Wagnastraße 6	Turnhalle des BG&BRG Leibnitz	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
6	G	WSG Swarovski Wattens	5	44	Judoclub Cafe+Co Vienna Samurai	6	60	Erste Judo-Bundesliga	2012	2012-10-05	20:00	Sporthalle Wattens @ 6112 Wattens, Egger-Lienz-Strasse 9	6112	Wattens	Egger-Lienz-Strasse 9	Sporthalle Wattens	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
7	G	Judoclub Cafe+Co Vienna Samurai	4	32	Volksbank Galaxy Judo Tigers	10	89	Erste Judo-Bundesliga	2012	2012-10-12	20:00	Volksschule Lassee @ 2291 Lassee, Stift Melk Gasse 2	2291	Lassee	Stift Melk Gasse 2	Volksschule Lassee	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
7	G	Judo Union Raika Pinzgau	9	87	WSG Swarovski Wattens	3	27	Erste Judo-Bundesliga	2012	2012-10-12	20:00	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
7	G	SU Noricum Raiffeisen Leibnitz 1	10	95	PSV Salzburg - Judo	4	40	Erste Judo-Bundesliga	2012	2012-10-13	18:30	Turnhalle des BG&BRG Leibnitz @ 8430 Leibnitz, Wagnastraße 6	8430	Leibnitz	Wagnastraße 6	Turnhalle des BG&BRG Leibnitz	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
7	G	UJZ Mühlviertel 1	12	117	Bulldogs Vöcklabruck	1	10	Erste Judo-Bundesliga	2012	2012-10-13	20:00	Alfons Dorfner Halle @ 4132 Lembach, Schulstraße 3	4132	Lembach	Schulstraße 3	Alfons Dorfner Halle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
8	G	UJZ Mühlviertel 1	10	84	Judoclub Cafe+Co Vienna Samurai	3	30	Erste Judo-Bundesliga	2012	2012-10-20	19:30	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
8	G	Judo Union Raiffeisen Flachgau 1	11	110	SU Noricum Raiffeisen Leibnitz 1	2	20	Erste Judo-Bundesliga	2012	2012-10-20	19:30	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
8	G	Judo Union Raika Pinzgau	5	42	Volksbank Galaxy Judo Tigers	8	75	Erste Judo-Bundesliga	2012	2012-10-19	20:00	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
8	G	PSV Salzburg - Judo	10	100	Bulldogs Vöcklabruck	4	37	Erste Judo-Bundesliga	2012	2012-10-20	17:00	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg	5020	Salzburg		PSV Sportzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
9	G	Bulldogs Vöcklabruck	5	50	Judoclub Cafe+Co Vienna Samurai	8	80	Erste Judo-Bundesliga	2012	2012-11-03	19:00	Bezirkssporthalle Vöcklabruck @ 4840 Vöcklabruck, Bahnhofstraße 44	4840	Vöcklabruck	Bahnhofstraße 44	Bezirkssporthalle Vöcklabruck	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
9	G	Volksbank Galaxy Judo Tigers	7	64	UJZ Mühlviertel 1	5	44	Erste Judo-Bundesliga	2012	2012-11-03	19:00	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstraße 65	2380	Perchtoldsdorf	Brunnerfeldstraße 65	Dojo Galaxytigers	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
9	G	SU Noricum Raiffeisen Leibnitz 1	7	67	Judo Union Raika Pinzgau	5	47	Erste Judo-Bundesliga	2012	2012-11-03	19:00	Sporthalle Leibnitz @ 8430 Leibnitz, Wagnastrasse 7	8430	Leibnitz	Wagnastrasse 7	Sporthalle Leibnitz	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
9	G	WSG Swarovski Wattens	2	10	Judo Union Raiffeisen Flachgau 1	11	99	Erste Judo-Bundesliga	2012	2012-11-03	19:00	Sporthalle Wattens @ 6112 Wattens, Egger-Lienz-Strasse 9	6112	Wattens	Egger-Lienz-Strasse 9	Sporthalle Wattens	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
1	G	Judo Union Raiffeisen Flachgau 2	6	52	UJZ Mühlviertel 2	7	64	Zweite Judo-Bundesliga	2012	2012-03-17	17:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
1	G	UNION Kirchham	2	12	Judozentrum Innsbruck	10	90	Zweite Judo-Bundesliga	2012	2012-03-17	20:00	Mehrzweckhalle Kirchham @ 4656 Kirchham	4656	Kirchham		Mehrzweckhalle Kirchham	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
1	G	LZ Multikraft Wels	6	60	SV Gallneukirchen	4	40	Zweite Judo-Bundesliga	2012	2012-03-17	20:00	Budokan Wels @ 4600 Wels, Pulverturmstraß 5	4600	Wels	Pulverturmstraß 5	Budokan Wels	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
1	G	Judoteam SHIAI-DO Union Thermenregion	10	87	SU Noricum Raiffeisen Leibnitz 2	3	22	Zweite Judo-Bundesliga	2012	2012-03-17	19:00	Festsaal Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Festsaal Franz Fürst Freizeitzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
2	G	ESV Sanjindo Bischofshofen	2	20	LZ Multikraft Wels	12	115	Zweite Judo-Bundesliga	2012	2012-03-24	18:00	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
2	G	UJZ Mühlviertel 2	11	102	UNION Kirchham	3	27	Zweite Judo-Bundesliga	2012	2012-03-24	17:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
2	G	SV Gallneukirchen	5	40	SU Noricum Raiffeisen Leibnitz 2	7	50	Zweite Judo-Bundesliga	2012	2012-03-24	19:00	HS Gallneukirchen @ 4210 Gallneukirchen, Reichenauerstrasse 2	4210	Gallneukirchen	Reichenauerstrasse 2	HS Gallneukirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
2	G	Judo Union Raiffeisen Flachgau 2	6	52	Judozentrum Innsbruck	8	77	Zweite Judo-Bundesliga	2012	2012-03-23	20:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
