Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Location	Plz	City	Address	Venue	Source	Points 1	Points 2	Score 1 Halftime	Score 2 Halftime
5	G	Judoteam SHIAI-DO Union Thermenregion	2	12	Bulldogs Vöcklabruck	11	107	Zweite Judo-Bundesliga	2011	2011-06-10	20:00	Ballspielhalle Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Ballspielhalle Franz Fürst Freizeitzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
5	G	UJZ Mühlviertel 2	10	97	ESV Sanjindo Bischofshofen	4	34	Zweite Judo-Bundesliga	2011	2011-06-10	20:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
5	G	Judo Union Raiffeisen Flachgau 2	7	56	SV Gallneukirchen	6	60	Zweite Judo-Bundesliga	2011	2011-06-11	18:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
6	G	Judo Union Raiffeisen Flachgau 2	5	50	Bulldogs Vöcklabruck	9	90	Zweite Judo-Bundesliga	2011	2011-09-23	20:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
6	G	UJZ Mühlviertel 2	8	80	Judozentrum Innsbruck	5	50	Zweite Judo-Bundesliga	2011	2011-09-24	17:00	Budokan Wels @ 4600 Wels, Pulverturmstraß 5	4600	Wels	Pulverturmstraß 5	Budokan Wels	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
6	G	ESV Sanjindo Bischofshofen	4	40	SU Noricum Raiffeisen Leibnitz 2	8	80	Zweite Judo-Bundesliga	2011	2011-09-24	18:00	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
6	G	SV Gallneukirchen	5	45	Judoteam SHIAI-DO Union Thermenregion	6	60	Zweite Judo-Bundesliga	2011	2011-09-24	19:00	HS Gallneukirchen @ 4210 Gallneukirchen, Reichenauerstrasse 2	4210	Gallneukirchen	Reichenauerstrasse 2	HS Gallneukirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
7	G	SV Gallneukirchen	7	57	SU Noricum Raiffeisen Leibnitz 2	6	55	Zweite Judo-Bundesliga	2011	2011-10-07	20:00	HS Gallneukirchen @ 4210 Gallneukirchen, Reichenauerstrasse 2	4210	Gallneukirchen	Reichenauerstrasse 2	HS Gallneukirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
7	G	Bulldogs Vöcklabruck	9	85	UJZ Mühlviertel 2	4	35	Zweite Judo-Bundesliga	2011	2011-10-08	19:00	Turnsaal HTL Vöcklabruck @ 4840 Vöcklabruck, Bahnhofstraße 44	4840	Vöcklabruck	Bahnhofstraße 44	Turnsaal HTL Vöcklabruck	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
7	G	Judozentrum Innsbruck	4	40	Judo Union Raiffeisen Flachgau 2	9	82	Zweite Judo-Bundesliga	2011	2011-10-08	19:00	Leitgebhalle @ 6020 Innsbruck, Pradlerstraße 16	6020	Innsbruck	Pradlerstraße 16	Leitgebhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
7	G	Judoteam SHIAI-DO Union Thermenregion	9	82	ESV Sanjindo Bischofshofen	4	34	Zweite Judo-Bundesliga	2011	2011-10-07	20:00	Festsaal Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Festsaal Franz Fürst Freizeitzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
	P (Place 2/4) 1	Volksbank Galaxy Judo Tigers	9		Judo Union Raika Pinzgau	3				2011-10-21	15:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ |titel=Österreichische Judo Bundesliga |sprache=de-DE |archiv-url=https://web.archive.org/web/20120114024600/http://www.judobundesliga.at/ |archiv-datum=2012-01-14 |abruf=2026-01-03}}			5	2
	P (Place 2/4) 2	Judo Union Raiffeisen Flachgau 1	6	52	UJZ Mühlviertel 1	6	57			2011-10-21	15:45	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ |titel=Österreichische Judo Bundesliga |sprache=de-DE |archiv-url=https://web.archive.org/web/20120114024600/http://www.judobundesliga.at/ |archiv-datum=2012-01-14 |abruf=2026-01-03}}			2	3
	P (Place 1/2)	Volksbank Galaxy Judo Tigers	7		UJZ Mühlviertel 1	6				2011-10-21	19:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/historie/final4-2011/ |titel=FINAL4 2011 » Österreichische JUDO-Bundesliga |sprache=de-DE |archiv-url=https://web.archive.org/web/20130627162431/http://www.judobundesliga.at/historie/final4-2011/ |archiv-datum=2013-06-27 |abruf=2026-01-04}}			4	3
		SV Gallneukirchen			JU Pinzgau					2011				Wien			{{Internetquelle |url=https://www.judo-svg.at/judosvg/bestritten.htm|titel=Turniere (Archiv) |werk=SV Gallneukirchen |sprache=de-DE |abruf=2025-02-06}}	2	0		
	P (Place 1/2)	Samurai Wien	3		UJZ Mühlviertel	2				2011				Wien			{{Internetquelle |url=https://www.judoaustria.at/damentitel-an-die-samurais/ |titel=Damentitel an die Samurais |werk=Judo Austria |datum=2011-12-04 |sprache=de |abruf=2024-12-03}}				
