Playoffs	CompetitionStart	Location	Team Name 1	Team Name 2	Score 1	Score 2	Source
	1986-11	Graz	SV Bürmoos	ASKÖ Graz	6	1	{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
	1986-11	Graz	SV Bürmoos	PSV Salzburg	4	3	{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
	1986-11	Graz	Union Leibnitz-Eichfeld	JGV Wien	4	3	{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
P (Place 1/2)	1986-11	Graz	SV Bürmoos	Union Leibnitz-Eichfeld	2	5	{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
