Round	CompetitionStart	Location	Team Name 1	Team Name 2	Score 1 Halftime	Score 2 Halftime	Score 1	Score 2	Subscore 1	Subscore 2	Kampfrichter	Source
	1975-03	Braunau	Zoll Braunau	SV Straßwalchen			17	3			Luger	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=nHO%2BhXtuB7WnnkxEotWJZlhXMYAOGecvm4Ek31YmecfqMZRjfBhFmi5zamM1Q3YGoTbQGQDMYuG8HCrzJGnXD90WktJ0c3TAe9oLthfuPopIA9K%2BX%2F%2FxN0oiQVQwAbbU&id1=19750310_08&q=SV%2520Ulmerfeld%2520judo#slide8 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}{{Internetquelle |titel=SALZBURGER SPORTLER AUSWARTS |url=https://www.sn.at/archivsn?img=05quvMB%2BZtybeEbRNOL3wN1WQiDq%2BPQvFrR9F%2BAQlZGM2opq83aiH2INs01QchJLlnsEP%2FFqmYiTl9TgD%2B%2Bx3z8YjirpVTRQsEQxMZtnvTgdLP1waIsyGYBdJKl2xZwo&id1=19750308_11&q=judo%2520staatsliga#slide11 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}https://www.sn.at/archivsn?img=05quvMB%2BZtybeEbRNOL3wN1WQiDq%2BPQvFrR9F%2BAQlZGM2opq83aiH2INs01QchJLlnsEP%2FFqmYiTl9TgD%2B%2Bx3z8YjirpVTRQsEQxMZtnvTgdLP1waIsyGYBdJKl2xZwo&id1=19750308_11&q=judo%2520staatsliga#sn-archiv-11|werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-03		WAT Wien	Gaspoltshofen			12	8				{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=nHO%2BhXtuB7WnnkxEotWJZlhXMYAOGecvm4Ek31YmecfqMZRjfBhFmi5zamM1Q3YGoTbQGQDMYuG8HCrzJGnXD90WktJ0c3TAe9oLthfuPopIA9K%2BX%2F%2FxN0oiQVQwAbbU&id1=19750310_08&q=SV%2520Ulmerfeld%2520judo#slide8 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-03		ASKÖ Reichraming	Union Graz			13	6				{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=nHO%2BhXtuB7WnnkxEotWJZlhXMYAOGecvm4Ek31YmecfqMZRjfBhFmi5zamM1Q3YGoTbQGQDMYuG8HCrzJGnXD90WktJ0c3TAe9oLthfuPopIA9K%2BX%2F%2FxN0oiQVQwAbbU&id1=19750310_08&q=SV%2520Ulmerfeld%2520judo#slide8 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-04-05	Hauptschule Straßwalchen	SV Straßwalchen	WAT Wien			10	10				https://www.sn.at/archivsn?img=P0UZf8kPVCQGc8gh9nP5b0hsbQF1kzSPDxGaIGWA8cRnENJdxZE%2FWCRa03jhswsHFA7liNMYZ8w69w%2B9iLti7fCwhDFLG1EpLbqNvtd2twpYHXfAmim1AODxS018t0YA&id1=19750405_11&q=judo%2520staatsliga#sn-archiv-11|werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-04-05		Ulmerfeld	ASKÖ Reichraming			8	12				{{Internetquelle |titel=JUDO |url=https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9|werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-04-05		Gaspoltshofen	Zoll Braunau			7	13				{{Internetquelle |titel=JUDO |url=https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9|werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-05-24	Hauptschule Straßwalchen	SV Straßwalchen	Union Gaspoltshofen								https://www.sn.at/archivsn?img=Yr75Lxb%2FhlXdj%2BQXTdAqccFpAl%2BYYc2Polm6iguQ9mc3DHsZGMSo0%2FWta62wQbTach8w16Oq3ZAxWCC98yEh8S4AnIfQbl8YxwBjMHhiS1lq3NyQOiq8wnHp%2FauZZWZa&id1=19750522_09&q=judo%2520staatsliga#sn-archiv-9}}{{https://www.sn.at/archivsn?img=mNBjPZs1T%2Bv0qeoXxyfVg%2BDd9ytfzycM%2FrEl2G33nlGCvaAY%2BvwwpIumoj4LH%2FWLSVXhi13atvMetJqZggMvDGX8Kpqq2IP32e1MpcYWumTEZoVyYuX3l8FvqnuzokC4&id1=19750524_11&q=judo%2520staatsliga#sn-archiv-11|werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-06		Ulmerfeld	Straßwalchen			7	13				{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-06		ASKO Pöls	Braunau			4	16				{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-06		WAT Wien	ASKÖ Reichraming			0	10				{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-06		Gaspoltshofen	Union Graz			13	7				{{Internetquelle |titel=PSV-Judoka in Form |url=https://www.sn.at/archivsn?img=LHWy1QeaiWW24caucg5qrxvna%2Fb%2FCrX%2B%2F%2Bvi6lycNl0q1aH86RgQOYZ8Qr4Rnf%2Balms7yNdd%2BQp8qhSzewCZqukFYI2zyVCpeyLR%2F9W4Kd4eAwi8wS6k%2FHBmuhTchD35&id1=19750630_10&q=SV%2520Ulmerfeld%2520judo#slide10 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-09		Braunau	ASKÖ Reichraming			13	7				{{Internetquelle |titel= |url=https://www.sn.at/archivsn?img=aZtZ1EfYkf2zL1pgxy%2FgcNrenFKmGTkPbKhspHcbhekQCZxxnmQcRUHn7pxb%2BBTR5%2B07zKG7F9o2OMi05dRexW3cpXwA3TkaH7kg6J3mm4LGV%2Bc88aQagi5rCe6Q6TaF&id1=19750922_11&q=judo%2520staatsliga#slide11|werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-09-20	Graz	SV Straßwalchen	Union Graz			10	10				{{Internetquelle |titel= |url=https://www.sn.at/archivsn?img=aZtZ1EfYkf2zL1pgxy%2FgcNrenFKmGTkPbKhspHcbhekQCZxxnmQcRUHn7pxb%2BBTR5%2B07zKG7F9o2OMi05dRexW3cpXwA3TkaH7kg6J3mm4LGV%2Bc88aQagi5rCe6Q6TaF&id1=19750922_11&q=judo%2520staatsliga#slide11}}{{https://www.sn.at/archivsn?img=foo2IfwlWDRwIBjIH0OfH8CRDJ4%2F5O1CLAcBMPTs5039WZWEs2BLPo2HdBDjiLjenNqd613obG4knzProvw2TvqBIr9o8g4X2LXOp%2B8su20nSaKhGhzBUNCV5P%2BIZDGB&id1=19750917_09&q=judo%2520staatsliga#sn-archiv-9|werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-09		Ulmerfeld	Gaspoltshofen			7	13				{{Internetquelle |titel= |url=https://www.sn.at/archivsn?img=aZtZ1EfYkf2zL1pgxy%2FgcNrenFKmGTkPbKhspHcbhekQCZxxnmQcRUHn7pxb%2BBTR5%2B07zKG7F9o2OMi05dRexW3cpXwA3TkaH7kg6J3mm4LGV%2Bc88aQagi5rCe6Q6TaF&id1=19750922_11&q=judo%2520staatsliga#slide11|werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
