Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League
8	P (Place 2/4) 2	Sanjindo Bischofshofen	3	111	LZ Multikraft Wels	4	211	Final4 1. Judo Bundesliga Männer	2025	2025-11-22	13:15:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Sporthalle Gmunden	Final4 1. Judo Bundesliga Männer
9	P (Place 1/2)	Galaxy Judo Tigers	4	400	LZ Multikraft Wels	3	301	Final4 1. Judo Bundesliga Männer	2025	2025-11-22	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Sporthalle Gmunden	Final4 1. Judo Bundesliga Männer
8	P (Place 2/4) 1	Galaxy Judo Tigers	6	314	UJZ Mühlviertel	1	101	Final4 1. Judo Bundesliga Männer	2025	2025-11-22	15:15:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Sporthalle Gmunden	Final4 1. Judo Bundesliga Männer
1	G	Sanjindo Bischofshofen	8	732	Vienna Samurai	6	502	1. Judo Bundesliga Männer	2025	2025-03-22	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer
1	G	WAT Stadlau	14	1400	Judo Union Raika Flachgau	0	0	1. Judo Bundesliga Männer	2025	2025-03-22	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WAT Stadlau	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bildungscampus@1220 Wien, Atemsgasse 22	1220	Wien	Atemsgasse 22	Bildungscampus	1. Judo Bundesliga Männer
1	G	JU Burgkirchen/Schwand	6	600	UJZ Mühlviertel	8	640	1. Judo Bundesliga Männer	2025	2025-03-22	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	U.BurgkirchenSchwand	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Mehrzweckhalle Burgkirchen @5274 Burgkirchen, Pfarrhofstraße 5	5274	Burgkirchen	Pfarrhofstraße 5	Mehrzweckhalle Burgkirchen	1. Judo Bundesliga Männer
1	G	LZ Multikraft Wels	3	301	Galaxy Judo Tigers	11	1001	1. Judo Bundesliga Männer	2025	2025-03-22	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Wels: Budokan Wels @4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Wels: Budokan Wels	1. Judo Bundesliga Männer
2	G	Judo Union Raika Flachgau	0	0	Sanjindo Bischofshofen	14	1400	1. Judo Bundesliga Männer	2025	2025-05-10	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer
2	G	Vienna Samurai	8	701	JU Burgkirchen/Schwand	6	511	1. Judo Bundesliga Männer	2025	2025-05-10	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	U.BurgkirchenSchwand	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bildungscampus@1220 Wien, Atemsgasse 22	1220	Wien	Atemsgasse 22	Bildungscampus	1. Judo Bundesliga Männer
2	G	WAT Stadlau	5	311	Galaxy Judo Tigers	9	813	1. Judo Bundesliga Männer	2025	2025-05-10	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WAT Stadlau	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bildungscampus@1220 Wien, Atemsgasse 22	1220	Wien	Atemsgasse 22	Bildungscampus	1. Judo Bundesliga Männer
