Playoffs	Round	CompetitionStart	Location	Team Name 1	Team Name 2	Score 1	Score 2	Source
								https://www.sn.at/archivsn?img=spEB0uV3uLM4h92gkqhAXrVvxkDWmoYj6HMXPBJK%2BfiFHOO0vAezn30kFDwI15%2Bg8Crg8Z2lz9nkFGL%2BoVzZhHD2%2F0Qwkjrs9GwONPEvFkt8DfB%2BTv0vuyJZrhZMTcvh&id1=19870330_15#sn-archiv-15
								https://www.sn.at/archivsn?img=ZN%2BGsOKeYY4Xht9FhKM2Q4lk%2Fwjs6XkO8ehRu%2BmcBqG67Olihoa6PMOhUedynYgHKESu262W9C3fGcKNlxPRRfj%2F6putjamZQW23kTGlO5uNX3f4NCWhVOCejKJa%2Ft2j&id1=19870328_14#sn-archiv-14
								https://www.sn.at/archivsn?img=TBj%2F5VM7spd8J39KlQrw8A0Zzhf%2FpQsTOH%2BHHkI8WJw8%2F23NEgTnq4Og4%2FsVgH1dzmURzAQJsBiPfA9rbZUe9X3Y2PFPkdqzKxZXW0vC3PFBJdVua2rfmNG0O6A0mD7D&id1=19870325_14#sn-archiv-14
								https://www.sn.at/archivsn?img=WXWZh5jK1ZnMQEP5O8qEPa8f%2BZ8Md6Wn8LaDy06d5WSYSr2qRUampGe1ILTFsvC3jM4jErnXfZjspMNyg47QcSRBrOCJ%2FgoNOjyCxO8yz7RREL3riC%2FBebVqoJa3J8rn&id1=19870316_16#slide16
G	4	1987-04-30		Sanjindo Bischofshofen	Wels	9	5	https://www.sn.at/archivsn?img=TNPkaRRMgGerMuZS%2Ff7hFWYk6bDPD4JuwIiTing4XstWw8fcyBk2q2kYU6I4jPOx6UE1h94AUAHi2lCEtKmcKJb9oPKMVrQPhnYMV2vd3%2FN0ZTqt1G%2Fn%2B%2F2zsPOAD6Lf&id1=19870502_14&q=judo%2520staatsliga#sn-archiv-14
		1987-05-16	Wielanderhalle	Sanjindo Bischofshofen	ASKÖ Graz			https://www.sn.at/archivsn?img=sDtsIQ6ynBeK%2Bd1JMWCzmhleq9J74aecsCKWh1n39R1SQdEXYZrAHVOWpXwsPuc3NBZxui1Ol%2B07NEcU%2F9j%2BvS3Cex6SqhP328mkdp4X36YgafjQxWeIabJAL%2BzRNsgN&id1=19870514_14&q=judo%2520staatsliga#sn-archiv-14
		1987-05-17	Pol.-Direktion Alpenstraße	PSV Salzburg	ASK Salzburg			https://www.sn.at/archivsn?img=9GEVUDTs5NiHcAvb4O9jCbAvLFaq09lzfGZNcy3aDqub5n7J%2Fs7OR2idfCrOx6QCroNS13svkofmOGreaK7N21qgdj97wvfGtmDtGZ7O1MvHGQu%2B51%2F80h10hox14%2B0e&id1=19870516_14&q=judo%2520staatsliga#slide14
		1987	Sanjindo Bischofshofen	ASK Salzburg	10	4		https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#sn-archiv-15
		1987	ASKÖ Graz	Wels/Wallern	7	7		https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#sn-archiv-15
		1987	Leibnitz/Eichfeld	PSV Salzburg	8	6		https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#sn-archiv-15
		1987	Gallneukirchen	WAT Leopoldstadt	9	5		https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#sn-archiv-15
G	letzte	1987-06-20		Sanjindo ESV Bischofshofen	PSV Salzburg	13	1	https://www.sn.at/archivsn?img=tPOgeeh0uE4uaiKCvSDBcLkfl3CaXkjLHGmkcMJlZiAX0VxNNH%2B1ajbjaybWbMWKLdGLjevAa4NYfGzx%2BXhFEULzYh39fcLHztmj4RRTHwQfgf5sBn%2B%2FrGw%2FE0gjffll&id1=19870622_16&q=judo%2520staatsliga#slide16
G	letzte	1987-06-20	Taxham, Alfred-Bäck-Schule 15	ASK Salzburg	WAT Leopoldstadt	9	5	https://www.sn.at/archivsn?img=tPOgeeh0uE4uaiKCvSDBcLkfl3CaXkjLHGmkcMJlZiAX0VxNNH%2B1ajbjaybWbMWKLdGLjevAa4NYfGzx%2BXhFEULzYh39fcLHztmj4RRTHwQfgf5sBn%2B%2FrGw%2FE0gjffll&id1=19870622_16&q=judo%2520staatsliga#slide16 https://www.sn.at/archivsn?img=cwmbqzuZU5G%2BsA%2BIJvj0VanhoSaJwzeUPjDvUWq1vyzTaOr3L6SAW%2FtuifC6sJA63RokIt7v86GEMmfls%2BPBx1yudIZrsIA8l7nhgBesyNiBQjTHL7qX0pZV6TPbZ1j%2B&id1=19870620_14&q=judo%2520staatsliga#slide14
G	letzte	1987-06-20		SV Gallneukirchen	PSV Salzburg	10	4	https://www.sn.at/archivsn?img=tPOgeeh0uE4uaiKCvSDBcLkfl3CaXkjLHGmkcMJlZiAX0VxNNH%2B1ajbjaybWbMWKLdGLjevAa4NYfGzx%2BXhFEULzYh39fcLHztmj4RRTHwQfgf5sBn%2B%2FrGw%2FE0gjffll&id1=19870622_16&q=judo%2520staatsliga#slide16
		1998	Sporthalle Mödling	JC ASKÖ Salzburg	ASKÖ Graz	5	2	{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14|titel=Salzburgs Judo-Damen Vize|werk=Salzburger Nachrichten|hrsg=Salzburger Nachrichten|datum=1987-11-30|seiten=14|sprache=de |abruf=2025-01-25}}
		1998	Sporthalle Mödling	JC ASKÖ Salzburg	Döbling	6	1	{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14|titel=Salzburgs Judo-Damen Vize|werk=Salzburger Nachrichten|hrsg=Salzburger Nachrichten|datum=1987-11-30|seiten=14|sprache=de |abruf=2025-01-25}}
P (Place 1/2)		1998-11	Sporthalle Mödling	JC ASKÖ Salzburg	JGV Wien	1	6	{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14|titel=Salzburgs Judo-Damen Vize|werk=Salzburger Nachrichten|hrsg=Salzburger Nachrichten|datum=1987-11-30|seiten=14|sprache=de |abruf=2025-01-25}}
