Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League
2	G	Judoteam SHIAI-DO Union Thermenregion 1	2	17	Judo Union Raiffeisen Flachgau	12	111	1. Judo Bundesliga Männer	2014	2014-04-12	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judoteam SHIAI DO	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Freizeitzentrum	1. Judo Bundesliga Männer
3	G	UJZ Mühlviertel 1	6	60	SU Noricum Raiffeisenbank Leibnitz Judo	7	61	1. Judo Bundesliga Männer	2014	2014-04-30	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	SU RB Leibnitz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	1. Judo Bundesliga Männer
3	G	Judo Union Raiffeisen Flachgau	10	100	PSV Salzburg	4	40	1. Judo Bundesliga Männer	2014	2014-05-02	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	PSV Salzburg - Judo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer
3	G	Volksbank Galaxy Judo Tigers	7	70	UJZ Mühlviertel 1	6	60	1. Judo Bundesliga Männer	2014	2014-05-03	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Siegfried-Ludwig-Halle @ 2380 Perchtoldsdorf, Plättenstraße 2	2380	Perchtoldsdorf	Plättenstraße 2	Siegfried-Ludwig-Halle	1. Judo Bundesliga Männer
3	G	Judoteam SHIAI-DO Union Thermenregion 1	6	54	Judo Union Raika Pinzgau	8	75	1. Judo Bundesliga Männer	2014	2014-05-03	18:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judoteam SHIAI DO	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Freizeitzentrum	1. Judo Bundesliga Männer
3	G	Multikraft Wels	6	48	cafe+co Vienna Samurai 1	7	56	1. Judo Bundesliga Männer	2014	2014-05-03	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer
4	G	Judo Union Raika Pinzgau	3	30	Volksbank Galaxy Judo Tigers	9	69	1. Judo Bundesliga Männer	2014	2014-05-23	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	1. Judo Bundesliga Männer
4	G	Judo Union Raiffeisen Flachgau	9	78	SU Noricum Raiffeisenbank Leibnitz Judo	5	50	1. Judo Bundesliga Männer	2014	2014-05-23	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	SU RB Leibnitz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer
4	G	PSV Salzburg	8	75	Judoteam SHIAI-DO Union Thermenregion 1	6	60	1. Judo Bundesliga Männer	2014	2014-05-24	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	PSV Salzburg - Judo	Judoteam SHIAI DO	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg 5	5020	Salzburg	Frohnburgweg 5	PSV Sportzentrum	1. Judo Bundesliga Männer
4	G	UJZ Mühlviertel 1	10	97	cafe+co Vienna Samurai 1	4	31	1. Judo Bundesliga Männer	2014	2014-05-24	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gramophon @ 4201 Gramastetten, Marktstraße 17	4201	Gramastetten	Marktstraße 17	Gramophon	1. Judo Bundesliga Männer
5	G	SU Noricum Raiffeisenbank Leibnitz Judo	7	65	Judo Union Raika Pinzgau	7	67	1. Judo Bundesliga Männer	2014	2014-06-27	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SU RB Leibnitz	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	JUFA Leibnitz @ 8430 Leibnitz, Klostergasse 37	8430	Leibnitz	Klostergasse 37	JUFA Leibnitz	1. Judo Bundesliga Männer
5	G	Multikraft Wels	7	58	Judo Union Raiffeisen Flachgau	6	60	1. Judo Bundesliga Männer	2014	2014-06-28	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer
5	G	Judoteam SHIAI-DO Union Thermenregion 1	3	30	cafe+co Vienna Samurai 1	11	105	1. Judo Bundesliga Männer	2014	2014-06-28	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judoteam SHIAI DO	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Freizeitzentrum	1. Judo Bundesliga Männer
6	G	cafe+co Vienna Samurai 1	4	40	Volksbank Galaxy Judo Tigers	9	59	1. Judo Bundesliga Männer	2014	2014-07-04	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sportzentrum Strebersdorf @ 1210 Wien, Anton Böck Gasse 20	1210	Wien	Anton Böck Gasse 20	Sportzentrum Strebersdorf	1. Judo Bundesliga Männer
6	G	SU Noricum Raiffeisenbank Leibnitz Judo	12	120	PSV Salzburg	2	20	1. Judo Bundesliga Männer	2014	2014-07-04	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SU RB Leibnitz	PSV Salzburg - Judo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	JUFA Leibnitz @ 8430 Leibnitz, Klostergasse 37	8430	Leibnitz	Klostergasse 37	JUFA Leibnitz	1. Judo Bundesliga Männer
6	G	Judo Union Raika Pinzgau	12	102	Multikraft Wels	2	10	1. Judo Bundesliga Männer	2014	2014-07-04	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	1. Judo Bundesliga Männer
6	G	UJZ Mühlviertel 1	9	84	Judoteam SHIAI-DO Union Thermenregion 1	5	41	1. Judo Bundesliga Männer	2014	2014-07-05	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	Judoteam SHIAI DO	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	1. Judo Bundesliga Männer
7	G	Judo Union Raika Pinzgau	9	87	UJZ Mühlviertel 1	5	47	1. Judo Bundesliga Männer	2014	2014-09-26	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	1. Judo Bundesliga Männer
7	G	Volksbank Galaxy Judo Tigers	9	85	Judo Union Raiffeisen Flachgau	4	40	1. Judo Bundesliga Männer	2014	2014-09-26	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Judoakademie Galaxy Tigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Judoakademie Galaxy Tigers	1. Judo Bundesliga Männer
7	G	PSV Salzburg	5	50	Multikraft Wels	8	77	1. Judo Bundesliga Männer	2014	2014-09-27	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	PSV Salzburg - Judo	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg 5	5020	Salzburg	Frohnburgweg 5	PSV Sportzentrum	1. Judo Bundesliga Männer
7	G	cafe+co Vienna Samurai 1	7	65	SU Noricum Raiffeisenbank Leibnitz Judo	7	70	1. Judo Bundesliga Männer	2014	2014-09-27	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	SU RB Leibnitz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Volkschule Kapellerfeld @ 2201 Gerasdorf, Kapellerfeld, Schillergasse 25	2201	Gerasdorf	Schillergasse 25	Volkschule Kapellerfeld	1. Judo Bundesliga Männer
8	G	Judo Union Raiffeisen Flachgau	7	67	UJZ Mühlviertel 1	7	55	1. Judo Bundesliga Männer	2014	2014-10-24	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer
8	G	Judoteam SHIAI-DO Union Thermenregion 1	7	70	Multikraft Wels	6	60	1. Judo Bundesliga Männer	2014	2014-10-24	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judoteam SHIAI DO	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Freizeitzentrum	1. Judo Bundesliga Männer
8	G	Volksbank Galaxy Judo Tigers	9	87	SU Noricum Raiffeisenbank Leibnitz Judo	5	50	1. Judo Bundesliga Männer	2014	2014-10-24	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	SU RB Leibnitz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Judoakademie Galaxy Tigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Judoakademie Galaxy Tigers	1. Judo Bundesliga Männer
8	G	PSV Salzburg	6	46	Judo Union Raika Pinzgau	8	80	1. Judo Bundesliga Männer	2014	2014-10-25	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	PSV Salzburg - Judo	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg 5	5020	Salzburg	Frohnburgweg 5	PSV Sportzentrum	1. Judo Bundesliga Männer
9	G	SU Noricum Raiffeisenbank Leibnitz Judo	9	90	Judoteam SHIAI-DO Union Thermenregion 1	5	35	1. Judo Bundesliga Männer	2014	2014-11-08	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SU RB Leibnitz	Judoteam SHIAI DO	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Leibnitz @ 8430 Leibnitz, Wagnastrasse 7	8430	Leibnitz	Wagnastrasse 7	Sporthalle Leibnitz	1. Judo Bundesliga Männer
9	G	UJZ Mühlviertel 1	10	100	PSV Salzburg	4	40	1. Judo Bundesliga Männer	2014	2014-11-08	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	PSV Salzburg - Judo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	1. Judo Bundesliga Männer
9	G	Multikraft Wels	6	51	Volksbank Galaxy Judo Tigers	8	65	1. Judo Bundesliga Männer	2014	2014-11-08	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer
9	G	cafe+co Vienna Samurai 1	2	20	Judo Union Raiffeisen Flachgau	12	108	1. Judo Bundesliga Männer	2014	2014-11-08	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sportzentrum Strebersdorf @ 1210 Wien, Anton-Böck-Gasse 20	1210	Wien	Anton-Böck-Gasse 20	Sportzentrum Strebersdorf	1. Judo Bundesliga Männer
