Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League	Broadcaster
10	P	Volksbank Galaxy Judotigers	13	124	JC Wimpassing Sparkasse	1	10	Final4 1. Judo Bundesliga Männer	2019	2019-11-09	13:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Volksbankarena Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Volksbankarena Gmunden	Final4 1. Judo Bundesliga Männer	
10	P	JU Raiffeisen Flachgau	5	47	LZ Multikraft Wels	9	90	Final4 1. Judo Bundesliga Männer	2019	2019-11-09	13:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Volksbankarena Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Volksbankarena Gmunden	Final4 1. Judo Bundesliga Männer	
11	P	LZ Multikraft Wels	7	70	Volksbank Galaxy Judotigers	7	70	Final4 1. Judo Bundesliga Männer	2019	2019-11-09	17:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Volksbankarena Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Volksbankarena Gmunden	Final4 1. Judo Bundesliga Männer	
1	G	UJZ Mühlviertel 1	7	70	JU DynamicOne	7	61	1. Judo Bundesliga Männer	2019	2019-03-22	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Josef Reiter Halle @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	Josef Reiter Halle	1. Judo Bundesliga Männer	ORF Sport+
1	G	JU Raiffeisen Flachgau	9	81	LZ Multikraft Wels	5	47	1. Judo Bundesliga Männer	2019	2019-03-22	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	
1	G	Volksbank Galaxy Judotigers	14	134	ESV Sanjindo	0	0	1. Judo Bundesliga Männer	2019	2019-03-23	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
1	G	JC Wimpassing Sparkasse	11	107	ASKÖ Reichraming	3	24	1. Judo Bundesliga Männer	2019	2019-03-23	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	ASKÖ Reichraming	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	1. Judo Bundesliga Männer	
2	G	ESV Sanjindo	7	70	JU Raika Pinzgau	7	70	1. Judo Bundesliga Männer	2019	2019-04-13	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer	ORF Sport+
2	G	ASKÖ Reichraming	3	27	Volksbank Galaxy Judotigers	11	104	1. Judo Bundesliga Männer	2019	2019-04-13	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	ASKÖ Reichraming	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	VS Ternberg @4452 Ternberg, Alois Derfler-Straße 4	4452	Ternberg	Alois Derfler-Straße 4	VS Ternberg	1. Judo Bundesliga Männer	
2	G	LZ Multikraft Wels	7	64	UJZ Mühlviertel 1	7	67	1. Judo Bundesliga Männer	2019	2019-04-13	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	
2	G	JU DynamicOne	4	37	JC Wimpassing Sparkasse	10	100	1. Judo Bundesliga Männer	2019	2019-04-13	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum @4101 Feldkirchen/Donau,Schulstraße 12	4101	Feldkirchen/Donau	Schulstraße 12	Veranstaltungszentrum	1. Judo Bundesliga Männer	
