Team Name	Weight Class	First Name	Last Name	Source
JK Post	Federgewicht		Gabriel	{{Internetquelle |url=http://www.post-nippon.at/historisches.phtml |titel=Historisches |werk=Judoclub POST-NIPPON |hrsg=Judoclub POST-NIPPON |datum=2021-05-06 |sprache=de |archiv-url=https://web.archive.org/web/20210506103845/http://www.post-nippon.at/historisches.phtml |archiv-datum=2021-05-06 |abruf=2025-02-18}}
JK Post	Leichtgewicht	Erich	Nicham	{{Internetquelle |url=http://www.post-nippon.at/historisches.phtml |titel=Historisches |werk=Judoclub POST-NIPPON |hrsg=Judoclub POST-NIPPON |datum=2021-05-06 |sprache=de |archiv-url=https://web.archive.org/web/20210506103845/http://www.post-nippon.at/historisches.phtml |archiv-datum=2021-05-06 |abruf=2025-02-18}}
JK Post	Mittelgewicht	Alfred	Voyta	{{Internetquelle |url=http://www.post-nippon.at/historisches.phtml |titel=Historisches |werk=Judoclub POST-NIPPON |hrsg=Judoclub POST-NIPPON |datum=2021-05-06 |sprache=de |archiv-url=https://web.archive.org/web/20210506103845/http://www.post-nippon.at/historisches.phtml |archiv-datum=2021-05-06 |abruf=2025-02-18}}
JK Post	Halbschwergewicht			{{Internetquelle |url=https://anno.onb.ac.at/cgi-content/anno?aid=wrz&datum=19481207&seite=5&zoom=33 |titel=Sport In Zellen |werk=Wiener Zeitung |hrsg=Wiener Zeitung |datum=1948-12-07 |sprache=de |abruf=2025-01-25}}
JK Post	Schwergewicht			{{Internetquelle |url=https://anno.onb.ac.at/cgi-content/anno?aid=wrz&datum=19481207&seite=5&zoom=33 |titel=Sport In Zellen |werk=Wiener Zeitung |hrsg=Wiener Zeitung |datum=1948-12-07 |sprache=de |abruf=2025-01-25}}
