Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Daniel	Allerstorfer	UJZ Mühlviertel 1	+100 kg	14	128	10	7	0	0	16	0	{{Internetquelle |url=https://www.judoaustria.at/galaxy-dominanz-nicht-zu-brechen/ |titel=Galaxy-Dominanz nicht zu brechen |werk=Judo Austria |datum=2017-12-17 |sprache=de-DE |abruf=2024-11-30}}	Austria	Austria
2	Marcus	Nyman	UJZ Mühlviertel 1	-90 kg	14	119	11	7	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Sweden	Sweden
3	Shamil	Borchashvili	LZ Multikraft Wels	-81 kg	13	121	5	7	0	0	14	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
4	Peter	Zilka	JU Raika Pinzgau	-90 kg	12	108	8	8	0	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovakia	Slovakia
5	Florian	Doppelhammer	JU DynamicOne	-66 kg	12	102	5	13	0	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
6	Julian	Reichstein	Volksbank Galaxy Judotigers	+100 kg	10	97	8	19	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
7	Marko	Vukicevic	JU Raiffeisen Flachgau	-66 kg	10	82	6	9	0	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
8	Miklos	Cirjenic	LZ Multikraft Wels	+100 kg	9	87	8	5	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
9	Rupert	Riess	JU Raika Pinzgau	+100 kg	9	87	7	4	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
10	Patrick	Ganselmayer	cafe+co Vienna Samurai	-81 kg	9	81	5	8	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
11	Felician	Öri	cafe+co Vienna Samurai	-73 kg	8	77	6	7	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
12	Ilija	Ciganovic	cafe+co Vienna Samurai	-66 kg	8	74	6	4	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Serbia	Serbia
13	Driton	Shala	UJZ Mühlviertel 1	-73 kg	8	65	5	7	0	0	12	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
14	Gabor	Ver	LZ Multikraft Wels	-100 kg	7	70	7	6	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary
15	Tatsuto	Shima	Volksbank Galaxy Judotigers	-66 kg	7	70	7	4	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
16	Florian	Wallner	JC Wimpassing Sparkasse	-90 kg	7	67	6	9	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
17	Laurin	Böhler	JU Raiffeisen Flachgau	-100 kg	7	67	6	7	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
18	Johannes	Pacher	Volksbank Galaxy Judotigers	-90 kg	7	67	6	6	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
19	Stefan	Kudera	Volksbank Galaxy Judotigers	-66 kg	7	67	6	4	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
20	David	Starkel	JU DynamicOne	-60 kg	7	64	5	3	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovenia	Slovenia
21	Yanislav	Gerchev	Volksbank Galaxy Judotigers	-60 kg	7	61	4	9	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Bulgaria	Bulgaria
22	Martin	Pacek	UJZ Mühlviertel 1	-100 kg	7	61	4	4	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Sweden	Sweden
23	David	Klammert	JC Wimpassing Sparkasse	-100 kg	6	60	6	3	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Czechia	Czechia
24	Marko	Bubanja	Volksbank Galaxy Judotigers	-90 kg	6	60	5	3	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
25	Tobias	Weixelbaumer	UJZ Mühlviertel 1	-66 kg	6	57	6	6	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
26	Lukas	Reiter	JC Wimpassing Sparkasse	-73 kg	6	57	5	4	0	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
27	Dominik	Druzeta	UJZ Mühlviertel 1	-81 kg	6	57	5	3	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Croatia	Croatia
28	Stefan	Moser	JC Wimpassing Sparkasse	-60 kg	6	57	4	4	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
