Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Gabor	Geier	Volksbank Galaxy Judo Tigers	+100 kg	12	120	8	8	4	0	2	0	{{Internetquelle |url=https://www.judoaustria.at/das-war-das-final-four-2015/ |titel=Das war das FINAL FOUR 2015 |werk=Judo Austria |datum=2015-11-29 |sprache=de-DE |abruf=2024-11-30}}	Austria	Austria
2	Christoph	Kronberger	Judo Union Raiffeisen Flachgau	-100 kg	12	120	7	6	1	0	9	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
3	Lukas	Reiter	JC Wimpassing/Lassee	-66 kg	12	102	9	3	1	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
4	Christopher	Wagner	Volksbank Galaxy Judo Tigers	-73 kg	12	66	3	2	5	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
5	Laszlo	Csoknyai	Judo Union Raiffeisen Flachgau	-90 kg	11	110	6	4	4	0	17	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary
6	Shamil	Borchashvili	Multikraft Wels	-73 kg	11	94	4	6	6	0	31	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
7	Kimran	Borchashvili	Multikraft Wels	-60 kg	11	91	7	2	7	0	15	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
8	Georg	Reiter	UJZ Mühlviertel 1	-73 kg	10	88	6	6	3	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
9	Steffen	Wagner	Judo Union Raiffeisen Flachgau	-81 kg	10	79	5	1	2	0	16	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
10	Philip	Graf	cafe+co Vienna Samurai	-60 kg	9	54	5	2	1	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Germany	Germany
11	Marko	Bubanja	cafe+co Vienna Samurai	-81 kg	8	80	5	1	1	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
12	Dominik	Waldhör	Judo Union Raiffeisen Flachgau	-60 kg	8	77	3	8	6	0	17	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
13	Andreas	Tiefgraber	Judo Union Raika Pinzgau	-66 kg	8	66	3	5	6	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
14	Miklos	Cirjenic	Multikraft Wels	-100 kg	7	70	4	7	1	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
15	Maximilian	Schneider	Volksbank Galaxy Judo Tigers	-81 kg	7	62	3	2	3	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
16	Stefan	Kudera	Volksbank Galaxy Judo Tigers	-66 kg	6	60	6	0	6	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
17	Michal	Horak	Multikraft Wels	+100 kg	6	60	5	2	2	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Czechia	Czechia
18	Christoph	Mayer	Judo Union Raika Pinzgau	-100 kg	6	60	4	2	1	0	15	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
19	Peter	Zilka	Judo Union Raika Pinzgau	-81 kg	6	57	4	4	3	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovakia	Slovakia
20	David	Klammert	JC Wimpassing/Lassee	-90 kg	6	57	4	4	2	0	12	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Czechia	Czechia
21	Julian	Reichstein	Volksbank Galaxy Judo Tigers	-100 kg	6	48	2	1	4	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
22	Clemens	Prentner	cafe+co Vienna Samurai	+100 kg	6	42	2	3	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
23	Christoph	Radlherr	cafe+co Vienna Samurai	-100 kg	5	50	4	6	2	0	15	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
24	Bernhard	Mayr	Judo Union Raiffeisen Flachgau	-73 kg	5	50	3	0	2	0	14	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
25	Florian	Wallner	JC Wimpassing/Lassee	-90 kg	5	50	2	5	1	0	12	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
26	Ilie	Natea	JC Wimpassing/Lassee	+100 kg	5	50	1	3	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
27	Marcel	Ott	Volksbank Galaxy Judo Tigers	-81 kg	5	47	3	3	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
28	Johannes	Pacher	Volksbank Galaxy Judo Tigers	-90 kg	5	45	2	0	1	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
29	David	Pulkrabek	SU Noricum Raiffeisenbank Leibnitz Judo	-60 kg	5	44	3	2	5	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
30	Peter	Degen	cafe+co Vienna Samurai	-66 kg	5	40	3	0	3	0	13	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
31	Mathias	Czizsek	Volksbank Galaxy Judo Tigers	-66 kg	5	37	2	1	5	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
32	Dominic	Huscava	cafe+co Vienna Samurai	-81 kg	5	36	3	2	3	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
33	Alexander	Weichinger	Volksbank Galaxy Judo Tigers	-73 kg	5	35	1	2	8	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
