Team Name	First Name	Last Name	Gastkämpfer	Count	S	U	N	Source
JGV Wien	Dorothea	Breitsprecher						{{Internetquelle |url=https://www.sn.at/archivsn?img=CaQ1bp8xv5F3uvbqVCFlhX4qdbmrnwMN4vqtpgDiWUH%2BJ1vcGJj4ekANeO1R43BtF3OC4%2FNwg55270q9O2RUBG3eOeOjqhp2nsHLiZ94y3L%2FNWYbKvSzhQnO6ka4dgD2&id1=19891218_18#slide18 |titel=Meisterschaft. im Damen-Judo |abruf=2025-01-25}}
JGV Wien	Almuth	Leitgeb						{{Internetquelle |url=https://www.sn.at/archivsn?img=CaQ1bp8xv5F3uvbqVCFlhX4qdbmrnwMN4vqtpgDiWUH%2BJ1vcGJj4ekANeO1R43BtF3OC4%2FNwg55270q9O2RUBG3eOeOjqhp2nsHLiZ94y3L%2FNWYbKvSzhQnO6ka4dgD2&id1=19891218_18#slide18 |titel=Meisterschaft. im Damen-Judo |abruf=2025-01-25}}
JGV Wien	Marianne	Moser						{{Internetquelle |url=https://www.sn.at/archivsn?img=CaQ1bp8xv5F3uvbqVCFlhX4qdbmrnwMN4vqtpgDiWUH%2BJ1vcGJj4ekANeO1R43BtF3OC4%2FNwg55270q9O2RUBG3eOeOjqhp2nsHLiZ94y3L%2FNWYbKvSzhQnO6ka4dgD2&id1=19891218_18#slide18 |titel=Meisterschaft. im Damen-Judo |abruf=2025-01-25}}
JGV Wien	Maria	Blitwic						{{Internetquelle |url=https://www.sn.at/archivsn?img=CaQ1bp8xv5F3uvbqVCFlhX4qdbmrnwMN4vqtpgDiWUH%2BJ1vcGJj4ekANeO1R43BtF3OC4%2FNwg55270q9O2RUBG3eOeOjqhp2nsHLiZ94y3L%2FNWYbKvSzhQnO6ka4dgD2&id1=19891218_18#slide18 |titel=Meisterschaft. im Damen-Judo |abruf=2025-01-25}}
JGV Wien	Sandra	Kammerer						{{Internetquelle |url=https://www.sn.at/archivsn?img=CaQ1bp8xv5F3uvbqVCFlhX4qdbmrnwMN4vqtpgDiWUH%2BJ1vcGJj4ekANeO1R43BtF3OC4%2FNwg55270q9O2RUBG3eOeOjqhp2nsHLiZ94y3L%2FNWYbKvSzhQnO6ka4dgD2&id1=19891218_18#slide18 |titel=Meisterschaft. im Damen-Judo |abruf=2025-01-25}}
JGV Wien	Frauke	Hotovy						{{Internetquelle |url=https://www.sn.at/archivsn?img=CaQ1bp8xv5F3uvbqVCFlhX4qdbmrnwMN4vqtpgDiWUH%2BJ1vcGJj4ekANeO1R43BtF3OC4%2FNwg55270q9O2RUBG3eOeOjqhp2nsHLiZ94y3L%2FNWYbKvSzhQnO6ka4dgD2&id1=19891218_18#slide18 |titel=Meisterschaft. im Damen-Judo |abruf=2025-01-25}}
JGV Wien	Andrea	Bachofner						{{Internetquelle |url=https://www.sn.at/archivsn?img=CaQ1bp8xv5F3uvbqVCFlhX4qdbmrnwMN4vqtpgDiWUH%2BJ1vcGJj4ekANeO1R43BtF3OC4%2FNwg55270q9O2RUBG3eOeOjqhp2nsHLiZ94y3L%2FNWYbKvSzhQnO6ka4dgD2&id1=19891218_18#slide18 |titel=Meisterschaft. im Damen-Judo |abruf=2025-01-25}}
PSV Salzburg	Silvia	Svoboda						{{Internetquelle |url=https://www.sn.at/archivsn?img=CaQ1bp8xv5F3uvbqVCFlhX4qdbmrnwMN4vqtpgDiWUH%2BJ1vcGJj4ekANeO1R43BtF3OC4%2FNwg55270q9O2RUBG3eOeOjqhp2nsHLiZ94y3L%2FNWYbKvSzhQnO6ka4dgD2&id1=19891218_18#slide18 |titel=Meisterschaft. im Damen-Judo |abruf=2025-01-25}}
PSV Salzburg	Natascha	Kleiter						{{Internetquelle |url=https://www.sn.at/archivsn?img=CaQ1bp8xv5F3uvbqVCFlhX4qdbmrnwMN4vqtpgDiWUH%2BJ1vcGJj4ekANeO1R43BtF3OC4%2FNwg55270q9O2RUBG3eOeOjqhp2nsHLiZ94y3L%2FNWYbKvSzhQnO6ka4dgD2&id1=19891218_18#slide18 |titel=Meisterschaft. im Damen-Judo |abruf=2025-01-25}}
PSV Salzburg	Miriam	Kleiter						{{Internetquelle |url=https://www.sn.at/archivsn?img=CaQ1bp8xv5F3uvbqVCFlhX4qdbmrnwMN4vqtpgDiWUH%2BJ1vcGJj4ekANeO1R43BtF3OC4%2FNwg55270q9O2RUBG3eOeOjqhp2nsHLiZ94y3L%2FNWYbKvSzhQnO6ka4dgD2&id1=19891218_18#slide18 |titel=Meisterschaft. im Damen-Judo |abruf=2025-01-25}}
