Team Name	Weight Class	First Name	Last Name	Source
ASV/ÖGJ-SALZBURG	-60 kg	Heinrich	Bonecker	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ASV/ÖGJ-SALZBURG	-66 kg	Peter	Sedivak	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ASV/ÖGJ-SALZBURG	-73 kg	Lamprecht	Marco	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ASV/ÖGJ-SALZBURG	-81 kg	Dean	Wohlfart	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ASV/ÖGJ-SALZBURG	-90 kg	Roland	Waldner	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ASV/ÖGJ-SALZBURG	-100 kg	Sven	Helbing	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ASV/ÖGJ-SALZBURG	+100 kg	Wolfgang	Ebner	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ESV-HYPO-SANJINDO	-60 kg	Helmut	Diet	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ESV-HYPO-SANJINDO	-66 kg	Christian	Fuchs	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ESV-HYPO-SANJINDO	-73 kg	Erich	Ivinger	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ESV-HYPO-SANJINDO	-81 kg	Patrick	Reiter	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ESV-HYPO-SANJINDO	-90 kg	Sergej	Klischin	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ESV-HYPO-SANJINDO	-100 kg	Ivan	Radu	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
ESV-HYPO-SANJINDO	+100 kg	Peter	Höllwart	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
JUDO Union RAIKA PINZGAU	-60 kg	Cedrik	Taymans	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
JUDO Union RAIKA PINZGAU	-66 kg	Josef	Krnac	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
JUDO Union RAIKA PINZGAU	-73 kg	Gottfried	Lackner	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
JUDO Union RAIKA PINZGAU	-81 kg	Norbert	Haimberger	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |titel=JAustrian Judo Association - Österreichischer Judo Verband : Staatsliga 1999 |datum=2002-05-01 |offline= |archiv-url=https://web.archive.org/web/20020501201820/http://www.asn.or.at/oejv/Ligen/SLiga1999.htm |archiv-datum=2002-05-01 |abruf=2024-12-06}}
