Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Narges	Mohseni Farshbaf	café+co Wien	-70 kg	12	117	8	7	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
2	Michaela	Polleres	JC Wimpassing Sparkasse	-70 kg	11	107	8	10	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
3	Lisa	Grabner	JC Wimpassing Sparkasse	-57 kg	11	98	5	8	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
4	Tina	Reiter	JC Wimpassing Sparkasse	-63 kg	10	100	7	4	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
5	Katharina	Tanzer	café+co Wien	-48 kg	10	94	6	7	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
6	Raphaela	Findeis	café+co Wien	-70 kg	9	87	5	8	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
7	Mara	Kraft	Judoteam SHIAI DO	-48 kg	8	80	2	9	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
8	Magdalena	Lackner	ESV Sanjindo	-57 kg	7	70	5	5	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
9	Lisa	Dengg	ESV Sanjindo	-52 kg	7	70	2	5	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
10	Maria	Höllwart	ESV Sanjindo	+78 kg	7	64	3	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
11	Anna	Dengg	Judoteam SHIAI DO	-57 kg	7	58	2	4	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
12	Marianne	Hollensteiner	UJZ Mühlviertel	+78 kg	6	60	3	4	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
