Position	Team Name	Weight Class	First Name	Last Name	Gastkämpfer	Count	S	U	N		Nationality	Country	Source
	Shiaido Wr. Neudorf		Sarah	Mairhofer							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	Shiaido Wr. Neudorf		Sandra	Böheim							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	Shiaido Wr. Neudorf		Krenn	Eva							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	Shiaido Wr. Neudorf		Weiß	Bettina							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	Shiaido Wr. Neudorf		Dengg	Anna							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	Shiaido Wr. Neudorf		Winter	Chrisi							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	Shiaido Wr. Neudorf		Lechner	Susanne							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	Shiaido Wr. Neudorf	Trainer	Karnik	Matthias							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	JZ Innsbruck	-52 kg	Wassermann	Renate							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	JZ Innsbruck		Schranz	Jennifer							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	JZ Innsbruck	-57 kg	Scheff	Marie-Christin	Judoverein CREATIV Graz	4	3	0	1		Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	JZ Innsbruck	-63 kg	Told	Kathrin							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	JZ Innsbruck	-70 kg	Unterwurzacher	Kathrin							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	JZ Innsbruck	+70 kg	Graf	Bernadette							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	JZ Innsbruck	Trainer	Scherwitzl	Martin							Austria	Austria	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
