Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
31	Sarah	Jonas	UJZ Mühlviertel	-63 kg	2	17	1	1	0	0	4	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
32	Daniela	Markhart	café+co Wien 2	+78 kg	2	17	0	4	0	0	6	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
33	Christina	Winter	Judoteam SHIAI-DO Union Thermenregion	-70 kg	2	15	1	0	1	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
34	Daniela	Gangl	café+co Wien 2	-63 kg	2	11	1	1	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
35	Isabella	Bilkovsky	Judoteam SHIAI-DO Union Thermenregion	-57 kg	2	11	1	0	1	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
36	Franziska	Kaiser	ESV Sanjindo	-52 kg	1	10	1	3	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
37	Eva	Schlögl	UJZ Mühlviertel	-63 kg	1	10	1	0	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
38	Stefanie	Hutter	ESV Sanjindo	-63 kg	1	7	1	4	0	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
39	Tina	Neuhauser	ESV Sanjindo	-70 kg	1	7	0	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
40	Kathrin	Schlögl	UJZ Mühlviertel	-63 kg	1	7	0	1	1	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
