Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Adam	Borchashvilli	Galaxy Judo Tigers	-100 kg	12	1110	8	9	1	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
2	Lukas	Reiter	JU Burgkirchen/Schwand	-81 kg	11	1100	8	7	2	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
3	Magamed	Borchashvilli	Galaxy Judo Tigers	-81 kg	10	812	6	1	5	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
4	David	Peritsch	Galaxy Judo Tigers	-66 kg	9	626	3	9	7	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
5	Krisztian	Toth	LZ Multikraft Wels	-100 kg	8	701	4	1	1	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary
6	Jakob	Wiesinger	UJZ Mühlviertel	-73 kg	8	700	5	5	2	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
7	Bernd	Fasching	Galaxy Judo Tigers	-90 kg	8	613	4	7	4	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
8	Thomas	Ecker	LZ Multikraft Wels	-90 kg	8	613	4	2	5	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
9	Leon	Tschilikin	LZ Multikraft Wels	-81 kg	8	611	6	1	2	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
10	Denis	Vieru	Galaxy Judo Tigers	-73 kg	8	604	5	4	5	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Republic of Moldova	Republic of Moldova
11	Erik	Abramov	LZ Multikraft Wels	+100 kg	7	700	4	3	4	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Germany	Germany
