Team Name	First Name	Last Name	Gastkämpfer	Count	S	U	N	Source
	ASK Salzburg		Gerhart					https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#slide15
	Polizei SV	Christian	Wintersteller					https://www.sn.at/archivsn?img=9GEVUDTs5NiHcAvb4O9jCbAvLFaq09lzfGZNcy3aDqub5n7J%2Fs7OR2idfCrOx6QCroNS13svkofmOGreaK7N21qgdj97wvfGtmDtGZ7O1MvHGQu%2B51%2F80h10hox14%2B0e&id1=19870516_14&q=judo%2520staatsliga#slide14
JC ASKÖ Salzburg	Karin	Posch	0		3			{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14|titel=Salzburgs Judo-Damen Vize|werk=Salzburger Nachrichten|hrsg=Salzburger Nachrichten|datum=1987-11-30|seiten=14|sprache=de |abruf=2025-01-25}}
JC ASKÖ Salzburg	Christine	Karl		2				{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14|titel=Salzburgs Judo-Damen Vize|werk=Salzburger Nachrichten|hrsg=Salzburger Nachrichten|datum=1987-11-30|seiten=14|sprache=de |abruf=2025-01-25}}
JC ASKÖ Salzburg	Alexandra	Pöckl		2				{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14|titel=Salzburgs Judo-Damen Vize|werk=Salzburger Nachrichten|hrsg=Salzburger Nachrichten|datum=1987-11-30|seiten=14|sprache=de |abruf=2025-01-25}}
JC ASKÖ Salzburg	Nina	Strasser		2				{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14|titel=Salzburgs Judo-Damen Vize|werk=Salzburger Nachrichten|hrsg=Salzburger Nachrichten|datum=1987-11-30|seiten=14|sprache=de |abruf=2025-01-25}}
JC ASKÖ Salzburg	Marion	Bibra		2				{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14|titel=Salzburgs Judo-Damen Vize|werk=Salzburger Nachrichten|hrsg=Salzburger Nachrichten|datum=1987-11-30|seiten=14|sprache=de |abruf=2025-01-25}}
JC ASKÖ Salzburg	Dunja	Estermann		1				{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14|titel=Salzburgs Judo-Damen Vize|werk=Salzburger Nachrichten|hrsg=Salzburger Nachrichten|datum=1987-11-30|seiten=14|sprache=de |abruf=2025-01-25}}
JGV Wien	Gerda	Winklbauer						{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14|titel=Salzburgs Judo-Damen Vize|werk=Salzburger Nachrichten|hrsg=Salzburger Nachrichten|datum=1987-11-30|seiten=14|sprache=de |abruf=2025-01-25}}
JGV Wien	Renate	Lehner						{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14|titel=Salzburgs Judo-Damen Vize|werk=Salzburger Nachrichten|hrsg=Salzburger Nachrichten|datum=1987-11-30|seiten=14|sprache=de |abruf=2025-01-25}}
