Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
29	Marko	Bubanja	Volksbank Galaxy Judotigers	-100 kg	7	67	5	4	0	0	7	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
30	Laurin	Böhler	JU Raiffeisen Flachgau	-100 kg	7	67	5	2	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
31	Daniel	Leutgeb	ASKÖ Reichraming	-60 kg	7	67	2	2	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
32	Martin	Morgenbesser	JC Wimpassing Sparkasse	-66 kg	7	61	4	4	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
33	Martin	Hojak	JU DynamicOne	-73 kg	6	60	5	2	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovenia	Slovenia
34	Nick	Haasmann	Volksbank Galaxy Judotigers	-81 kg	6	60	5	0	0	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
35	Lorenz	Wildner	Volksbank Galaxy Judotigers	-60 kg	6	60	1	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
36	Tatsuto	Shima	Volksbank Galaxy Judotigers	-66 kg	6	57	3	4	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
37	Vaclav	Sedmidubsky	JU DynamicOne	-73 kg	6	57	2	7	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Czechia	Czechia
38	Tobias	Weixelbaumer	UJZ Mühlviertel 1	-66 kg	5	50	5	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
39	David	Starkel	JU DynamicOne	-60 kg	5	50	4	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovenia	Slovenia
40	Christoph	Mayer	JU Raika Pinzgau	+100 kg	5	50	3	2	0	0	9	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
41	Bernhard	Lang	JC Wimpassing Sparkasse	-60 kg	5	50	2	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
42	Valentino	Krnjic	Volksbank Galaxy Judotigers	-60 kg	5	50	1	4	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
43	Strahinja	Buncic	cafe+co Vienna Samurai	-66 kg	5	47	4	2	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Serbia	Serbia
44	Michael	Zeltner	JC Wimpassing Sparkasse	-81 kg	5	47	3	4	0	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
45	Andreas	Mruk	JC Wimpassing Sparkasse	+100 kg	5	47	3	2	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
46	Christian	Pichler	JU Raiffeisen Flachgau	-100 kg	5	47	2	4	0	0	8	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
47	Jorre	Verstraeten	cafe+co Vienna Samurai	-60 kg	4	40	3	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Belgium	Belgium
48	Andreas	Mitterfellner	JU Raika Pinzgau	-73 kg	4	40	2	2	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
49	Jan-Evert Joakim	Dvärby	UJZ Mühlviertel 1	+100 kg	4	37	2	3	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
