Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Andreas	Tiefgraber	UJZ Mühlviertel	-66 kg	12	117	6	9	0	0	2	0	{{Internetquelle |autor=Wolfgang Eichler |url=https://www.judoaustria.at/hochspannung-garantiert-2/ |titel=Hochspannung garantiert |werk=Judo Austria |datum=2024-11-29 |sprache=de-DE |abruf=2024-11-29}}	Austria	Austria
2	Alexander	Kaserer	Judo-Leistungszentrum Multikraft Wels	-73 kg	12	111	7	5	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
3	Ronald	Pröll	UJZ Mühlviertel	-90 kg	10	100	7	7	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
4	Adam	Borchashvilli	Allianz Kukla Galaxy Tigers	-100 kg	10	100	6	10	0	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
5	Magamed	Borchashvilli	Allianz Kukla Galaxy Tigers	-81 kg	10	97	5	6	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
6	Thomas	Ecker	Judo-Leistungszentrum Multikraft Wels	-90 kg	10	94	6	12	0	0	4	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
7	Phillip	Aust	Allianz Kukla Galaxy Tigers	-73 kg	10	94	4	11	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
8	Movli	Borchashvilli	Allianz Kukla Galaxy Tigers	+100 kg	8	80	7	3	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
9	Daniel	Herbst	Vienna Samurai	-100 kg	7	70	5	6	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Germany	Germany
10	Marcus	Auer	Sanjindo Bischofshofen	-66 kg	7	70	5	6	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
11	Abdul-Rahman	Idigov	Judo-Leistungszentrum Multikraft Wels	-66 kg	7	70	4	8	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
12	Issa	Naschcho	Judo-Leistungszentrum Multikraft Wels	-81 kg	7	67	5	4	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
13	Thomas	Scharfetter	Sanjindo Bischofshofen	-90 kg	7	64	2	6	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
14	Bernd	Fasching	Allianz Kukla Galaxy Tigers	-90 kg	6	60	4	6	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
15	Ahmad	Yusifov	Allianz Kukla Galaxy Tigers	-60 kg	6	60	3	8	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Azerbaijan	Azerbaijan
16	David	Naji	Judo Union Raika Flachgau	-60 kg	6	60	3	5	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary
17	Michael	Korrel	Judo Union Raika Flachgau	+100 kg	6	60	2	5	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Netherlands	Netherlands
18	Sebastian	Dengg	Sanjindo Bischofshofen	+100 kg	6	57	3	5	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
19	Daniel	Leutgeb	Judo-Leistungszentrum Multikraft Wels	-60 kg	6	57	1	4	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
20	Anton	Wicker	Sanjindo Bischofshofen	-81 kg	6	54	3	5	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
21	Daniel	Herzog	Judo Union Raika Flachgau	-73 kg	6	54	3	4	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
22	Hermann	Tschilikin	Vienna Samurai	-90 kg	5	50	4	0	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
23	Erik	Abramov	Judo-Leistungszentrum Multikraft Wels	+100 kg	5	50	3	5	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Germany	Germany
24	Adam	Safer	Wiener ASKÖ Team Stadlau	-66 kg	4	40	4	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
24	Leon	Tschilikin	Vienna Samurai	-81 kg	4	40	4	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
26	Nikolas	Rechberger	UJZ Mühlviertel	-66 kg	4	40	4	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
27	Enej	Marinic	Judo-Leistungszentrum Multikraft Wels	+100 kg	4	40	3	3	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovenia	Slovenia
28	Bilguun	Dogsom	Vienna Samurai	-60 kg	4	40	3	2	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Mongolia	Mongolia
29	Michael	Niederdorfer	Sanjindo Bischofshofen	+100 kg	4	40	3	2	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
