Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Marcel	Ott	Volksbank Galaxy Judo Tigers	-81 kg	15	132	12	4	5	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
2	Kimran	Borchashvili	LZ Multikraft Wels	-60 kg	14	126	10	0	4	0	11	0	{{Internetquelle |url=https://www.judoaustria.at/kroenender-saisonabschluss-in-gmunden/ |titel=Krönender Saisonabschluss in Gmunden |werk=Judo Austria |datum=2016-11-20 |sprache=de-DE |abruf=2024-11-30}}	Austria	Austria
3	Matej	Poliak	Judo Union Raika Pinzgau	-66 kg	12	102	5	10	5	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovakia	Slovakia
4	Aaron	Fara	Volksbank Galaxy Judo Tigers	-100 kg	11	102	7	7	1	0	12	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
5	Marko	Bubanja	Volksbank Galaxy Judo Tigers	-90 kg	11	101	9	2	2	0	13	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
6	Georg	Reiter	UJZ Mühlviertel 1	-73 kg	10	94	6	5	3	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
7	Gabor	Ver	LZ Multikraft Wels	-90 kg	10	92	6	4	6	0	14	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary
8	Lukas	Reiter	JC Wimpassing/Lassee	-73 kg	10	77	5	7	1	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
9	Christoph	Kronberger	Judo Union Raiffeisen Flachgau	-100 kg	9	81	6	1	2	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
10	Mathias	Czizsek	Volksbank Galaxy Judo Tigers	-66 kg	9	77	5	5	3	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
11	Shamil	Borchashvili	LZ Multikraft Wels	-81 kg	9	73	3	6	7	0	22	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
12	Dominik	Waldhör	Judo Union Raiffeisen Flachgau	-60 kg	8	80	7	2	4	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
13	Ilie	Natea	JC Wimpassing/Lassee	+100 kg	8	75	5	0	2	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
14	Vlad	Visan	LZ Multikraft Wels	-81 kg	8	74	5	6	5	0	15	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Romania	Romania
15	Peter	Zilka	Judo Union Raika Pinzgau	-90 kg	8	71	6	1	3	0	9	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovakia	Slovakia
16	Florian	Wallner	JC Wimpassing/Lassee	-90 kg	8	69	5	5	7	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
17	Daniel	Allerstorfer	UJZ Mühlviertel 1	+100 kg	8	63	3	4	2	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
18	Christopher	Wagner	Volksbank Galaxy Judo Tigers	-73 kg	7	56	3	2	3	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
19	Lorenz	Wildner	SU Noricum Leibnitz	-60 kg	7	51	4	1	3	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
20	Andreas	Mruk	JC Wimpassing/Lassee	+100 kg	6	60	6	0	3	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
21	Christoph	Radlherr	cafe+co Vienna Samurai	-90 kg	6	57	5	2	2	0	9	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
