Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Shamil	Borchashvili	Judo-Leistungszentrum Multikraft Wels	-81 kg	8	80	5	6	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
2	Varlam	Liparteliani	Judo-Leistungszentrum Multikraft Wels	+100 kg	6	60	4	2	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Georgia	Georgia
3	Tatsuto	Shima	Galaxy Tigers	-66 kg	6	60	3	0	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
4	Kimran	Borchashvili	Judo-Leistungszentrum Multikraft Wels	-66 kg	6	57	2	4	0	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
5	Tornike	Tsjkadoea	Galaxy Tigers	-60 kg	6	54	0	9	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Netherlands	Netherlands
6	Movli	Borchashvilli	Galaxy Tigers	+100 kg	5	50	4	3	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
7	Krisztian	Toth	Judo-Leistungszentrum Multikraft Wels	-100 kg	5	50	4	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary
8	Michael	Korrel	Judo Union Raika Flachgau	+100 kg	5	47	4	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Netherlands	Netherlands
9	Martin	Hojak	JUDynamicOne	-73 kg	5	47	3	3	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovenia	Slovenia
10	Issa	Naschcho	Judo-Leistungszentrum Multikraft Wels	-73 kg	4	40	4	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
