Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Bernd	Fasching	M&R Galaxy Tigers	-90 kg	12	117	9	8	0	0	1	0	{{Internetquelle |autor=Wolfgang Eichler |url=https://www.judoaustria.at/fragen-ueber-fragen/ |titel=Hochspannung garantiert |werk=Judo Austria |datum=2023-11-24 |sprache=de-DE |abruf=2024-05-19}}	Austria	Austria
2	Issa	Naschcho	Judo-Leistungszentrum Multikraft Wels	-81 kg	9	90	9	2	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
3	Marcus	Nyman	UJZ Mühlviertel	-90 kg	8	77	5	6	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Sweden	Sweden
4	Phillip	Aust	PSV Salzburg	-73 kg	8	77	5	3	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
5	Florian	Doppelhammer	UJZ Mühlviertel	-66 kg	8	74	3	6	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
6	Laurin	Böhler	Judo Union Raika Flachgau	-100 kg	6	60	4	3	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
7	Andreas	Tiefgraber	PSV Salzburg	-66 kg	6	60	3	4	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
8	Denis	Vieru	M&R Galaxy Tigers	-66 kg	6	57	4	3	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Republic of Moldova	Republic of Moldova
9	Mathias	Madsen	UJZ Mühlviertel	+100 kg	6	54	4	4	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Denmark	Denmark
10	Tornike	Tsjkadoea	M&R Galaxy Tigers	-60 kg	6	54	2	3	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Netherlands	Netherlands
