Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Florian	Doppelhammer	JU DynamicOne	-66 kg	16	148	8	12	0	0	5	0	{{Internetquelle |url=https://www.judoaustria.at/bundesliga-titelentscheidung-mit-spannung-erwartet/ |titel=Bundesliga-Titelentscheidung mit Spannung erwartet |werk=Judo Austria |datum=2019-11-07 |sprache=de-DE |abruf=2023-11-22}}	Austria	Austria
2	Krisztian	Toth	LZ Multikraft Wels	-90 kg	15	141	7	8	0	0	12	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary
3	Wachid	Borchashvili	LZ Multikraft Wels	-81 kg	15	138	4	9	0	0	14	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
4	Vache	Adamyan	JU Raiffeisen Flachgau	-60 kg	14	134	10	7	0	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
5	Kimran	Borchashvili	LZ Multikraft Wels	-66 kg	13	130	11	5	0	0	20	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
6	Marcus	Nyman	UJZ Mühlviertel 1	-90 kg	13	127	11	5	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Sweden	Sweden
7	Shamil	Borchashvili	LZ Multikraft Wels	-100 kg	12	117	9	7	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
8	Nick	Haasmann	Volksbank Galaxy Judotigers	-81 kg	12	117	7	9	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
9	Frigyes	Szabo	JU DynamicOne	-73 kg	12	111	7	7	0	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary
10	Marko	Bubanja	Volksbank Galaxy Judotigers	-100 kg	11	104	8	3	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
11	Matej	Poliak	JU Raika Pinzgau	-66 kg	10	100	8	5	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovakia	Slovakia
12	Gabor	Ver	LZ Multikraft Wels	+100 kg	10	100	7	7	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary
13	Sebastian	Schneider	Volksbank Galaxy Judotigers	-100 kg	10	97	8	4	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
14	Piotr	Kuczera	JU Raiffeisen Flachgau	-100 kg	10	97	6	6	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Poland	Poland
15	Daniel	Allerstorfer	UJZ Mühlviertel 1	+100 kg	10	91	6	6	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
16	Christoph	Kronberger	JU Raiffeisen Flachgau	+100 kg	8	80	6	4	0	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
17	Aaron	Fara	JC Wimpassing Sparkasse	+100 kg	8	80	5	7	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
18	Peter	Zilka	JU Raika Pinzgau	-90 kg	8	80	5	6	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovakia	Slovakia
