Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Marcus	Nyman	UJZ Mühlviertel	-90 kg	11	110	8	5	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Sweden	Sweden
2	Denis	Vieru	M&R Galaxy Tigers	-73 kg	11	107	4	5	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Republic of Moldova	Republic of Moldova
3	Bernd	Fasching	M&R Galaxy Tigers	-81 kg	10	97	6	10	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
4	Nikolas	Rechberger	UJZ Mühlviertel	-60 kg	9	87	4	5	0	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
5	Thomas	Scharfetter	Sanjindo Bischofshofen I	-90 kg	9	81	3	5	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
6	Noel	Van T End	UJZ Mühlviertel	-100 kg	8	77	5	7	0	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Netherlands	Netherlands
7	Tornike	Tsjkadoea	M&R Galaxy Tigers	-60 kg	8	77	5	3	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Netherlands	Netherlands
8	Movli	Borchashvilli	M&R Galaxy Tigers	+100 kg	8	71	3	7	0	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
9	Martin	Hojak	JUDynamicOne	-81 kg	7	70	7	2	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovenia	Slovenia
10	Florian	Doppelhammer	JUDynamicOne	-66 kg	7	70	7	2	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
11	Aaron	Fara	JC Wimpassing Sparkasse	+100 kg	7	70	6	3	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
12	David	Peritsch	M&R Galaxy Tigers	-66 kg	7	70	5	3	0	0	2	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
13	Herbert	Wicker	Sanjindo Bischofshofen I	-73 kg	7	67	6	1	0	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
14	Florian	Wallner	JC Wimpassing Sparkasse	-100 kg	6	60	4	5	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
15	Michael	Winkler	Judo-Leistungszentrum Multikraft Wels	-81 kg	6	60	2	4	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
16	Daniel	Allerstorfer	UJZ Mühlviertel	+100 kg	6	57	5	1	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
17	Mihael	Zgank	Sanjindo Bischofshofen I	-100 kg	6	57	4	1	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Türkiye	Türkiye
18	Alex	Barto	Wiener ASKÖ Team Stadlau	-90 kg	6	57	3	6	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovakia	Slovakia
19	Daniel	Herzog	Judo Union Raika Flachgau	-81 kg	6	54	2	7	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
20	Marcus	Auer	JC Wimpassing Sparkasse	-60 kg	5	50	2	5	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
21	Johannes	Pacher	M&R Galaxy Tigers	-90 kg	5	47	4	1	0	0	13	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
22	Wojciech	Kanik	UJZ Mühlviertel	-81 kg	4	40	4	2	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
23	Mario	Wiesinger	UJZ Mühlviertel	-66 kg	4	40	4	2	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
24	Jur	Spijkers	Judo-Leistungszentrum Multikraft Wels	+100 kg	4	40	4	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Netherlands	Netherlands
25	Pascal	Auer	Sanjindo Bischofshofen I	-66 kg	4	40	4	1	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
26	Gumar	Kyrgyzbayev	Judo Union Raika Pinzgau	-66 kg	4	40	3	4	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Kazakhstan	Kazakhstan
27	Petr	Zhukov	JC Wimpassing Sparkasse	-66 kg	4	40	3	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Russian Federation	Russian Federation
28	Bauyrzhan	Zhauyntayev	Judo Union Raika Pinzgau	-60 kg	4	40	3	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Kazakhstan	Kazakhstan
29	Artem	Lesiuk	Sanjindo Bischofshofen I	-60 kg	4	40	2	3	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Ukraine	Ukraine
30	Shamil	Borchashvili	Judo-Leistungszentrum Multikraft Wels	-90 kg	4	40	2	2	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
