Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country	Gastkämpfer
122	Jürgen	Grasmugg	SU Noricum Raiffeisenbank Leibnitz Judo	-66 kg	0	0	0	1	0	0	3	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
123	Martin	Bertagnoli	SU Noricum Raiffeisenbank Leibnitz Judo	+100 kg	0	0	0	1	0	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
124	Martin	Reiter	UJZ Mühlviertel 1	-81 kg	0	0	0	0	1	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
125	Stefan	Riegler	Multikraft Wels	-90 kg	0	0	0	0	1	0	7	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	Andreas	Frischauf	Judoteam SHIAI-DO Union Thermenregion 1	-66 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	Antoni	Jatowtt	Volksbank Galaxy Judo Tigers	-81 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Poland	Poland	
126	Armin	Schnabel	SU Noricum Raiffeisenbank Leibnitz Judo	-60 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
126	Christian	Riess	Judo Union Raika Pinzgau	-81 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	David	Zehentner	Judo Union Raika Pinzgau	-66 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	Fabian	Kainz	PSV Salzburg	-60 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	Konrad	Sacherer	Judoteam SHIAI-DO Union Thermenregion 1	-100 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	Lukas	Furch	PSV Salzburg	+100 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	Marco	Bonecker	PSV Salzburg	-73 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	Michael	Korzinek	cafe+co Vienna Samurai 1	-66 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	Oleg	Melnikov	Multikraft Wels	-100 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	Stephan	Huber	Multikraft Wels	+100 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
138	Andreas	Pessentheiner	Judo Union Raika Pinzgau	-60 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
138	Daniel	Tiroch	Judoteam SHIAI-DO Union Thermenregion 1	+100 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
138	Dominic	Huscava	cafe+co Vienna Samurai 1	-81 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
138	Marco	Mayer	Judo Union Raika Pinzgau	-81 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
138	Michail	Sobanov	cafe+co Vienna Samurai 1	-60 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
138	Roland	Ferenci	Judoteam SHIAI-DO Union Thermenregion 1	+100 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
138	Stepan	Sobanov	cafe+co Vienna Samurai 1	-73 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
145	Adam	Borchashvilli	Volksbank Galaxy Judo Tigers	-60 kg	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
146	Thomas	Schmidhofer	Judo Union Raika Pinzgau	-66 kg	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
147	Anton	Aschaber	Judo Union Raika Pinzgau	-100 kg	0	0	0	0	0	0	4	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
147	Fabio	Vötterl	PSV Salzburg	-81 kg	0	0	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
147	Martin	Schlögl	UJZ Mühlviertel 1	-90 kg	0	0	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
147	Razvan	Schvarcz	PSV Salzburg	-81 kg	0	0	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Romania	Romania	
147	Sascha	Kuba	cafe+co Vienna Samurai 1	-90 kg	0	0	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
152	Andreas	Lechner	Judoteam SHIAI-DO Union Thermenregion 1	-66 kg	0	0	0	0	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
152	Stephan	Benedik	Judoteam SHIAI-DO Union Thermenregion 1	-60 kg	0	0	0	0	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
154	Michael	Mayerhofer	Judoteam SHIAI-DO Union Thermenregion 1	+100 kg	0	0	0	0	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
155	Matthias	Wimberger	Judo Union Raika Pinzgau	-81 kg	0	0	0	0	0	0	12	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
1	Anton	Wicker	Sanjindo Tigers	-81 kg	14	140	11	6	3	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
2	Markus	Beißkammer	Union Kirchham	-66 kg	11	105	9	2	1	0	13	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
3	Lukas	Reiter	JC Wimpassing Sparkasse	-66 kg	11	102	6	4	4	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
4	Florian	Lindner	Swarovski Judo Wattens	-100 kg	11	92	5	6	4	0	10	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
5	Martin	Morgenbesser	JC Wimpassing Sparkasse	-60 kg	10	100	10	2	2	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
6	Ivo	Pasolli	Swarovski Judo Wattens	-60 kg	10	100	7	6	4	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
7	Bernhard	Alber	JC Wimpassing Sparkasse	+100 kg	9	90	9	2	2	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
8	Johann	Schmid	JC Wimpassing Sparkasse	-81 kg	9	90	8	2	3	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
9	Valentin	Radu	Judoteam SHIAI-DO Union Thermenregion 2	+100 kg	9	90	7	1	3	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Romania	Romania	
10	Sascha	Kuba	Cafe+co Vienna Samurai 2	-90 kg	9	87	6	1	5	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
11	Martin	Mairhofer	SV Gallneukirchen	-100 kg	8	80	8	1	2	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
12	Paul	Schmiderer	SV Gallneukirchen	-66 kg	8	80	7	3	3	0	9	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
13	Simon	Glockner	Sanjindo Tigers	-100 kg	8	80	7	2	2	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Germany	Germany	
14	Tobias	Weixelbaumer	UJZ Mühlviertel 2	-66 kg	8	80	7	2	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
15	Maximilian	Hageneder	Union Kirchham	-100 kg	8	80	6	3	2	0	8	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
16	Jürgen	Truffner	SV Gallneukirchen	-73 kg	8	71	3	4	2	0	12	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
17	Martin	Wess	Judoteam SHIAI-DO Union Thermenregion 2	-73 kg	8	68	5	3	2	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
18	Oliver	Haider	Judoteam SHIAI-DO Union Thermenregion 2	-60 kg	7	65	6	2	2	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
19	Herbert	Wicker	Sanjindo Tigers	-73 kg	7	61	6	2	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
20	Patrick	Engel	Swarovski Judo Wattens	+100 kg	7	61	5	0	1	0	14	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
21	Simon	Hofer	UJZ Mühlviertel 2	-73 kg	6	60	6	0	2	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
22	Martin	Nagler	SV Gallneukirchen	+100 kg	6	60	3	5	3	0	15	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
23	Patrick	Ganselmayer	JC Wimpassing Sparkasse	-81 kg	6	60	3	4	2	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
24	Florian	Wallner	JC Wimpassing Sparkasse	-90 kg	6	57	3	5	3	0	14	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
25	Igor	Turovskiy	UJZ Mühlviertel 2	-100 kg	6	57	3	3	5	0	12	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
26	Markus	Strametz	Sanjindo Tigers	-100 kg	6	55	5	0	4	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
27	Ralf	Albrecht	SV Gallneukirchen	-81 kg	6	55	3	4	1	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
28	Lukas	Beiskammer	Union Kirchham	+100 kg	6	51	3	2	2	0	11	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
29	Thomas	Angerer	Union Kirchham	-81 kg	6	48	3	1	3	0	13	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
30	Pascal	Auer	Sanjindo Tigers	-60 kg	5	50	5	1	1	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
31	Alexander	Pilz	Union Kirchham	-60 kg	5	50	4	3	2	0	4	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
32	Aaron	Fara	JC Wimpassing Sparkasse	-100 kg	5	50	4	2	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
33	Hannes	Wartbichler	Sanjindo Tigers	-90 kg	5	50	4	1	3	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
34	Christoph	Jirik	Judoteam SHIAI-DO Union Thermenregion 2	+100 kg	5	50	3	5	1	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
35	Andreas	Mruk	JC Wimpassing Sparkasse	+100 kg	5	50	3	2	1	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
36	Dominic	Huscava	Cafe+co Vienna Samurai 2	-81 kg	5	45	1	2	2	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
37	Valentin	Eder	UJZ Mühlviertel 2	-60 kg	5	44	2	4	2	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
38	Andreas	Wenisch	JC Wimpassing Sparkasse	-73 kg	4	40	4	0	3	0	6	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
39	Stefan	Moser	Cafe+co Vienna Samurai 2	-60 kg	4	40	3	2	6	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
40	Patrick	Serra	Sanjindo Tigers	+100 kg	4	40	3	0	1	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
41	Christian	Möllinger	Swarovski Judo Wattens	-66 kg	4	31	1	4	4	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
42	Lehel-Csaba	Imre	Swarovski Judo Wattens	-90 kg	4	29	0	3	1	0	11	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
43	Dominic	Hofmann	Swarovski Judo Wattens	-90 kg	3	30	3	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
44	Florian	Donner	Cafe+co Vienna Samurai 2	-66 kg	3	30	3	1	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
45	Christoph	Hribernik	Union Kirchham	-90 kg	3	30	3	1	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
46	Michael	Krautsack	Judoteam SHIAI-DO Union Thermenregion 2	-66 kg	3	30	3	0	1	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
47	Martin	Schlögl	UJZ Mühlviertel 2	-81 kg	3	30	3	0	0	0	7	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
48	Piotr	Kuczera	Union Kirchham	-90 kg	3	30	2	3	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Poland	Poland	
49	Christoph	Hofer	UJZ Mühlviertel 2	-73 kg	3	30	1	3	1	0	10	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
50	Daniel	Plank	Union Kirchham	-73 kg	3	27	1	1	1	0	12	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
51	Gerald	Radner	Union Kirchham	-73 kg	3	27	1	1	0	0	10	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
52	Jan	Klikovits	Cafe+co Vienna Samurai 2	-100 kg	3	21	2	0	3	0	18	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
53	Michael	Ebner	Judoteam SHIAI-DO Union Thermenregion 2	-81 kg	3	21	2	0	0	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
54	Bernhard	Beiskammer	Union Kirchham	-73 kg	3	21	1	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
55	David	Klammert	UJZ Mühlviertel 2	-90 kg	2	20	2	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Czechia	Czechia	
55	Razvan	Spiridon	Judoteam SHIAI-DO Union Thermenregion 2	-81 kg	2	20	2	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
57	Lukas	Häring	JC Wimpassing Sparkasse	-60 kg	2	20	2	1	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
58	Martin	Reiter	UJZ Mühlviertel 2	-81 kg	2	20	2	1	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
59	Vanja	Bubanja	Cafe+co Vienna Samurai 2	+100 kg	2	20	2	1	0	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
60	Günter	Klambauer	SV Gallneukirchen	-66 kg	2	20	2	0	1	0	8	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
61	Manuel	Scheibel	Union Kirchham	-60 kg	2	20	2	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Germany	Germany	
62	Daniel	Schennach	Swarovski Judo Wattens	-66 kg	2	20	2	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
63	Christoph	Mayer	Judoteam SHIAI-DO Union Thermenregion 2	-81 kg	2	20	2	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
64	Stefan	Friedrich	Sanjindo Tigers	-100 kg	2	20	1	3	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
65	Bernhard	Lang	JC Wimpassing Sparkasse	-66 kg	2	20	1	2	2	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
66	Florian	Schlader	SV Gallneukirchen	-60 kg	2	20	1	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
67	Harald	Inreiter	SV Gallneukirchen	-81 kg	2	20	1	1	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
68	Valentin	Leonfellner	SV Gallneukirchen	-60 kg	2	20	1	0	3	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
69	Mihael	Zgank	Sanjindo Tigers	+100 kg	2	20	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Türkiye	Türkiye	
70	Rainer	Binder	UJZ Mühlviertel 2	-100 kg	2	20	1	0	0	0	3	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
71	Mathias	Huemer	UJZ Mühlviertel 2	-66 kg	2	17	1	1	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
72	Stefan	Morgenbesser	JC Wimpassing Sparkasse	-73 kg	1	10	1	2	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
73	Florian	Happ	Swarovski Judo Wattens	-73 kg	1	10	1	1	2	0	4	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
74	Johannes	Rauscher	JC Wimpassing Sparkasse	-100 kg	1	10	1	1	1	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
75	Lukas	Deutschmann	Sanjindo Tigers	-66 kg	1	10	1	0	2	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
76	Ischee	Davaadorj	UJZ Mühlviertel 2	+100 kg	1	10	1	0	2	0	19	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
77	Maximilian	Knapp	Swarovski Judo Wattens	-66 kg	1	10	1	0	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
78	Michael	Zeltner	JC Wimpassing Sparkasse	-73 kg	1	10	1	0	1	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
79	Stepan	Sobanov	Cafe+co Vienna Samurai 2	-73 kg	1	10	1	0	1	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
80	Lukas	Petrischor	Swarovski Judo Wattens	-60 kg	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
81	Lorenzo	Angenendt	JC Wimpassing Sparkasse	-66 kg	1	10	1	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
82	Michael	Sohm	Swarovski Judo Wattens	-73 kg	1	10	1	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
82	Simon	Schweinberger	Swarovski Judo Wattens	+100 kg	1	10	1	0	0	0	4	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
84	Stephan	Benedik	Judoteam SHIAI-DO Union Thermenregion 2	-60 kg	1	10	0	2	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
85	Engelbert	Erber	Sanjindo Tigers	-66 kg	1	10	0	2	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
85	Michael	Grünauer	Sanjindo Tigers	-60 kg	1	10	0	2	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
87	Solomon	Olaitan	Cafe+co Vienna Samurai 2	-73 kg	1	10	0	0	2	0	6	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
88	Fabian	Moosbrugger	Sanjindo Tigers	-73 kg	1	10	0	0	1	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
89	Markus	Stefan	Cafe+co Vienna Samurai 2	-81 kg	1	10	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
90	Alois	Wandl	SV Gallneukirchen	+100 kg	1	10	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
91	Thomas	Güttel	Sanjindo Tigers	-73 kg	1	10	0	0	0	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
92	Adrian-Florin	Bogosel	Judoteam SHIAI-DO Union Thermenregion 2	+100 kg	1	7	0	1	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
93	Andreas	Trudenberger	SV Gallneukirchen	-73 kg	1	5	0	0	1	0	7	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
94	Markus	Hirzberger	JC Wimpassing Sparkasse	-60 kg	0	0	0	1	1	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
95	Michael	Korzinek	Cafe+co Vienna Samurai 2	-66 kg	0	0	0	1	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
96	Severin	Grassmair	Swarovski Judo Wattens	-81 kg	0	0	0	1	0	0	10	4	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
