Source	Name	Playoff	ValidFrom	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	LeagueType	Sort	ValidTo	Year	Canceled
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	1. Judo Bundesliga Männer	Final4  1. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	ersteBl	100	2999	2023	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Bundesliga Frauen	Final4 Bundesliga Frauen	2025	-48	-52	-57	-63	-70	+78		-48	-52	-57	-63	-70	+78		damenBl	150	2999	2023	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	2. Judo Bundesliga Männer	*PLAYOFF 2. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	zweiteBl	200	2999	2023	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	1. Judo Bundesliga Männer	Final4  1. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	ersteBl	100	2999	2024	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Bundesliga Frauen	Final4 Bundesliga Frauen	2025	-48	-52	-57	-63	-70	+78		-48	-52	-57	-63	-70	+78		damenBl	150	2999	2024	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	2. Judo Bundesliga Männer	*PLAYOFF 2. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	zweiteBl	200	2999	2024	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	1. Judo Bundesliga Männer	Final4  1. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	ersteBl	100	2999	2025	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Bundesliga Frauen	Final4 Bundesliga Frauen	2025	-48	-52	-57	-63	-70	+78		-48	-52	-57	-63	-70	+78		damenBl	150	2999	2025	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	2. Judo Bundesliga Männer	*PLAYOFF 2. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	zweiteBl	200	2999	2025	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	1. Judo Bundesliga Männer	Final4  1. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	ersteBl	100	2999	2026	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Bundesliga Frauen	Final4 Bundesliga Frauen	2025	-48	-52	-57	-63	-70	+78		-48	-52	-57	-63	-70	+78		damenBl	150	2999	2026	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	2. Judo Bundesliga Männer	*PLAYOFF 2. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	zweiteBl	200	2999	2026	
https://www.judoaustria.at/hochspannung-garantiert-2/	1. Judo Bundesliga Männer																				2024	False
https://www.judoaustria.at/fragen-ueber-fragen/	1. Judo Bundesliga Männer																				2023	False
https://www.judoaustria.at/note-eins-2/	1. Judo Bundesliga Männer																				2022	False
https://sport.orf.at/stories/3087053/	1. Judo Bundesliga Männer																				2021	False
https://www.judoaustria.at/judo-bundesliga-wird-abgesagt/	1. Judo Bundesliga Männer																				2020	True
https://www.judoaustria.at/bundesliga-titelentscheidung-mit-spannung-erwartet/	1. Judo Bundesliga Männer																				2019	False
https://www.judoaustria.at/final-four-tolles-judofest-in-gmunden/	1. Judo Bundesliga Männer																				2018	False
https://www.judoaustria.at/galaxy-dominanz-nicht-zu-brechen/	1. Judo Bundesliga Männer																				2017	False
https://www.judoaustria.at/kroenender-saisonabschluss-in-gmunden/	1. Judo Bundesliga Männer																				2016	False
https://www.judoaustria.at/das-war-das-final-four-2015/	1. Judo Bundesliga Männer																				2015	False
https://www.judoaustria.at/galaxy-tigers-verteidigen-bundesliga-titel/	1. Judo Bundesliga Männer																				2014	False
	1. Judo Bundesliga Männer																				2013	False
{{Internetquelle |url=https://www.judoaustria.at/oejv-nominiert-16-judoka-fuer-die-judo-em-in-budapest/ |titel=ÖJV nominiert 16 Judoka für die Judo-EM in Budapest |werk=Judo Austria |datum=2013-04-11 |sprache=de-AT |abruf=2026-01-03}}	1. Judo Bundesliga Männer																				2012	False
{{Internetquelle |url=https://www.judoaustria.at/keine-haengenden-koepfe-aber-ein-meister-zum-nachdenken/ |titel=Keine hängenden Köpfe, aber ein Meister zum Nachdenken |werk=Judo Austria |datum=2011-10-24 |sprache=de-AT |abruf=2026-01-04}}	1. Judo Bundesliga Männer																				2011	False
	1. Judo Bundesliga Männer																				2010	False
	1. Judo Bundesliga Männer																				2009	False
	Judo Bundesliga Männer																				2008	False
	Judo Bundesliga Männer																				2007	False
	Judo Bundesliga Männer																				2006	False
	Judo Bundesliga Männer																				2005	False
https://www.judowattens.at/landesliga/Judo Bundesliga Männer_Tabelle_2004.htm	Judo Bundesliga Männer																				2004	False
https://www.judowattens.at/landesliga/Judo Bundesliga Männer_Tabelle_2003.htm	Judo Bundesliga Männer																				2003	False
https://www.judowattens.at/landesliga/Judo Bundesliga Männer_Tabelle_2002.htm	Judo Bundesliga Männer																				2002	False
https://www.derstandard.at/story/808948/judo-strasswalchen-verteidigt-meistertitel	Judo Bundesliga Männer																				2001	False
http://www.asn.or.at/oejv/Ligen/SLiga2000.htm	Staatsliga A																				2000	False
	Staatsliga A																				1999	False
	Staatsliga A																				1998	False
	Staatsliga A																				1997	False
	Staatsliga A																				1996	False
	Staatsliga A																				1995	False
	Staatsliga A																				1994	False
	Staatsliga A																				1993	False
	Staatsliga A																				1992	False
	Staatsliga A																				1991	False
	Staatsliga A																				1990	False
	Staatsliga A																				1989	False
	Staatsliga A																				1988	False
	Staatsliga A																				1987	False
	Staatsliga A																				1986	False
	Staatsliga A																				1985	False
	Staatsliga A																				1984	False
	Staatsliga A																				1983	False
	Staatsliga A																				1982	False
	Staatsliga A																				1981	False
	Staatsliga A																				1980	False
	Staatsliga A																				1979	False
	Staatsliga A																				1978	False
	Staatsliga A																				1977	False
	Staatsliga A																				1976	False
	Staatsliga A																				1975	False
	Staatsliga A																				1974	False
	Staatsliga																				1972/73	False
	Staatsliga																				1971/72	False
	Staatsliga																				1970/71	False
	Staatsliga																				1969/70	False
	Staatsliga																				1968/69	False
	Mannschaftsmeisterschaft in Judo																				1968	False
	Mannschaftsmeisterschaft in Judo																				1967	False
https://www.sn.at/archivsn?img=7fL%2FtFkQWws%2FSMqRSlpeVHx%2FNoHomkzp8atuCw0kftTe%2FlUS%2FgrLNvhlzsOpKXfcVQvygym8PJWEsEaSyB5hxu2OCmlwdWiie%2FyEk0Scbs1T4KtQlOK2RsVWGdA82dt1&id1=19661205_07#slide7 https://www.sn.at/archivsn?img=DqhkswAdi378HY49GHoADnJmFa4GwxxSR5JcftFl7DxM%2B7xwPrxhal1spr6jp%2BjWrdFqsnpFnkasVazKRkenHeCb2xYpZtxwREsF%2FUSAaNvGDu%2BUYkWmMP0HVxfinpdm&id1=19661231_10#slide10	Mannschaftsmeisterschaft in Judo																				1966	False
	Mannschaftsmeisterschaft in Judo																				1965	False
https://www.sn.at/archivsn?img=CvMeQEcXZDuQgIKtN56xchQym1qc4KOGzVYRaxMgY73f1O874bngtetOkdMxCJ9UoaD8cWdGslJmAGuZU6r8i%2F%2B5fRExI3QtVNm0t9kEclOvlCJ7ueI6GX9QfCcKxM79&id1=19641207_13#slide13	Mannschaftsmeisterschaft in Judo																				1964	False
	Mannschaftsmeisterschaft in Judo																				1958	False
	Mannschaftsmeisterschaft in Judo																				1956	False
	Mannschaftsmeisterschaft in Judo																				1953	False
	Mannschaftsmeisterschaft in Judo																				1952	False
	Mannschaftsmeisterschaft in Judo			Federgewicht	Leichtgewicht	Mittelgewicht	Halbschwergewicht	Schwergewicht													1948	False
	Bundesliga Frauen																				2025	False
{{Internetquelle |url=https://www.judoaustria.at/liga-ergebnisse/?season=2024&leagueId=17 |titel=Liga Ergebnisse 2024 |werk=Judo Austria |hrsg=Judo Austria |sprache=de-DE |abruf=2024-04-02}}	Bundesliga Frauen																				2024	False
	Bundesliga Frauen																				2023	False
{{Internetquelle |autor=Wolfgang Eichler |url=https://www.judoaustria.at/titel-verteidigt-2/ |titel=Erfolgreiche Titelverteidigung |werk=Judo Austria |datum=2022-11-26 |sprache=de-AT |abruf=2022-11-27}}	Bundesliga Frauen																				2022	False
{{Internetquelle |url=https://www.judoaustria.at/liga-ranglisten/?season=2021&leagueId=17 |titel=Judo Austria - Liga Ranglisten |werk=Judo Austria |sprache=de-AT |abruf=2022-11-27}}	Bundesliga Frauen																				2021	False
{{Internetquelle |url=https://www.judoaustria.at/judo-bundesliga-wird-abgesagt/ |titel=Judo-Bundesliga wird abgesagt! |werk=Judo Austria |datum=2020-08-18 |sprache=de-DE |abruf=2023-11-22}}	Bundesliga Frauen																				2020	True
{{Internetquelle |autor=Thomas Rathgeb |url=https://www.oejv.com/bundesliga/damenbundesliga/wimpassing-damen-verteidigten-bundesligatitel/ |titel=Wimpassing-Damen verteidigten Bundesligatitel |werk=Judo Austria |sprache=de-DE |abruf=2019-11-19}}	Bundesliga Frauen																				2019	False
	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2016	False
{{Internetquelle |url=https://web.archive.org/web/20170807193126/https://www.oejv.com/osterreichische-veranstaltungen/mannschaftstitel-am-samurai-sanjindo-und-galaxy/ |titel=Mannschaftstitel an Samurai, Sanjindo uMannschaftstitel an Samurai, Sanjindo und Galaxynd Galaxy |hrsg=Österreichischer Judoverband |datum=2017-08-07 |abruf=2024-08-05}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2015	False
{{Internetquelle |url=https://www.judoaustria.at/samurai-damen-verteidigen-titel/ |titel=Samurai-Damen verteidigen Titel |werk=Judo Austria |datum=2014-11-09 |sprache=de-DE |abruf=2025-02-06}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2014	False
{{Internetquelle |url=https://www.sportaustria.at/fileadmin/Inhalte/Dokumente/Archiv/Staatsmeister/Staatsmeister_2013.pdf |titel=Österreichische Staatsmeister 2013 |hrsg=Österreichischen Bundes-Sportorganisation |datum=2014-09-23 |sprache=de |abruf=2025-01-25}}{{Internetquelle |url=https://www.judoaustria.at/ost-oesterreich-dominiert-staatsmeisterschaft-fuer-frauen-mannschaften/ |titel=Ost-Österreich dominiert Staatsmeisterschaft für Frauen-Mannschaften |werk=Judo Austria |datum=2013-11-30 |sprache=de-DE |abruf=2025-02-07}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2013	False
{{Internetquelle |url=https://www.sportaustria.at/fileadmin/Inhalte/Dokumente/Archiv/Staatsmeister/Staatsmeister_2012.pdf |titel=Österreichische Staatsmeister 2012 |hrsg=Österreichischen Bundes-Sportorganisation |datum=2015-03-09 |seiten=20 |sprache=de |abruf=2025-01-25}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2012	False
{{Internetquelle |url=https://www.judoaustria.at/damentitel-an-die-samurais/ |titel=Damentitel an die Samurais |werk=Judo Austria |datum=2011-12-04 |sprache=de-DE |abruf=2024-12-03}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2011	False
{{Internetquelle |url=https://www.judoaustria.at/hukuda-strubreiter-feiert-comeback-in-welshukuda-strubreiter-feiert-comeback-in-wels/ |titel=Hukuda-Strubreiter feiert Comeback in WelsHukuda-Strubreiter feiert Comeback in Wels |werk=Judo Austria |datum=2010-11-22 |sprache=de-DE |abruf=2024-12-03}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2010	False
	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2009	False
